rowid,kepid,kepoi_name,filename
1609,8564674,K02022.01,lightcurve_1124_KIC8564674.csv
1569,4056616,K02013.01,lightcurve_1125_KIC4056616.csv
1174,9651668,K00183.01,lightcurve_1126_KIC9651668.csv
608,10426656,K01161.01,lightcurve_1127_KIC10426656.csv
3545,9702072,K00714.01,lightcurve_1128_KIC9702072.csv
109,10875245,K00117.02,lightcurve_1131_KIC10875245.csv
1552,6504954,K01790.01,lightcurve_1132_KIC6504954.csv
2302,9832208,K02553.01,lightcurve_1137_KIC9832208.csv
4340,11671579,K04510.01,lightcurve_1139_KIC11671579.csv
1987,4173026,K02172.01,lightcurve_1142_KIC4173026.csv
2719,8686097,K00374.01,lightcurve_1144_KIC8686097.csv
2598,5185897,K02693.01,lightcurve_1145_KIC5185897.csv
1782,4144576,K02202.01,lightcurve_1146_KIC4144576.csv
1588,9973109,K02018.01,lightcurve_1147_KIC9973109.csv
2084,8478994,K00245.01,lightcurve_1148_KIC8478994.csv
3563,9884104,K00718.01,lightcurve_1149_KIC9884104.csv
1732,1872821,K02351.01,lightcurve_114_KIC1872821.csv
1783,8494542,K02204.01,lightcurve_1151_KIC8494542.csv
3420,5113822,K00638.01,lightcurve_1152_KIC5113822.csv
5052,3561464,K03398.01,lightcurve_1155_KIC3561464.csv
1490,3128552,K02055.01,lightcurve_1156_KIC3128552.csv
3458,8962094,K00700.01,lightcurve_1157_KIC8962094.csv
3237,6501635,K00560.01,lightcurve_1158_KIC6501635.csv
1641,6205228,K01882.01,lightcurve_1159_KIC6205228.csv
2357,9008737,K02768.01,lightcurve_1160_KIC9008737.csv
3940,7596240,K04295.01,lightcurve_1163_KIC7596240.csv
3127,2438264,K00440.01,lightcurve_1167_KIC2438264.csv
759,11027624,K01439.01,lightcurve_1168_KIC11027624.csv
901,4275721,K01342.01,lightcurve_1170_KIC4275721.csv
783,8678594,K01261.01,lightcurve_1171_KIC8678594.csv
1529,10525027,K02006.01,lightcurve_1172_KIC10525027.csv
3009,10934674,K00477.01,lightcurve_1173_KIC10934674.csv
5208,8424002,K03497.01,lightcurve_1178_KIC8424002.csv
2521,7659389,K02734.01,lightcurve_1181_KIC7659389.csv
690,6962977,K01364.01,lightcurve_1182_KIC6962977.csv
3458,8962094,K00700.01,lightcurve_1183_KIC8962094.csv
833,8806072,K01273.01,lightcurve_1184_KIC8806072.csv
1333,7898352,K01486.01,lightcurve_1186_KIC7898352.csv
1508,6061773,K02001.01,lightcurve_1188_KIC6061773.csv
4660,5965819,K03319.01,lightcurve_1189_KIC5965819.csv
1486,11450414,K01992.01,lightcurve_1190_KIC11450414.csv
1690,3734418,K02261.01,lightcurve_1191_KIC3734418.csv
3136,11823054,K00543.01,lightcurve_1192_KIC11823054.csv
166,6863998,K00867.01,lightcurve_1193_KIC6863998.csv
2014,7259298,K02561.01,lightcurve_1194_KIC7259298.csv
2650,5966322,K00303.01,lightcurve_1195_KIC5966322.csv
5233,6058816,K03500.01,lightcurve_1197_KIC6058816.csv
1691,8681734,K02340.01,lightcurve_1198_KIC8681734.csv
2997,8355239,K00574.02,lightcurve_1199_KIC8355239.csv
2400,7769819,K02778.01,lightcurve_1200_KIC7769819.csv
1117,8082001,K01570.01,lightcurve_1201_KIC8082001.csv
3480,5941160,K00654.01,lightcurve_1202_KIC5941160.csv
4365,9009036,K04585.01,lightcurve_1203_KIC9009036.csv
3024,8625925,K00580.01,lightcurve_1204_KIC8625925.csv
1981,6047072,K02100.01,lightcurve_1207_KIC6047072.csv
612,9823457,K00954.01,lightcurve_1208_KIC9823457.csv
2476,12314973,K00279.01,lightcurve_1209_KIC12314973.csv
2372,11401755,K00277.01,lightcurve_120_KIC11401755.csv
1991,5374403,K02556.01,lightcurve_1210_KIC5374403.csv
3380,10227020,K00730.01,lightcurve_1211_KIC10227020.csv
4617,9031209,K03316.01,lightcurve_1214_KIC9031209.csv
448,5735762,K00148.01,lightcurve_1215_KIC5735762.csv
553,10141900,K01082.01,lightcurve_1218_KIC10141900.csv
998,11177707,K01423.01,lightcurve_1219_KIC11177707.csv
2120,8547429,K02658.01,lightcurve_121_KIC8547429.csv
1325,5438757,K01601.01,lightcurve_1220_KIC5438757.csv
3251,6381846,K00509.01,lightcurve_1221_KIC6381846.csv
1473,2307415,K02053.01,lightcurve_1222_KIC2307415.csv
1507,8802693,K02000.01,lightcurve_1225_KIC8802693.csv
526,1725016,K01007.01,lightcurve_1227_KIC1725016.csv
524,8644288,K00137.01,lightcurve_1228_KIC8644288.csv
1857,10404582,K02147.01,lightcurve_1229_KIC10404582.csv
2460,11807274,K00262.01,lightcurve_1230_KIC11807274.csv
5172,8824737,K03347.01,lightcurve_1231_KIC8824737.csv
1801,10531955,K02208.01,lightcurve_1232_KIC10531955.csv
3495,6062088,K00658.01,lightcurve_1233_KIC6062088.csv
1481,10723750,K00209.01,lightcurve_1234_KIC10723750.csv
3760,3747817,K04103.01,lightcurve_1235_KIC3747817.csv
2174,7778767,K02523.01,lightcurve_1238_KIC7778767.csv
3185,4270253,K00551.01,lightcurve_1239_KIC4270253.csv
3589,12068975,K00623.01,lightcurve_123_KIC12068975.csv
1666,5942808,K02250.01,lightcurve_1241_KIC5942808.csv
2528,7605093,K02817.01,lightcurve_1243_KIC7605093.csv
1947,5125347,K02241.01,lightcurve_1244_KIC5125347.csv
1338,7951018,K01553.01,lightcurve_1245_KIC7951018.csv
828,8564587,K01270.01,lightcurve_1248_KIC8564587.csv
5184,8880123,K03493.01,lightcurve_1252_KIC8880123.csv
2873,6021275,K00284.01,lightcurve_1254_KIC6021275.csv
2622,10905911,K02754.01,lightcurve_1255_KIC10905911.csv
3021,8565266,K00578.01,lightcurve_1259_KIC8565266.csv
