flux,flux_err,centroid_col,centroid_row,cadenceno,quality
11764.1455,3.8112755,554.3420424972513,748.9754856292105,1105,0
11770.195,3.812158,554.3420234467562,748.9752563797015,1106,0
11768.729,3.8116457,554.3421533199908,748.975509831902,1107,0
11771.806,3.811861,554.3424547625173,748.9756904967502,1108,0
11768.927,3.8115191,554.3421444397119,748.9749441371076,1109,0
11772.022,3.81179,554.3422243573195,748.975205790535,1110,0
11773.281,3.8117645,554.3421624939656,748.9753822991596,1111,0
11772.461,3.811846,554.3421785799461,748.9748907766487,1112,0
11778.538,3.8124208,554.3422832747765,748.9751801651872,1113,0
11767.9,3.8121333,554.3415056034772,748.9748352794073,1114,128
11774.068,3.812184,554.3420852646333,748.97512173991,1115,0
11781.569,3.8136528,554.3419213106541,748.9753589964032,1116,128
11768.906,3.8114655,554.3425764057957,748.9750962806272,1117,0
11776.111,3.8120654,554.3423725755962,748.975314819428,1118,0
11775.992,3.8121877,554.3423388772393,748.9752355701517,1119,0
11769.369,3.8115427,554.3425560375292,748.9752236257154,1120,0
11773.5625,3.811791,554.3430507446088,748.9751457723409,1121,0
11778.965,3.8124456,554.343007673695,748.9753305100625,1122,0
11773.832,3.8119063,554.3431995197324,748.9751947388293,1123,0
11767.656,3.811552,554.3430182232192,748.9747103701801,1124,0
11767.623,3.8115256,554.3425190944292,748.9752265520398,1125,0
11778.41,3.8122604,554.3429034996375,748.9746907607952,1126,0
11772.728,3.8119178,554.3425530030511,748.9749637617083,1127,0
11767.023,3.8113537,554.3425518314888,748.9751780415874,1128,0
11769.049,3.811537,554.3427383940646,748.9749706488965,1129,0
11771.657,3.8118656,554.3424606932933,748.975306733923,1130,0
11770.877,3.8115265,554.3429164629202,748.9744902424864,1131,0
11770.541,3.8116465,554.3424317556684,748.9754139030472,1132,0
11759.373,3.8107116,554.3423315862022,748.9744682298395,1133,0
11768.318,3.8115976,554.34272786772,748.9746892425771,1134,0
11772.57,3.8116865,554.342532868525,748.9748104528187,1135,0
11767.482,3.8116238,554.3423647190243,748.9749356675266,1136,0
11765.909,3.8111866,554.3428569117189,748.9749422397334,1137,0
11775.486,3.811978,554.3432532617292,748.9752287995586,1138,0
11774.664,3.8119483,554.343185721009,748.9749837100167,1139,0
11767.798,3.811336,554.3430158254306,748.9750150412129,1140,0
11776.001,3.8120296,554.3429933165058,748.9752433476039,1141,0
11771.755,3.8115976,554.3421741692804,748.9748479056437,1142,0
11773.137,3.8119707,554.3426342588837,748.9746312727216,1143,0
11774.613,3.8120103,554.3424514713362,748.9747939696467,1144,0
11767.08,3.811249,554.3420710648335,748.9750230092726,1145,0
11774.089,3.8118422,554.3417587080659,748.9746778276285,1146,0
11774.719,3.8118377,554.3423560403637,748.9745237941509,1147,0
11773.422,3.8122818,554.3422691767631,748.9746959839612,1148,128
11770.969,3.812053,554.3429715961717,748.9747553287965,1149,0
11776.253,3.8122144,554.3425240702228,748.9744700234673,1150,0
11775.277,3.8120632,554.3425377096637,748.9743027414678,1151,0
11779.118,3.8124619,554.342665355684,748.9745191997192,1152,0
11785.376,3.8127577,554.3427357922354,748.9743319284734,1153,0
11774.218,3.8119092,554.3429599685828,748.9753186303844,1154,0
11779.587,3.8122768,554.3429895182899,748.9751107313972,1155,0
11773.503,3.8118446,554.3429185591785,748.9746739649838,1156,0
11770.221,3.8116848,554.3430110399067,748.9749059412467,1157,0
11773.518,3.8117926,554.3430674425365,748.9749300135401,1158,0
11764.625,3.8110166,554.3423953887889,748.9747784475124,1159,0
11772.502,3.8117342,554.3422978845698,748.9747302000275,1160,0
11774.654,3.811679,554.3424115621013,748.9742070867593,1161,0
11773.022,3.8116806,554.3432434475336,748.974795696182,1162,0
11777.601,3.8120463,554.3430393474836,748.975111923347,1163,0
11780.837,3.8123384,554.3431496701808,748.9749211769858,1164,0
11773.641,3.811644,554.3432318903672,748.9752350096315,1165,0
11775.186,3.8119326,554.3430637216687,748.9748932847561,1166,0
11763.287,3.8108253,554.343308651304,748.9753421600375,1167,0
11779.579,3.8120952,554.3438633025,748.975527338758,1168,0
11773.233,3.8116386,554.3438553020909,748.9755867584715,1169,0
11773.417,3.8125367,554.3438768457751,748.9758137798266,1170,0
11782.322,3.8130977,554.3433965735297,748.9753694603227,1171,128
11771.478,3.8115814,554.3439523888475,748.9756232955336,1172,0
11776.532,3.811971,554.3435437435614,748.9757519568719,1173,0
11777.755,3.8120477,554.343445950187,748.9758485213741,1174,0
11784.796,3.8125033,554.3434918973534,748.9756128035817,1175,0
11775.9795,3.812,554.3433717171674,748.9755474836098,1176,0
11772.735,3.811642,554.3433747961785,748.9755365874507,1177,0
11777.643,3.8119674,554.343303398044,748.9752707404356,1178,0
11776.396,3.8118682,554.3430085172688,748.9746130493082,1179,0
11770.885,3.8115444,554.3432543301525,748.9756926393961,1180,0
11776.135,3.8119247,554.3425096674517,748.9749737887687,1181,0
11776.143,3.811905,554.3422254171653,748.9747937548772,1182,0
11774.068,3.811749,554.3425298638195,748.9749306212524,1183,0
11771.151,3.811628,554.3419247580755,748.975622018592,1184,0
11771.119,3.811691,554.3423819987861,748.9749964969047,1185,0
11771.597,3.8116734,554.3426277483871,748.974713453663,1186,0
11767.193,3.8111143,554.3424408985862,748.9751533732722,1187,0
11775.489,3.8118188,554.3423343075539,748.9755419458255,1188,0
11784.573,3.8126025,554.3419817498223,748.9749058527755,1189,0
11771.68,3.811635,554.3419278005799,748.9757733663371,1190,8192
11780.642,3.8123431,554.3425432664916,748.9752696943816,1191,0
11775.931,3.811889,554.3421930708643,748.9755793926932,1192,0
11773.588,3.812506,554.3422656076722,748.975255085494,1193,128
11772.52,3.8116674,554.34200436632,748.9751178084141,1194,0
11775.434,3.8117774,554.3413220668294,748.9752682213633,1195,0
11781.328,3.8124504,554.3411789947928,748.97478132398,1196,0
11776.526,3.81198,554.3407697506659,748.9754252274805,1197,0
11766.778,3.8110514,554.3411909049047,748.975565201278,1198,0
11781.74,3.8123262,554.3411723993041,748.975668768798,1199,0
11770.375,3.8114524,554.3416383701417,748.9758351936105,1200,0
11783.658,3.8126175,554.3411944412723,748.9755883889285,1201,8192
11778.989,3.812097,554.3418976986839,748.9754748973713,1202,0
11777.57,3.8120043,554.3421198567117,748.9755029432685,1203,0
11778.258,3.8124726,554.3415415633993,748.9756565327931,1204,0
11770.511,3.8115106,554.3417474077829,748.9751833059778,1205,0
11778.38,3.8121123,554.3414062074431,748.9759071828341,1206,0
11781.608,3.8122232,554.3413262067542,748.9758037139454,1207,0
11781.588,3.8122873,554.3415003494595,748.9753177151086,1208,0
11778.584,3.8118868,554.3417488037122,748.975530681056,1209,0
