flux,flux_err,centroid_col,centroid_row,cadenceno,quality
4778.548,2.6842632,295.22405363182173,317.6531909220346,1105,0
4784.972,2.6849656,295.22396787611115,317.65327811590305,1106,0
4780.997,2.6843321,295.2235206580577,317.65325912231674,1107,0
4787.569,2.6849823,295.2239034380727,317.65369870660106,1108,0
4782.455,2.6846693,295.22376621170235,317.653202291079,1109,0
4788.898,2.6852615,295.2235111463353,317.6524860394877,1110,0
4778.6143,2.6841333,295.2235663358947,317.6532556001051,1111,8192
4787.49,2.6849763,295.2240175710215,317.6520864886821,1112,0
4784.8535,2.6848092,295.22356365912947,317.6527619668285,1113,0
4783.509,2.6846347,295.22385199251255,317.65225225245916,1114,0
4790.5806,2.6855066,295.2236318799434,317.6525601361681,1115,0
4784.962,2.6847982,295.2235807127677,317.6529885792811,1116,0
4785.5405,2.684924,295.22334323764,317.6526077127786,1117,0
4784.2812,2.6847837,295.22361987008236,317.65243943713995,1118,0
4781.5093,2.6844182,295.22309982986013,317.65284852685176,1119,8192
4785.8535,2.6848474,295.22309310439255,317.6523416664388,1120,0
4790.508,2.6855216,295.2243416036759,317.65275871958505,1121,0
4780.758,2.684195,295.22312948473456,317.65331824267656,1122,0
4786.288,2.6848876,295.22374955087156,317.65247633263886,1123,0
4787.451,2.6852138,295.22368124470916,317.6523359524004,1124,0
4785.9346,2.6850035,295.22359424395665,317.65258179562426,1125,0
4787.771,2.6850295,295.2239080074102,317.6528910286777,1126,0
4782.908,2.6845386,295.22336940231924,317.6523458252734,1127,0
4787.5825,2.6859908,295.2235326037237,317.6521089396101,1128,128
4782.2334,2.6851487,295.2228924728921,317.65309556046174,1129,128
4784.7666,2.684689,295.2238318487567,317.65280484701714,1130,0
4783.221,2.684506,295.2230151335688,317.65214280019563,1131,0
4783.43,2.6845908,295.2234441964525,317.6521715932737,1132,0
4788.236,2.6851914,295.2235685921316,317.65212691689135,1133,0
4786.025,2.6848018,295.2235631919471,317.65216467337206,1134,0
4786.8813,2.6850915,295.2240579748138,317.6520397161921,1135,0
4782.2803,2.684525,295.2234004161685,317.65214362892596,1136,0
4785.0596,2.6847868,295.22389309498294,317.65174999836734,1137,0
4783.6655,2.684711,295.22340620501467,317.6526595415388,1138,0
4779.9717,2.684278,295.2229259467043,317.6530033382087,1139,0
4783.2134,2.6847374,295.2231187540329,317.65238647023114,1140,0
4781.8906,2.6844454,295.2226746426541,317.6523992981128,1141,0
4785.081,2.6845858,295.2235468547159,317.6518385084827,1142,0
4784.1323,2.6846187,295.22367398411683,317.652327486555,1143,0
4784.45,2.684609,295.22374962162786,317.6521785063898,1144,0
4783.71,2.68457,295.2233750139583,317.6525081420017,1145,0
4784.507,2.684767,295.2236181032732,317.6523953059446,1146,0
4789.3477,2.685115,295.2236281251198,317.65147369895595,1147,8192
4790.233,2.6853478,295.22368195191285,317.65206992897436,1148,0
4780.829,2.684659,295.2232402147738,317.65199115516504,1149,8192
4787.4224,2.6849332,295.2228192495778,317.6514581844455,1150,0
4787.6377,2.6850924,295.22364805312185,317.6518739784634,1151,0
4785.3325,2.684778,295.22323588386183,317.65237855778986,1152,0
4783.3647,2.6844728,295.22322426120553,317.65226116287823,1153,0
4781.7974,2.684327,295.2231289187584,317.6517592552977,1154,0
4783.5947,2.684631,295.22313174237877,317.6523857734391,1155,0
4784.7983,2.6846502,295.22328606313107,317.6521585619618,1156,0
4789.0635,2.6852233,295.2236257190812,317.6517773892685,1157,0
4790.707,2.6852238,295.22331913857477,317.6522550869053,1158,0
4786.83,2.684866,295.22339451057326,317.65196493639775,1159,0
4783.6123,2.6845286,295.22388540057517,317.6518300407233,1160,0
4789.6123,2.6851704,295.22342056774477,317.65205087461413,1161,0
4787.4785,2.6849053,295.22354245735437,317.6517056174065,1162,0
4789.5464,2.6852944,295.22315108658984,317.6517076272167,1163,0
4787.461,2.6849384,295.22360434566207,317.65149039824695,1164,0
4779.9224,2.6840308,295.2230910523459,317.65218699412145,1165,0
4784.921,2.6844447,295.2236401320963,317.6521125962522,1166,0
4783.0757,2.685057,295.22340149630367,317.65192201808355,1167,128
4783.587,2.6844122,295.22250784594047,317.652636168127,1168,0
4779.957,2.6840615,295.2229935137688,317.6525799409399,1169,0
4784.7646,2.6854415,295.22357388329124,317.65264935456963,1170,0
4784.2295,2.684526,295.22255312814667,317.6532386450968,1171,0
4782.082,2.6843696,295.22250736289357,317.6526340672538,1172,0
4785.22,2.6845727,295.22362328626014,317.6527888504756,1173,0
4786.031,2.684642,295.22332194187777,317.6524669955725,1174,0
4783.355,2.6844933,295.2233570881937,317.65228273811437,1175,0
4780.5825,2.684255,295.22305789625653,317.6521870253435,1176,0
4786.7417,2.6847582,295.2233380684991,317.65228923003775,1177,8192
4789.957,2.6854622,295.2237780422743,317.65079392414674,1178,0
4791.9287,2.6854124,295.2237563519794,317.6514182160045,1179,0
4780.6035,2.684131,295.2227040042996,317.6519052795742,1180,0
4783.908,2.6846278,295.22337338697724,317.65214544094357,1181,0
4782.6025,2.684452,295.2229084756457,317.65235020832546,1182,0
4788.8125,2.6850514,295.22368474985643,317.65207132422694,1183,0
4796.171,2.685854,295.2243262396618,317.6517586801218,1184,0
4788.5845,2.685014,295.2238446058186,317.65161524967675,1185,0
4787.415,2.684848,295.22326325858836,317.65160434854937,1186,0
4784.3857,2.6845012,295.22273890122307,317.65174199095526,1187,0
4788.4883,2.6849134,295.2238565462172,317.65209336631307,1188,0
4789.5464,2.6850965,295.22336795395165,317.6519308280536,1189,0
4786.1353,2.684849,295.2238653469367,317.65202022443367,1190,0
4784.1074,2.6845374,295.2234995741924,317.65172075471236,1191,0
4785.3174,2.6846414,295.22300968436775,317.6521065106991,1192,0
4789.3345,2.6851346,295.2237769786116,317.65207679121403,1193,0
4785.3853,2.6847181,295.2235354501912,317.6516499299676,1194,0
4788.4805,2.6849692,295.2241305223881,317.65180206316876,1195,0
4790.865,2.685187,295.22474729638884,317.6520237857548,1196,0
4788.8774,2.685004,295.2238676433357,317.6514870107134,1197,0
4789.3877,2.6851263,295.22365806420567,317.6518367979397,1198,0
4784.3936,2.6845648,295.22389964094276,317.6517225691993,1199,0
4786.8037,2.6849153,295.2232983766609,317.6517765720251,1200,0
4785.0957,2.6845088,295.2235777013913,317.6524460551848,1201,0
4788.215,2.6850257,295.22346754584623,317.652096736331,1202,0
4786.589,2.6849036,295.22359084025254,317.6515039527962,1203,0
4788.6514,2.6852703,295.2236572766545,317.6517097065735,1204,0
4784.127,2.6845448,295.2236391256405,317.6513125221221,1205,0
4797.91,2.6860888,295.22401665153694,317.6520185167187,1206,0
4790.616,2.685177,295.223695753478,317.6524293721694,1207,0
4787.5654,2.6848636,295.2236053297248,317.6517030864257,1208,0
4792.9893,2.687333,295.22332779342224,317.65141382850646,1209,8320
4791.057,2.6854236,295.2237492337255,317.651696804247,1210,0
4789.739,2.685149,295.22362056846583,317.65167479918466,1211,0
4789.8438,2.6851118,295.223442724474,317.651770956512,1212,0
4787.4253,2.684726,295.2237262595992,317.6511427247202,1213,0
4792.262,2.6853397,295.22324215886346,317.65121691609386,1214,0
4795.1045,2.688439,295.22407922040446,317.6521803930278,1215,128
4794.113,2.685409,295.22316568590037,317.65119875624634,1216,0
4786.729,2.684656,295.2235944696136,317.65120412336927,1217,0
4788.2217,2.6849988,295.2231491397654,317.6517611664181,1218,0
4786.6045,2.684899,295.2230794486077,317.65145091674293,1219,0
4790.219,2.6850314,295.2237918115007,317.65067892069095,1220,0
4792.1396,2.6853578,295.2242737180902,317.6513240638509,1221,0
4787.0312,2.6847289,295.22291630116365,317.65165668503363,1222,0
4794.0845,2.6855557,295.22352220881754,317.65091030409076,1223,0
4791.659,2.6852186,295.2237097585139,317.6508091542025,1224,0
4794.199,2.6855435,295.22384997942663,317.65205474577635,1225,0
4792.426,2.6852822,295.2233159716137,317.65198427378897,1226,8192
4789.634,2.684949,295.22300222648806,317.6513766837561,1227,0
4789.0767,2.6848495,295.2237807922468,317.65148604908285,1228,0
4791.0415,2.6851184,295.22370147715264,317.651482862455,1229,0
4789.559,2.6851408,295.2229633968419,317.6511460768699,1230,0
4787.9897,2.6847517,295.22337084479466,317.6507549534699,1231,0
4788.987,2.684856,295.22280269009144,317.65114336406214,1232,0
4788.9355,2.6849196,295.22336820205265,317.65141241764155,1233,8192
4788.294,2.6847842,295.2233128562842,317.6507386648816,1234,0
4787.232,2.6845984,295.2228902799408,317.6509245262591,1235,0
4791.17,2.685168,295.2236308431159,317.6508083756679,1236,0
4793.3325,2.6852553,295.22357492223745,317.6509658687783,1237,0
4789.9165,2.6848829,295.2231185527785,317.6510682829398,1238,0
4790.751,2.6851215,295.22374666435917,317.6513393766248,1239,0
4790.183,2.6850302,295.2236785947823,317.65096685420775,1240,0
4791.2705,2.6851177,295.22341847997893,317.65153494050764,1241,0
4796.308,2.6855683,295.22309372575484,317.65187352531177,1242,0
4793.77,2.6853642,295.2237274208743,317.65130691145663,1243,0
4792.468,2.6852014,295.22343742326774,317.6511660970778,1244,0
4793.4927,2.6852386,295.2236358026471,317.6512702093078,1245,0
4793.266,2.6852162,295.2234435282082,317.65102254250934,1247,0
4793.3623,2.6851935,295.2239733320593,317.6510941478827,1248,0
4792.01,2.6850967,295.2229070690183,317.6507808943232,1249,8192
4795.221,2.6855211,295.22390468395406,317.65075702249953,1250,0
4789.3945,2.684771,295.22273205976745,317.651527639295,1251,0
4801.167,2.686038,295.2228217779491,317.6511391921825,1252,0
4793.499,2.6852405,295.2228547249153,317.65098446091844,1253,0
4792.458,2.685114,295.2227418233443,317.6517607278139,1254,0
4794.8037,2.6854863,295.2230890516854,317.6520908280021,1255,0
4789.2476,2.6849065,295.2222713355591,317.65161301118155,1256,8192
4792.245,2.6851473,295.2223844054288,317.6522184978926,1257,0
4791.86,2.6850817,295.2219924760506,317.6510708238428,1258,0
4793.7227,2.685198,295.2225592520899,317.6511714386001,1259,0
4796.315,2.6854997,295.2226076782377,317.6519792034962,1260,0
4797.9697,2.6857738,295.2223933371476,317.650851140497,1261,8192
4794.9604,2.6853673,295.2219275425381,317.6509150919254,1262,0
4793.044,2.685204,295.2225173932683,317.6507551162604,1263,0
4792.2466,2.6850226,295.2229660265641,317.6505872714012,1264,0
4796.1636,2.6855817,295.2229637223273,317.6506925256016,1265,0
4797.201,2.6856165,295.2231258603344,317.65078839687,1266,0
4791.5073,2.6850026,295.2231327767319,317.65095386281695,1267,0
4792.4087,2.6851346,295.22282017366945,317.6507794933353,1268,0
4795.788,2.6854072,295.2226284172289,317.6510597907262,1269,0
4794.4873,2.6852438,295.223105836476,317.650788640722,1270,8192
4797.048,2.6857855,295.22327786132297,317.6503228036673,1271,0
4792.786,2.6850183,295.2233230463345,317.6510711275572,1272,0
4795.1416,2.6854725,295.2226765830486,317.6510011888457,1273,0
4796.684,2.68566,295.22284218559594,317.65031632595515,1274,0
4788.7563,2.6845183,295.2224166706008,317.6504300641976,1275,0
4795.0293,2.6853652,295.22325920396895,317.65030598856237,1276,0
4798.715,2.6857936,295.2231896398043,317.6502865464976,1277,0
4794.064,2.6852126,295.2229417727795,317.64977097989936,1278,0
4790.221,2.6848478,295.22310464138315,317.65006761847894,1279,0
4794.4585,2.6853426,295.22293193099824,317.6504741013159,1280,0
4799.774,2.6867325,295.22300120031286,317.6503340827617,1281,128
4800.115,2.6860704,295.2227131082872,317.6493903217452,1282,0
4792.571,2.685047,295.22302419669114,317.6500760237836,1283,0
4794.789,2.685277,295.22299851380814,317.6506002953951,1284,0
4795.4004,2.685109,295.22336704178196,317.6499357752485,1285,0
