flux,flux_err,centroid_col,centroid_row,cadenceno,quality
16307.033,4.175795,192.88244872173996,201.0462101104046,1105,0
16322.621,4.1768737,192.88256335987418,201.04645070925224,1106,0
16311.853,4.1761646,192.8820291792592,201.04650828529054,1107,0
16312.878,4.1761713,192.8822289093877,201.04668343262162,1108,0
16303.991,4.1754384,192.88190444105572,201.04626751474834,1109,0
16304.459,4.1755857,192.88178987265394,201.0465627033824,1110,0
16308.6875,4.1759944,192.881571421805,201.04669549130136,1111,0
16305.748,4.1758,192.8817658212936,201.04641651618132,1112,0
16307.573,4.175957,192.88184732218272,201.046559889526,1113,0
16303.272,4.175485,192.88155853218214,201.04671502171576,1114,0
16312.197,4.1761436,192.8815380688339,201.04683864014478,1115,0
16308.482,4.1758976,192.8814418478665,201.04681759504226,1116,0
16307.161,4.17576,192.88132904399447,201.04695923363448,1117,0
16302.155,4.1754603,192.88165726894456,201.0470323253965,1118,0
16310.249,4.17601,192.88190806382227,201.04696173801523,1119,0
16306.382,4.1757097,192.88167114431988,201.0470244879021,1120,0
16302.672,4.175521,192.88133391669885,201.04707211498834,1121,0
16302.776,4.175454,192.881384957197,201.0473631597211,1122,0
16304.942,4.1754866,192.8812044280453,201.04690419160315,1123,8192
16303.705,4.175484,192.88103698929152,201.04711104568233,1124,0
16306.799,4.1757135,192.88124082908047,201.04721551090472,1125,0
16313.556,4.1761274,192.8804418473038,201.04702374310546,1126,0
16300.976,4.175245,192.8815554424555,201.04659137480928,1127,0
16302.369,4.175483,192.88122017349616,201.04726984943235,1128,0
16301.828,4.1753793,192.88124446926247,201.04690692941358,1129,0
16310.255,4.1759467,192.88177785753678,201.04707289245567,1130,0
16306.341,4.175692,192.8809591091416,201.04697639218784,1131,0
16301.99,4.1753182,192.88100233310038,201.04720036190702,1132,0
16306.128,4.1756296,192.8809909656999,201.04652339650156,1133,0
16307.286,4.1757584,192.88108714974211,201.04700343189194,1134,0
16302.62,4.175362,192.88066527122538,201.04694953984043,1135,0
16311.307,4.175982,192.88093125886004,201.04700529831027,1136,0
16306.189,4.1757865,192.88132960829316,201.04715115785334,1137,8192
16302.895,4.175479,192.88095599605947,201.04721597993765,1138,0
16303.381,4.175517,192.88099709655697,201.04741585214484,1139,0
16310.207,4.1760173,192.88113368964937,201.04704570541884,1140,0
16308.764,4.1758566,192.88104415858183,201.0471496434708,1141,0
16299.832,4.1749945,192.8810030304904,201.04704220060623,1142,0
16302.9375,4.1754923,192.8809070636954,201.04705535821165,1143,0
16306.22,4.175697,192.88076069636244,201.04710970576016,1144,0
16296.6,4.175018,192.8811865409039,201.0465966497037,1145,0
16315.575,4.176399,192.88122279270988,201.04725178948843,1146,0
