flux,flux_err,centroid_col,centroid_row,cadenceno,quality
20280.916,4.9650035,108.89517944801479,632.4923797979532,11914,0
20283.71,4.964226,108.8950804854669,632.4920728453116,11915,0
20298.879,4.968121,108.89597737824383,632.4925705768945,11917,144
20289.547,4.9655046,108.89542947954266,632.4922656411842,11918,0
20292.592,4.964819,108.89501470648108,632.4919978001035,11919,0
20300.79,4.9661303,108.89533198659535,632.4923752494708,11920,0
20303.654,4.9645934,108.89541370347722,632.4921685907738,11921,0
20311.455,4.966945,108.8949747174494,632.4919018790871,11922,0
20307.79,4.966727,108.89514788790439,632.4920172892502,11923,8192
20315.611,4.965394,108.89522473865301,632.4920374396017,11924,0
20320.39,4.968965,108.89489441721678,632.4918483108485,11925,0
20318.451,4.9655814,108.89515853504267,632.4917616204176,11926,0
20343.014,4.9690604,108.8951619000611,632.4920446009327,11927,0
20319.463,4.96757,108.89512594961438,632.491872071016,11928,0
20330.658,4.967268,108.89491286611383,632.4917068847204,11929,0
20328.936,4.9672666,108.89447602612886,632.4914149152393,11930,0
20343.938,4.9698105,108.89519885857426,632.4917925103609,11931,0
20340.73,4.9690413,108.89478101780468,632.4918545357731,11932,0
20343.166,4.969129,108.89487615259885,632.4916063558757,11933,0
20347.055,4.9693804,108.89445424907936,632.4912219700391,11934,0
20354.06,4.9697695,108.89503072871382,632.4920084905125,11935,0
20345.254,4.968092,108.89462792929095,632.4911740335535,11936,0
20350.578,4.9688716,108.8943916529168,632.491303987976,11937,0
20343.27,4.968524,108.8943394904488,632.4911930403695,11938,0
20353.758,4.968984,108.8946578003486,632.4916117313737,11939,0
20352.4,4.9681087,108.89445114855636,632.4914145629225,11940,0
20366.678,4.9709377,108.89447086755816,632.4912500147443,11941,0
20357.07,4.9704013,108.89444229704628,632.4912195547846,11942,0
20361.959,4.9707613,108.89428347327944,632.4911801413731,11943,0
20362.648,4.97082,108.89456221471873,632.4913158628755,11945,0
20364.576,4.971558,108.89465959171213,632.491356432782,11946,0
20370.229,4.9693527,108.89456413992464,632.4910768082,11947,0
20371.732,4.971362,108.89402600345129,632.4912631754019,11948,0
20381.055,4.9729233,108.89461574397946,632.4911787021687,11949,0
20390.373,4.973216,108.89459968542715,632.4912784901749,11950,0
20366.678,4.9710975,108.89468722558169,632.4911369029758,11951,0
20384.092,4.9701886,108.8946667838019,632.4912465428339,11952,0
20384.668,4.971382,108.8940548783409,632.490313962652,11953,0
20389.672,4.9724436,108.89452562533575,632.491300114172,11954,0
20394.518,4.9729104,108.89472903424662,632.4911382278747,11955,8192
20399.078,4.973179,108.89432178523118,632.4909993072316,11956,0
20396.111,4.9729643,108.89414697352983,632.4909512433388,11957,0
20393.145,4.972026,108.89449518450306,632.49108384237,11958,0
20397.645,4.9730587,108.89436364052452,632.4911797665152,11959,0
20387.078,4.9716578,108.89404983544073,632.4912255151374,11960,0
20404.396,4.971649,108.89422379817998,632.4911141251728,11961,0
20400.299,4.9723907,108.8940349707653,632.4908953695149,11962,0
20399.01,4.972347,108.89406479572145,632.491119109259,11963,0
20408.033,4.974498,108.89433536052985,632.4913385308596,11964,0
20407.062,4.9729247,108.89427505087852,632.4905314535237,11965,0
20415.643,4.9787765,108.89444695559826,632.490894218004,11966,0
20416.475,4.976708,108.89390555890114,632.4905942873187,11967,0
20415.863,4.9766974,108.89394044555198,632.4908606057713,11968,0
20413.436,4.9764543,108.89425681031727,632.4911813032624,11969,0
20409.465,4.9753604,108.89379397995874,632.490482644101,11970,0
20421.416,4.9770255,108.8938737803977,632.4906309402038,11971,0
20415.42,4.975686,108.89404124366969,632.49081809165,11972,0
20431.324,4.9758515,108.89388409896033,632.4904410860775,11973,0
20433.273,4.9773927,108.89448362003571,632.4910234267197,11974,0
20430.17,4.9757047,108.89442185256237,632.4907417398939,11975,0
20441.006,4.9795628,108.89398335840708,632.4907070903357,11976,0
20432.057,4.97775,108.89406702884264,632.4902816480269,11977,0
20443.629,4.977585,108.8939296073578,632.4907252225967,11978,0
20435.887,4.9780483,108.89380024646441,632.4905275815446,11979,0
20441.389,4.9784865,108.89392627153033,632.4906228480896,11980,0
20438.822,4.976359,108.89354393714207,632.490485366868,11981,0
20454.55,4.978989,108.89387473466803,632.4908143280214,11982,0
20504.164,4.9841413,108.8949949381471,632.4915264687089,11983,12352
20452.113,4.9772534,108.89362164185547,632.490229188667,11984,0
20451.086,4.9790487,108.89380217527416,632.4905892427587,11985,0
20461.012,4.979696,108.89364932143239,632.4903556155963,11986,0
20450.924,4.977353,108.89366971837019,632.49032510231,11987,0
20459.09,4.979619,108.8935314080481,632.4904203119144,11988,0
20449.941,4.979259,108.8936316839806,632.4902392179073,11989,0
20463.709,4.978987,108.89381013110194,632.4904569889779,11990,0
20463.17,4.9781017,108.89349014922293,632.4905162003611,11991,8192
20467.258,4.978472,108.89363638961848,632.4900918886167,11992,0
20472.617,4.9788156,108.8938876648305,632.4904775385949,11993,0
20480.59,4.9811573,108.89326762992627,632.4902191296885,11994,0
20474.824,4.9807806,108.89357790173908,632.4901460062902,11995,0
20475.36,4.979004,108.89360029762337,632.4900796882476,11996,0
20478.8,4.9801836,108.8933236599662,632.4898732454465,11997,0
20479.363,4.9802136,108.89362642261636,632.4902903577954,11998,0
20476.629,4.980979,108.89355574509774,632.4901838536101,11999,0
20475.557,4.9790025,108.89329532951113,632.4902078841149,12000,0
20493.043,4.9811945,108.8933555230443,632.4897333918009,12001,0
20480.625,4.9794364,108.89319189701966,632.4905034281161,12002,0
20486.582,4.9798684,108.8932739536072,632.4898424666774,12003,0
20483.59,4.9797816,108.8933402338648,632.4899537053194,12004,0
20489.656,4.980117,108.8932110097187,632.4901033691352,12005,0
20483.434,4.979759,108.89324143472268,632.4895854231191,12006,0
20504.385,4.981088,108.89310834215624,632.4899714071257,12007,0
20498.71,4.981506,108.89366381889486,632.4900818541848,12008,128
20483.17,4.97995,108.8933165154262,632.489765714192,12009,0
20502.896,4.9810305,108.89258623352855,632.4893494230951,12010,0
20489.822,4.980288,108.89295893878906,632.4897131247707,12011,0
20488.008,4.980147,108.8928441847651,632.4892895555803,12012,0
20499.318,4.9809394,108.89327680817512,632.4900122917578,12013,0
20505.463,4.9812775,108.89282177996203,632.4898618205972,12014,0
20507.553,4.9815955,108.89294851901458,632.4898308711911,12015,0
20511.928,4.98268,108.89313470620705,632.4897992493316,12016,0
20514.434,4.981992,108.89301455292053,632.489785458552,12017,0
20518.293,4.98225,108.89348244744639,632.4899489758377,12018,0
20493.777,4.9807186,108.89298769138574,632.4898744988714,12019,0
20494.172,4.9806542,108.89308035339887,632.4899567364616,12020,0
20508.264,4.9815946,108.89313813667528,632.4899359952176,12021,0
20506.18,4.9816465,108.89333582892885,632.4901949693328,12022,0
20505.793,4.9815474,108.89323658753634,632.4901289803205,12023,0
20520.432,4.982443,108.89310441332243,632.4900860230196,12024,0
20535.4,4.983323,108.89299156491862,632.4897139681143,12025,0
20535.848,4.9834843,108.89290873814026,632.4895873357983,12026,0
20529.947,4.983187,108.89292367818621,632.4893853496031,12027,0
20534.818,4.983598,108.89256964899651,632.4895441914252,12028,0
20543.682,4.984821,108.89308878447363,632.4898553862696,12029,0
20538.582,4.983609,108.8926090915592,632.4892610589312,12030,0
20546.627,4.98425,108.89277742468944,632.4897101181734,12031,0
20547.676,4.985631,108.89322638091102,632.4894213248343,12032,0
20547.283,4.9842534,108.89256922082062,632.489719031485,12033,0
20542.447,4.9841247,108.89278428036727,632.4897505538979,12034,0
20550.682,4.985196,108.89274665273516,632.4894949773563,12035,0
20545.07,4.9843307,108.8923220656453,632.489430416702,12036,0
20552.482,4.984726,108.89263053780665,632.4892724440411,12037,0
20556.828,4.9849935,108.89255273182306,632.4891442498482,12038,0
20568.53,4.987471,108.89253782634215,632.4891262055854,12039,0
20550.602,4.984863,108.89240328964101,632.4890251190659,12040,0
20562.771,4.9854884,108.89257164181628,632.4892061289274,12041,0
20551.916,4.984867,108.89217458269032,632.4891112919445,12042,0
20562.121,4.985341,108.89210116523803,632.4891196822016,12043,0
20562.805,4.985479,108.89234355831164,632.4890693702677,12044,0
20570.205,4.98701,108.8922969712622,632.4892433508246,12045,0
20568.45,4.9858627,108.89219400665424,632.4891650601469,12046,0
20574.766,4.9880495,108.89272668018127,632.4891427083768,12047,8320
20584.021,4.987007,108.8920349643074,632.4890426234168,12048,0
20574.39,4.98628,108.89208546696211,632.4889759500301,12049,0
20580.904,4.986651,108.89214660809384,632.4888020889928,12050,0
20586.99,4.9870915,108.89237085029522,632.488789953009,12051,0
20578.025,4.9866166,108.89217240895908,632.4888397037134,12052,0
20582.572,4.9872146,108.89219266465476,632.4888414574318,12053,0
20577.69,4.98653,108.89243475469345,632.4890327678253,12054,0
20577.44,4.986674,108.89222161942753,632.488765161738,12055,0
20582.49,4.9868684,108.89250140085129,632.4891332253457,12056,0
20590.787,4.987391,108.89212051017772,632.4886802105823,12057,0
20595.932,4.9877157,108.89242852876833,632.488929052423,12058,0
20588.326,4.987341,108.89198249932669,632.4888916708242,12059,0
20593.045,4.987636,108.89203070092783,632.4887290336857,12060,0
20605.695,4.988365,108.89201573707815,632.488870069059,12061,0
20599.117,4.988069,108.89180324826192,632.4888371811387,12063,0
20598.191,4.9889307,108.89201939353178,632.4889056433581,12064,0
20598.33,4.987999,108.89197081429633,632.4888540413764,12065,0
20602.072,4.9883385,108.8917593738911,632.4887696713705,12066,0
20600.008,4.988196,108.89166624159351,632.4885989630523,12067,0
20611.188,4.9889617,108.89201888447452,632.488729881413,12068,0
20614.09,4.98903,108.89184156742382,632.4885290173381,12069,0
20601.594,4.988384,108.89151229363891,632.4881369456114,12070,0
20608.574,4.988776,108.89165843725922,632.488785943635,12071,0
20603.822,4.9885836,108.89178033965179,632.4888469346413,12072,0
20623.139,4.9897914,108.89192931544864,632.4886873727809,12073,0
20608.389,4.9888463,108.89155251815028,632.4885763166736,12074,0
20615.13,4.989339,108.89158227180108,632.4883026532488,12075,0
20620.86,4.989689,108.89167902907592,632.4887836916597,12076,0
20620.902,4.9904275,108.89180256290501,632.488817297698,12077,0
