iter	MultiClass
0	1.615246737
1	1.496625931
2	1.407950506
3	1.337739592
4	1.281032247
5	1.233416663
6	1.193840525
7	1.159482308
8	1.130640512
9	1.105236179
10	1.083211065
11	1.061350693
12	1.044981068
13	1.030192295
14	1.015226657
15	1.001231321
16	0.9882821216
17	0.9781947001
18	0.9665900567
19	0.9556225879
20	0.9485230166
21	0.9404105112
22	0.9337267952
23	0.9277402388
24	0.921847028
25	0.9164077873
26	0.9104087109
27	0.9050054454
28	0.8971713919
29	0.8935774296
30	0.8883365283
31	0.883906418
32	0.8791308182
33	0.8744049023
34	0.8695471298
35	0.8653075142
36	0.8623234675
37	0.8594954459
38	0.8558640027
39	0.8514637661
40	0.8477954759
41	0.8447410635
42	0.8416419594
43	0.8387529224
44	0.8347082389
45	0.8307573764
46	0.8282902961
47	0.8247962563
48	0.8218451738
49	0.8195179534
50	0.817555161
51	0.815766936
52	0.8130659371
53	0.8097413932
54	0.8072136938
55	0.8043634847
56	0.8016475094
57	0.7989040376
58	0.796452647
59	0.7930347575
60	0.7906417673
61	0.7889170933
62	0.7872443219
63	0.7852088658
64	0.7834108941
65	0.7812748816
66	0.779420649
67	0.7775217246
68	0.7757883341
69	0.7735404337
70	0.7713451491
71	0.7687569098
72	0.7673652052
73	0.7648664287
74	0.7631397736
75	0.7616683529
76	0.7590135514
77	0.7573739027
78	0.7553659431
79	0.7531141599
80	0.7510578635
81	0.7494598953
82	0.746996064
83	0.7453468271
84	0.7434511516
85	0.7416365393
86	0.7396867425
87	0.738705901
88	0.7368365334
89	0.735091336
90	0.7335844947
91	0.7319496796
92	0.7304172435
93	0.7289684064
94	0.7277890669
95	0.7260332513
96	0.7243351229
97	0.7232229796
98	0.7218658239
99	0.720568812
100	0.719393593
101	0.7176280308
102	0.7164477404
103	0.7152241846
104	0.7142572895
105	0.7126682756
106	0.7116598583
107	0.7106511241
108	0.708788175
109	0.70752801
110	0.7058593592
111	0.7041223236
112	0.7029620019
113	0.7013563474
114	0.7007351002
115	0.6998110743
116	0.6983917147
117	0.6963391426
118	0.6934217374
119	0.6918141812
120	0.6902973555
121	0.6887502599
122	0.6872518181
123	0.6860895154
124	0.6848342633
125	0.6837073812
126	0.6815414949
127	0.6801641329
128	0.6786164826
129	0.6770366606
130	0.6760669128
131	0.6746426402
132	0.6730448306
133	0.6714518546
134	0.670399221
135	0.6695410442
136	0.6683836544
137	0.667262636
138	0.6663727629
139	0.6653169597
140	0.6646030801
141	0.6630828471
142	0.6622798218
143	0.6610456873
144	0.6598590973
145	0.6586509935
146	0.6571845253
147	0.6558930206
148	0.6545012764
149	0.6533058511
150	0.6517894612
151	0.6506086162
152	0.6494696499
153	0.6486841367
154	0.6472566946
155	0.6459417346
156	0.6449143392
157	0.6433411338
158	0.6420384165
159	0.6411301199
160	0.6398004212
161	0.6384245647
162	0.6370571474
163	0.6362573314
164	0.6350695131
165	0.6342846339
166	0.6331513729
167	0.6321130423
168	0.6311648479
169	0.6300530215
170	0.6289440874
171	0.6280106715
172	0.6272107762
173	0.62579732
174	0.6244473753
175	0.6232418468
176	0.6221103687
177	0.6211916915
178	0.6198084657
179	0.6186671221
180	0.6177501883
181	0.6170495419
182	0.6159799508
183	0.6150607586
184	0.6144397888
185	0.6129739149
186	0.612141729
187	0.6109152017
188	0.6095468731
189	0.608993456
190	0.6080589703
191	0.6071007124
192	0.6063928552
193	0.6052683502
194	0.604238855
195	0.6036820305
196	0.6022215054
197	0.6011935949
198	0.6003368047
199	0.5991495015
200	0.598281063
201	0.5973455472
202	0.5965908983
203	0.5956356515
204	0.5944662568
205	0.593552651
206	0.5927691981
207	0.5918025011
208	0.5904996253
209	0.5892717906
210	0.5879935587
211	0.5866898113
212	0.5858140826
213	0.5850454873
214	0.5835364273
215	0.5827891081
216	0.5815175325
217	0.580519258
218	0.5787100342
219	0.5778351375
220	0.5768627747
221	0.576151312
222	0.5754492394
223	0.574783657
224	0.5737954461
225	0.5729924604
226	0.5720711287
227	0.5714197304
228	0.5704548956
229	0.5693643849
230	0.5688551841
231	0.5683206659
232	0.5675315869
233	0.5663971769
234	0.5656080187
235	0.5645831986
236	0.563667493
237	0.5626840365
238	0.5618902824
239	0.5603937027
240	0.5597165908
241	0.5587342438
242	0.5580097856
243	0.5570551331
244	0.556445257
245	0.5557362904
246	0.5549850489
247	0.5538159314
248	0.5528470553
249	0.5523392808
250	0.5513471871
251	0.5506216592
252	0.5498620974
253	0.5492083615
254	0.5483037892
255	0.5476680014
256	0.5469628779
257	0.5459481214
258	0.5448654556
259	0.5442818874
260	0.5435028324
261	0.5429626088
262	0.5422677867
263	0.5413248222
264	0.5406279002
265	0.5397124323
266	0.5389386864
267	0.537785219
268	0.5369195935
269	0.5363861847
270	0.5355415976
271	0.5345384498
272	0.5341185929
273	0.5333104169
274	0.5326415065
