iter	MultiClass
275	0.5320267967
276	0.5311179454
277	0.5298875749
278	0.529039937
279	0.5278693932
280	0.5271011942
281	0.5260390517
282	0.5248438245
283	0.5238680148
284	0.5233426885
285	0.5224954864
286	0.5218603722
287	0.5207608281
288	0.5203257174
289	0.5196090644
290	0.5188166969
291	0.518036691
292	0.5175874358
293	0.516629693
294	0.5159369311
295	0.5151345793
296	0.514431318
297	0.513971603
298	0.5131626346
299	0.5124249432
300	0.5117353113
301	0.5113311441
302	0.5108061348
303	0.5102354828
304	0.5096549257
305	0.5089534474
306	0.5080257367
307	0.5075459343
308	0.5068897816
309	0.5062877899
310	0.5054633696
311	0.5048063056
312	0.5041864451
313	0.5036525212
314	0.503353348
315	0.5027178375
316	0.5020645374
317	0.5010638065
318	0.5005590828
319	0.499421107
320	0.4990476852
321	0.4979668419
322	0.4967087371
323	0.4959140717
324	0.4953965902
325	0.4949504254
326	0.4941634067
327	0.4936149818
328	0.4927139753
329	0.4922272392
330	0.4911958421
331	0.4900712184
332	0.4894288536
333	0.4885495987
334	0.487745147
335	0.4866923153
336	0.4859045042
337	0.4852533833
338	0.4842735719
339	0.4834511722
340	0.4831995037
341	0.4822819755
342	0.4814418655
343	0.4806835319
344	0.4803330503
345	0.4796008265
346	0.4791574747
347	0.4780597136
348	0.4770249092
349	0.4763367828
350	0.4754314181
351	0.4748860836
352	0.4744033492
353	0.4735829305
354	0.4729500349
355	0.4723035892
356	0.471598545
357	0.4711062225
358	0.4704723364
359	0.4700921791
360	0.4695489445
361	0.4692387963
362	0.4689281727
363	0.4684342654
364	0.4680065637
365	0.4671121342
366	0.4666988146
367	0.4660317663
368	0.4653386478
369	0.4644716753
370	0.4638677026
371	0.4634369897
372	0.4629496989
373	0.4621843129
374	0.4612044223
375	0.4606323044
376	0.4600416838
377	0.4593833916
378	0.4589990742
379	0.4584624164
380	0.4575035642
381	0.4566497852
382	0.4555355816
383	0.4549504286
384	0.4542882932
385	0.4536519507
386	0.4526771711
387	0.4519768417
388	0.4515901075
389	0.4505794715
390	0.4502336254
391	0.4491535349
392	0.4489165656
393	0.4484620805
394	0.4480550606
395	0.447018077
396	0.4464563793
397	0.4456694002
398	0.4452688384
399	0.444399647
400	0.4436720985
401	0.4430515645
402	0.4422955289
403	0.4417797511
404	0.4413877869
405	0.4408661849
406	0.4402990592
407	0.4396211153
408	0.4390718583
409	0.4383441513
410	0.4374898176
411	0.436619081
412	0.4360099577
413	0.4355712019
414	0.4351386269
415	0.4347051406
416	0.4338811957
417	0.4332928334
418	0.4327858117
419	0.4321001815
420	0.4315513207
421	0.4310769066
422	0.4307612909
423	0.4301977705
424	0.4295273545
425	0.4291516347
426	0.428820884
427	0.4279043067
428	0.427480567
429	0.4268153809
430	0.4261352182
431	0.4256650039
432	0.4249728759
433	0.4244589999
434	0.4233226485
435	0.4225281812
436	0.4219582027
437	0.4204947061
438	0.4195425101
439	0.4188495501
440	0.4181806397
441	0.4177398236
442	0.4166417455
443	0.4162596468
444	0.4157240588
445	0.4146796266
446	0.4137253308
447	0.4133253633
448	0.4128324465
449	0.411905449
450	0.4114483094
451	0.4109333636
452	0.4105873987
453	0.4100958686
454	0.4098216957
455	0.4091742595
456	0.4083639044
457	0.4078437288
458	0.4074239115
459	0.4068651456
460	0.406250317
461	0.4059392576
462	0.4055666677
463	0.4047389985
464	0.4040173138
465	0.4032088208
466	0.4023916906
467	0.4019208027
468	0.4011934522
469	0.4008517267
470	0.4005529892
471	0.3998760755
472	0.399266239
473	0.3985352434
474	0.3980297273
475	0.3974203663
476	0.3970536403
477	0.3964457055
478	0.3953763918
479	0.3949600611
480	0.3943069988
481	0.393741656
482	0.3933042472
483	0.3928118059
484	0.3923291111
485	0.3914624158
486	0.3910077722
487	0.3905251171
488	0.3901018528
489	0.3898296214
490	0.389123032
491	0.3888754444
492	0.3883307041
493	0.387925269
494	0.3873123422
495	0.3863392662
496	0.3860125568
497	0.3850145597
498	0.3846289348
499	0.3841840378
