iter	Passed	Remaining
418	3653	706
419	3661	697
420	3672	689
421	3678	679
422	3685	670
423	3692	661
424	3702	653
425	3711	644
426	3719	635
427	3727	627
428	3735	618
429	3743	609
430	3751	600
431	3758	591
432	3764	582
433	3772	573
434	3779	564
435	3787	555
436	3794	546
437	3805	538
438	3814	530
439	3821	521
440	3831	512
441	3838	503
442	3848	495
443	3853	486
444	3859	477
445	3866	468
446	3874	459
447	3881	450
448	3889	441
449	3897	433
450	3906	424
451	3914	415
452	3922	406
453	3932	398
454	3943	390
455	3954	381
456	3963	372
457	3972	364
458	3980	355
459	3989	346
460	3995	338
461	4000	329
462	4010	320
463	4018	311
464	4026	303
465	4035	294
466	4043	285
467	4052	277
468	4063	268
469	4071	259
470	4077	251
471	4086	242
472	4095	233
473	4104	225
474	4118	216
475	4130	208
476	4141	199
477	4150	191
478	4161	182
479	4169	173
480	4179	165
481	4192	156
482	4207	148
483	4217	139
484	4226	130
485	4233	121
486	4245	113
487	4253	104
488	4264	95
489	4272	87
490	4282	78
491	4292	69
492	4301	61
493	4310	52
494	4319	43
495	4330	34
496	4339	26
497	4349	17
498	4357	8
499	4367	0
