rowid,kepid,kepoi_name,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_incl,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_model_snr,koi_num_transits,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,target_encoded
949,7303287,K01353.01,CONFIRMED,125.8654019,5.73e-05,-5.73e-05,9.0191,0.015,-0.015,12400.0,24.5,-24.5,0.101,0.014,-0.101,0.101632,0.000117,-0.000187,1.91026,0.03976,-0.01252,12.37,1.94,-1.57,0.4913,89.95,394.0,5.71,2.49,-1.7,116.95,2.4,-2.4,5933.0,107.0,-119.0,4.342,0.115,-0.115,-0.06,0.15,-0.15,1.115,0.174,-0.142,0.998,0.081,-0.066,544.7,10.0,0,0,0,0,1
950,7303287,K01353.02,CONFIRMED,34.5439452,0.000155,-0.000155,3.482,0.111,-0.111,430.0,20.3,-20.3,0.87,0.013,-0.603,0.021969,0.00369,-0.00311,1.06197,7.00487,-0.82338,2.67,0.42,-0.34,0.2075,88.77,607.0,32.02,13.94,-9.53,40.6,19.1,-19.1,5933.0,107.0,-119.0,4.342,0.115,-0.115,-0.06,0.15,-0.15,1.115,0.174,-0.142,0.998,0.081,-0.066,23.4,38.0,0,0,0,0,1
951,11512246,K00168.01,CONFIRMED,10.74241765,1.62e-05,-1.62e-05,6.0633,0.0348,-0.0348,415.0,4.6,-4.6,0.034,0.257,-0.034,0.018486,0.000251,-0.000102,0.42989,0.00022,-0.08195,3.06,0.19,-0.12,0.0965,89.86,1008.0,243.94,47.22,-29.78,13.79012,0.00706,-0.00706,5761.0,86.0,-69.0,4.091,0.018,-0.018,0.06,0.2,-0.15,1.518,0.092,-0.061,1.036,0.101,-0.059,95.4,126.0,0,0,0,0,1
954,11517719,K01416.01,CONFIRMED,2.495780169,1.82e-06,-1.82e-06,4.2721,0.0275,-0.0275,25100.0,172.0,-172.0,0.133,0.058,-0.133,0.145407,0.000705,-0.000707,0.40804,0.01179,-0.02614,15.75,4.7,-2.02,0.0355,88.51,1408.0,929.47,813.58,-303.75,5.122,0.148,-0.148,6039.0,163.0,-181.0,4.426,0.087,-0.203,-0.28,0.3,-0.3,0.992,0.296,-0.127,0.959,0.13,-0.117,171.4,537.0,0,1,0,0,1
961,12252424,K00153.02,CONFIRMED,4.75400072,2.85e-06,-2.85e-06,2.5394,0.0219,-0.0219,749.0,6.0,-6.0,0.672,0.004,-0.507,0.026463,9.1e-05,-0.00198,1.15331,1.28011,-0.06922,2.0,0.14,-0.06,0.0502,86.54,775.0,85.23,20.48,-11.28,11.13,4.1,-4.1,4728.0,94.0,-94.0,4.628,0.012,-0.048,0.04,0.15,-0.15,0.693,0.049,-0.021,0.768,0.031,-0.047,141.4,278.0,0,0,0,0,1
965,10874614,K00017.01,CONFIRMED,3.234699282,1.19e-07,-1.19e-07,3.59385,0.00078,-0.00078,10600.0,4.2,-4.2,0.079,0.003,-0.058,0.092633,3.2e-05,-8.2e-05,0.76885,0.00686,-0.00055,13.06,0.96,-0.96,0.0435,89.4,1356.0,797.62,197.63,-160.8,7.52,0.0671,-0.0671,5640.0,113.0,-101.0,4.236,0.055,-0.045,0.34,0.1,-0.15,1.291,0.095,-0.095,1.047,0.088,-0.064,3003.8,335.0,0,0,0,0,1
966,6541920,K00157.03,CONFIRMED,31.99552485,3.11e-05,-3.11e-05,4.2817,0.0485,-0.0485,1380.0,11.2,-11.2,0.69,0.139,-0.465,0.036106,0.000255,-0.00214,1.58753,1.99642,-0.0139,4.12,0.27,-0.26,0.1921,89.1,582.0,27.17,6.19,-5.07,44.1,18.5,-18.5,5657.0,113.0,-101.0,4.364,0.055,-0.045,0.0,0.15,-0.15,1.046,0.068,-0.068,0.921,0.071,-0.052,128.0,41.0,0,0,0,0,1
970,7211141,K01355.01,CONFIRMED,51.92920654,9.6e-05,-9.6e-05,5.2637,0.0622,-0.0622,3430.0,48.7,-48.7,0.398,0.412,-0.223,0.053923,0.00586,-0.000912,2.78995,0.83497,-0.16167,8.49,1.4,-1.86,0.2742,89.69,574.0,25.6,11.23,-10.82,73.5,22.0,-22.0,5671.0,85.0,-77.0,4.128,0.196,-0.098,0.14,0.15,-0.15,1.442,0.237,-0.316,1.017,0.093,-0.067,81.8,25.0,0,0,0,0,1
973,7376983,K01358.01,CONFIRMED,5.644914154,8.78e-06,-8.78e-06,2.2599,0.0433,-0.0433,1400.0,24.4,-24.4,0.445,0.037,-0.445,0.03411,0.00692,-0.000933,3.36374,1.48099,-0.4015,2.66,0.25,-0.18,0.0571,88.57,744.0,72.38,27.67,-18.17,17.83,7.8,-7.8,4769.0,172.0,-172.0,4.622,0.024,-0.06,0.12,0.25,-0.3,0.714,0.068,-0.049,0.799,0.041,-0.081,63.9,199.0,0,0,0,0,1
974,5084942,K00161.01,CONFIRMED,3.105507835,1.15e-06,-1.15e-06,1.7458,0.0224,-0.0224,905.0,6.0,-6.0,0.799,0.001,-0.561,0.030988,5e-05,-0.00315,1.38116,3.58773,-0.03496,2.68,0.17,-0.1,0.0399,84.85,980.0,217.91,47.94,-32.46,8.9,3.9,-3.9,4989.0,90.0,-110.0,4.585,0.012,-0.064,0.3,0.15,-0.15,0.791,0.052,-0.028,0.878,0.021,-0.056,178.6,433.0,0,0,0,0,1
978,11497958,K01422.01,CONFIRMED,5.841636615,9.84e-06,-9.84e-06,1.8734,0.0467,-0.0467,1340.0,37.0,-37.0,0.026,0.405,-0.026,0.033032,0.0011,-0.000527,8.25995,0.55467,-2.5502,1.38,0.17,-0.21,0.0465,89.94,446.0,9.38,3.49,-3.2,24.61,1.7,-1.7,3526.0,71.0,-78.0,4.866,0.066,-0.044,-0.08,0.15,-0.15,0.383,0.048,-0.058,0.394,0.055,-0.067,41.1,178.0,0,0,0,0,1
979,11497958,K01422.02,CONFIRMED,19.85029495,5.53e-05,-5.53e-05,2.8407,0.0741,-0.0741,1610.0,50.7,-50.7,0.217,0.245,-0.217,0.036352,0.00115,-0.000962,7.60188,0.86312,-2.68908,1.52,0.19,-0.23,0.1052,89.77,297.0,1.83,0.68,-0.62,54.1,6.1,-6.1,3526.0,71.0,-78.0,4.866,0.066,-0.044,-0.08,0.15,-0.15,0.383,0.048,-0.058,0.394,0.055,-0.067,34.4,53.0,0,0,0,0,1
980,11512246,K00168.02,CONFIRMED,15.27443889,3.96e-05,-3.96e-05,6.0765,0.0604,-0.0604,207.0,5.3,-5.3,0.153,0.227,-0.153,0.013073,0.000332,-0.000232,0.57757,0.04248,-0.13748,2.17,0.13,-0.09,0.122,89.54,896.0,152.62,29.55,-18.63,19.24,1.4,-1.4,5761.0,86.0,-69.0,4.091,0.018,-0.018,0.06,0.2,-0.15,1.518,0.092,-0.061,1.036,0.101,-0.059,40.3,86.0,0,0,0,0,1
987,10604335,K01298.01,CONFIRMED,11.00817635,1.7e-05,-1.7e-05,2.013,0.0436,-0.0436,1460.0,40.0,-40.0,0.025,0.408,-0.025,0.033903,0.00131,-0.000624,12.57304,0.22775,-4.8794,2.15,0.1,-0.11,0.0816,89.97,488.0,13.39,2.48,-2.37,43.185,0.782,-0.782,4141.0,83.0,-91.0,4.684,0.022,-0.025,-0.2,0.15,-0.15,0.582,0.027,-0.03,0.596,0.028,-0.036,42.1,125.0,0,0,0,0,1
988,10604335,K01298.02,CONFIRMED,92.7495777,0.000694,-0.000694,5.506,0.191,-0.191,1110.0,65.1,-65.1,0.019,0.422,-0.019,0.029388,0.00166,-0.000892,5.1101,0.22191,-2.08274,1.87,0.08,-0.1,0.3378,89.99,240.0,0.78,0.15,-0.14,132.45,5.8,-5.8,4141.0,83.0,-91.0,4.684,0.022,-0.025,-0.2,0.15,-0.15,0.582,0.027,-0.03,0.596,0.028,-0.036,18.0,14.0,0,0,0,0,1
989,10864656,K01299.01,CONFIRMED,52.5008645,0.000147,-0.000147,14.9066,0.0781,-0.0781,947.0,9.2,-9.2,0.11,0.254,-0.11,0.027341,0.000552,-0.000247,0.14258,0.00414,-0.0274,12.41,0.61,-1.53,0.3035,89.77,812.0,102.94,15.4,-28.44,27.49,0.798,-0.798,4976.0,54.0,-74.0,3.331,0.008,-0.009,-0.04,0.1,-0.15,4.157,0.205,-0.513,1.352,0.135,-0.314,116.2,25.0,0,0,0,0,1
990,10975146,K01300.01,CONFIRMED,0.63133171,3.41e-07,-3.41e-07,1.1487,0.0186,-0.0186,435.0,6.0,-6.0,0.726,0.002,-0.519,0.020758,0.00151,-0.00176,1.45293,2.07732,-0.06426,1.2,0.09,-0.1,0.0116,76.59,1322.0,726.72,212.51,-196.53,3.13,1.5,-1.5,4441.0,133.0,-146.0,4.71,0.056,-0.032,-0.98,0.3,-0.3,0.53,0.038,-0.046,0.526,0.044,-0.029,95.8,2115.0,0,0,0,0,1
991,10538176,K01301.01,CONFIRMED,12.69905011,4.31e-05,-4.31e-05,2.9899,0.0891,-0.0891,797.0,29.5,-29.5,0.663,0.268,-0.442,0.027241,0.00624,-0.00179,1.93518,2.53513,-0.07836,2.62,0.22,-0.17,0.1019,88.51,686.0,52.55,12.92,-9.27,25.5,11.1,-11.1,5291.0,84.0,-73.0,4.489,0.058,-0.065,0.14,0.15,-0.15,0.882,0.072,-0.059,0.875,0.05,-0.041,30.4,94.0,0,0,0,0,1
992,7376983,K01358.02,CONFIRMED,8.74292005,3.31e-05,-3.31e-05,2.6277,0.0846,-0.0846,780.0,28.2,-28.2,0.025,0.416,-0.025,0.024586,0.00118,-0.000524,4.37105,0.45949,-1.40528,1.92,0.18,-0.13,0.0765,89.95,643.0,40.33,15.41,-10.13,26.04,2.7,-2.7,4769.0,172.0,-172.0,4.622,0.024,-0.06,0.12,0.25,-0.3,0.714,0.068,-0.049,0.799,0.041,-0.081,30.7,122.0,0,0,0,0,1
993,7376983,K01358.03,CONFIRMED,3.64830183,1.62e-05,-1.62e-05,1.9985,0.0929,-0.0929,372.0,21.0,-21.0,0.063,0.396,-0.062,0.017009,0.000969,-0.000646,4.04262,0.36429,-1.78989,1.33,0.12,-0.09,0.0427,89.75,860.0,129.44,49.47,-32.5,14.17,1.3,-1.3,4769.0,172.0,-172.0,4.622,0.024,-0.06,0.12,0.25,-0.3,0.714,0.068,-0.049,0.799,0.041,-0.081,19.9,282.0,0,0,0,0,1
994,7376983,K01358.04,CONFIRMED,2.345863002,9.55e-06,-9.55e-06,1.6795,0.0886,-0.0886,317.0,18.4,-18.4,0.035,0.438,-0.035,0.015717,0.000887,-0.000635,4.38761,0.41091,-1.99224,1.23,0.11,-0.09,0.0318,89.81,997.0,233.38,89.19,-58.6,10.85,1.0,-1.0,4769.0,172.0,-172.0,4.622,0.024,-0.06,0.12,0.25,-0.3,0.714,0.068,-0.049,0.799,0.041,-0.081,19.6,428.0,0,0,0,0,1
995,6946199,K01359.01,CONFIRMED,37.1011418,0.000119,-0.000119,5.5556,0.0788,-0.0788,1360.0,27.4,-27.4,0.41,0.473,-0.225,0.034349,0.000266,-0.000959,1.56368,0.59914,-0.01393,3.19,0.88,-0.35,0.2093,89.52,532.0,18.95,15.73,-6.0,48.5,18.6,-18.6,5986.0,179.0,-215.0,4.527,0.06,-0.192,-0.5,0.3,-0.3,0.85,0.234,-0.094,0.886,0.099,-0.099,55.2,31.0,0,0,0,0,1
996,6946199,K01359.02,CANDIDATE,104.8205868,0.000233,-0.000233,4.4794,0.0878,-0.0878,3920.0,75.6,-75.6,0.918,0.006,-0.01,0.069522,0.000873,-0.0016,1.62532,0.18821,-0.16973,6.45,1.78,-0.71,0.4183,89.46,376.0,4.74,3.94,-1.5,98.1,11.4,-11.4,5986.0,179.0,-215.0,4.527,0.06,-0.192,-0.5,0.3,-0.3,0.85,0.234,-0.094,0.886,0.099,-0.099,76.6,12.0,0,0,0,0,0
997,11497958,K01422.03,CONFIRMED,10.8644095,4.88e-05,-4.88e-05,1.853,0.119,-0.119,749.0,51.4,-51.4,0.763,0.015,-0.551,0.027366,0.00841,-0.00278,4.69366,11.84192,-4.16822,1.14,0.15,-0.17,0.0704,88.58,363.0,4.09,1.53,-1.39,30.8,13.0,-13.0,3526.0,71.0,-78.0,4.866,0.066,-0.044,-0.08,0.15,-0.15,0.383,0.048,-0.058,0.394,0.055,-0.067,16.8,97.0,0,0,0,0,1
998,11177707,K01423.01,CONFIRMED,124.4197175,0.000349,-0.000349,3.7197,0.082,-0.082,4110.0,118.0,-118.0,0.017,0.39,-0.017,0.056842,0.00201,-0.000971,24.05796,0.44388,-8.19471,10.3,1.77,-5.3,0.479,90.0,416.0,7.07,3.19,-5.52,270.02,5.0,-5.0,5066.0,70.0,-90.0,3.974,0.569,-0.1,0.22,0.15,-0.15,1.659,0.285,-0.854,0.945,0.09,-0.136,39.9,8.0,0,0,0,0,1
999,11611600,K01424.01,CONFIRMED,1.219568047,1.07e-06,-1.07e-06,1.5681,0.026,-0.026,495.0,9.1,-9.1,0.067,0.397,-0.067,0.01975,0.000798,-0.000331,2.85159,0.19455,-0.93338,1.51,0.17,-0.1,0.0204,89.37,1252.0,578.96,211.93,-132.79,6.075,0.414,-0.414,4838.0,130.0,-145.0,4.625,0.027,-0.059,-0.04,0.3,-0.3,0.701,0.076,-0.047,0.778,0.054,-0.082,65.9,1098.0,0,0,0,0,1
1000,11254382,K01425.01,CONFIRMED,2.05388477,3.36e-06,-3.36e-06,2.1635,0.0445,-0.0445,547.0,12.7,-12.7,0.282,0.19,-0.282,0.021331,0.000554,-0.000556,1.63786,0.3418,-0.40464,2.74,0.42,-0.46,0.0313,87.74,1523.0,1271.11,511.98,-438.49,7.15,1.5,-1.5,5632.0,76.0,-76.0,4.282,0.156,-0.104,0.14,0.15,-0.15,1.176,0.18,-0.198,0.965,0.069,-0.055,50.0,653.0,0,0,0,0,1
1001,11122894,K01426.01,CONFIRMED,38.86848956,7.84e-05,-7.84e-05,6.0573,0.0525,-0.0525,1000.0,15.1,-15.1,0.028,0.334,-0.028,0.028726,0.000605,-0.000261,1.60443,0.02337,-0.36592,2.81,0.31,-0.25,0.2125,89.97,509.0,15.89,5.3,-3.76,50.414,0.734,-0.734,5618.0,112.0,-112.0,4.46,0.081,-0.09,-0.22,0.15,-0.15,0.897,0.099,-0.081,0.846,0.059,-0.049,73.4,36.0,0,0,0,0,1
1002,6677841,K01236.01,CONFIRMED,35.7353616,0.000122,-0.000122,8.491,0.214,-0.214,779.0,14.1,-14.1,0.878,0.051,-0.613,0.029539,0.000705,-0.00316,0.07669,0.43688,-0.04179,5.47,0.92,-1.22,0.2236,87.09,774.0,84.66,39.48,-37.28,17.3,8.2,-8.2,6366.0,116.0,-116.0,4.045,0.196,-0.098,-0.2,0.15,-0.15,1.697,0.285,-0.38,1.164,0.134,-0.11,58.4,36.0,0,0,0,0,1
1003,6677841,K01236.02,CONFIRMED,12.30971679,4.79e-05,-4.79e-05,6.74,0.149,-0.149,396.0,9.3,-9.3,0.847,0.037,-0.598,0.020619,0.000239,-0.00229,0.06379,0.26498,-0.05288,3.82,0.64,-0.85,0.1099,83.92,1104.0,350.46,163.41,-154.35,7.99,3.7,-3.7,6366.0,116.0,-116.0,4.045,0.196,-0.098,-0.2,0.15,-0.15,1.697,0.285,-0.38,1.164,0.134,-0.11,45.9,112.0,0,0,0,0,1
1004,6677841,K01236.03,CONFIRMED,54.4205407,0.000286,-0.000286,8.559,0.499,-0.499,598.0,15.6,-15.6,0.9414,0.0211,-0.3167,0.027453,0.000287,-0.00412,0.05127,0.52779,-0.02341,3.2,1.28,-0.31,0.2901,87.09,574.0,25.6,29.32,-7.36,20.02,9.8,-9.8,6781.0,157.0,-230.0,4.422,0.051,-0.28,-0.58,0.22,-0.3,1.067,0.426,-0.102,1.097,0.157,-0.128,44.9,23.0,0,0,0,0,1
1007,6383821,K01238.01,CONFIRMED,27.07237655,8.99e-05,-8.99e-05,6.9592,0.0871,-0.0871,514.0,13.6,-13.6,0.015,0.385,-0.015,0.020659,0.000583,-0.000313,0.72049,0.03348,-0.18882,2.18,0.27,-0.09,0.181,89.97,605.0,31.58,10.05,-4.35,30.33,1.4,-1.4,5936.0,65.0,-94.0,4.501,0.016,-0.093,0.07,0.15,-0.15,0.965,0.119,-0.04,1.075,0.058,-0.065,44.0,50.0,0,0,0,0,1
1008,10538176,K01301.02,CONFIRMED,37.5142128,0.000201,-0.000201,5.303,0.127,-0.127,935.0,34.6,-34.6,0.366,0.081,-0.366,0.027815,0.000649,-0.00108,1.88082,0.60622,-0.33703,2.68,0.22,-0.18,0.2099,89.6,478.0,12.38,3.05,-2.18,51.9,16.7,-16.7,5291.0,84.0,-73.0,4.489,0.058,-0.065,0.14,0.15,-0.15,0.882,0.072,-0.059,0.875,0.05,-0.041,28.9,34.0,0,0,0,0,1
1009,10724369,K01302.01,CONFIRMED,55.6391882,0.00021,-0.00021,7.316,0.131,-0.131,853.0,20.1,-20.1,0.811,0.062,-0.553,0.029803,0.00284,-0.00315,0.30567,0.96203,-0.0035,3.13,0.97,-0.32,0.2901,88.74,478.0,12.33,11.39,-3.64,36.8,16.6,-16.6,5949.0,176.0,-193.0,4.493,0.05,-0.2,0.0,0.25,-0.35,0.962,0.297,-0.099,1.05,0.124,-0.138,48.3,27.0,0,0,0,0,1
1010,6541920,K00157.04,CONFIRMED,46.6856205,0.000112,-0.000112,6.3794,0.0615,-0.0615,589.0,10.0,-10.0,0.217,0.187,-0.217,0.022055,0.000437,-0.000381,1.51087,0.14623,-0.3176,2.52,0.16,-0.16,0.2472,89.78,513.0,16.41,3.74,-3.06,55.84,5.4,-5.4,5657.0,113.0,-101.0,4.364,0.055,-0.045,0.0,0.15,-0.15,1.046,0.068,-0.068,0.921,0.071,-0.052,59.0,28.0,0,0,0,0,1
1012,10744335,K01304.01,CONFIRMED,4.59726613,2.46e-05,-2.46e-05,2.909,0.134,-0.134,313.0,21.5,-21.5,0.033,0.443,-0.033,0.016167,0.000745,-0.000763,1.65508,0.17162,-0.69011,1.69,0.53,-0.17,0.055,89.85,1105.0,352.4,335.2,-107.22,12.27,1.3,-1.3,5999.0,189.0,-210.0,4.494,0.052,-0.208,-0.06,0.3,-0.3,0.959,0.3,-0.1,1.045,0.129,-0.142,17.0,235.0,0,0,0,0,1
1014,5177104,K01603.01,CONFIRMED,3.02168007,8.51e-06,-8.51e-06,2.8264,0.0746,-0.0746,172.0,6.0,-6.0,0.349,0.11,-0.349,0.012175,0.000256,-0.000439,0.97869,0.24937,-0.28915,1.31,0.39,-0.12,0.0417,87.43,1332.0,744.35,644.05,-215.39,7.79,2.0,-2.0,6201.0,169.0,-206.0,4.472,0.05,-0.2,-0.2,0.25,-0.3,0.989,0.291,-0.097,1.058,0.144,-0.129,32.9,444.0,0,0,0,0,1
1018,8230616,K01713.02,CONFIRMED,2.240486703,3.67e-06,-3.67e-06,1.3988,0.0448,-0.0448,436.0,14.7,-14.7,0.461,0.459,-0.252,0.019474,0.000126,-0.000994,5.22057,2.33241,-1.0528,1.22,0.07,-0.06,0.0281,87.63,837.0,115.98,23.82,-19.09,11.15,5.0,-5.0,4198.0,83.0,-83.0,4.689,0.023,-0.028,-0.32,0.15,-0.15,0.574,0.032,-0.028,0.587,0.028,-0.035,33.8,598.0,0,0,0,0,1
1019,9836959,K01715.01,CONFIRMED,105.0145774,0.000485,-0.000485,7.426,0.317,-0.317,296.0,9.8,-9.8,0.954,0.046,-0.675,0.020157,0.000726,-0.00435,0.10302,2.74112,-0.14874,2.29,0.32,-0.28,0.4229,88.6,406.0,6.44,2.52,-1.88,39.2,19.3,-19.3,5868.0,105.0,-117.0,4.363,0.115,-0.103,-0.22,0.15,-0.15,1.042,0.144,-0.129,0.915,0.066,-0.059,33.9,13.0,0,0,0,0,1
1020,9838949,K01716.01,CONFIRMED,4.88084456,1.46e-05,-1.46e-05,2.5574,0.0747,-0.0747,343.0,12.4,-12.4,0.227,0.213,-0.227,0.016458,0.000508,-0.000604,2.40036,0.20968,-0.88855,1.55,0.24,-0.18,0.0527,89.1,879.0,141.0,71.39,-42.98,14.46,1.3,-1.3,4929.0,148.0,-148.0,4.481,0.105,-0.56,0.36,0.1,-0.3,0.861,0.135,-0.098,0.817,0.057,-0.052,32.6,276.0,0,0,0,0,1
1021,9895006,K01717.01,CONFIRMED,10.56137217,4.34e-05,-4.34e-05,3.2645,0.0936,-0.0936,238.0,12.5,-12.5,0.963,0.01,-0.675,0.018973,0.000164,-0.00463,0.09679,3.63128,-0.02769,2.43,0.66,-0.45,0.0954,83.33,867.0,133.56,109.43,-54.29,8.29,4.1,-4.1,5610.0,166.0,-166.0,4.316,0.165,-0.182,0.38,0.1,-0.3,1.171,0.319,-0.213,1.034,0.105,-0.105,21.7,128.0,0,0,0,0,1
1022,9896558,K01718.01,CONFIRMED,67.6690554,0.0004,-0.0004,9.556,0.155,-0.155,961.0,27.4,-27.4,0.354,0.108,-0.354,0.028764,0.000584,-0.0008,0.58948,0.14493,-0.13406,3.39,1.01,-0.54,0.3214,89.61,495.0,14.24,12.83,-5.5,52.3,12.8,-12.8,6127.0,192.0,-213.0,4.356,0.128,-0.192,-0.3,0.3,-0.3,1.08,0.32,-0.172,0.964,0.142,-0.106,37.2,13.0,0,0,0,0,1
1023,9589323,K01488.01,CONFIRMED,3.949627144,5.3e-06,-5.3e-06,1.5485,0.0387,-0.0387,807.0,21.7,-21.7,0.049,0.379,-0.049,0.025401,0.000911,-0.000488,9.65223,0.34555,-3.48754,2.32,0.29,-0.22,0.0463,89.86,966.0,206.05,90.56,-56.01,19.966,0.715,-0.715,5155.0,170.0,-154.0,4.523,0.056,-0.084,0.14,0.25,-0.3,0.836,0.104,-0.078,0.849,0.071,-0.071,45.1,341.0,0,0,0,0,1
1024,9823487,K01489.01,CONFIRMED,16.00460392,6e-05,-6e-05,3.9475,0.0887,-0.0887,832.0,28.2,-28.2,0.49,0.04,-0.424,0.026678,0.000139,-0.00145,1.61437,1.00324,-0.04186,2.24,0.32,-0.16,0.1179,89.0,583.0,27.41,12.98,-6.54,27.96,8.7,-8.7,5180.0,155.0,-155.0,4.597,0.026,-0.097,0.0,0.25,-0.3,0.769,0.111,-0.056,0.86,0.057,-0.092,34.3,85.0,0,0,0,0,1
1026,9726659,K01491.01,CONFIRMED,3.148661555,8.3e-06,-8.3e-06,2.1978,0.0586,-0.0586,551.0,18.3,-18.3,0.652,0.006,-0.51,0.022587,0.00326,-0.0014,1.23727,1.46077,-0.03563,2.15,0.4,-0.29,0.039,85.68,1097.0,342.76,206.87,-121.03,8.66,3.4,-3.4,5258.0,184.0,-184.0,4.458,0.112,-0.154,-0.04,0.3,-0.3,0.873,0.159,-0.119,0.797,0.112,-0.06,35.3,278.0,0,0,0,0,1
1028,5371776,K01557.01,CONFIRMED,3.295701024,1.92e-06,-1.92e-06,1.8268,0.0256,-0.0256,1750.0,17.3,-17.3,0.267,0.215,-0.267,0.037296,0.00114,-0.00103,4.60524,0.55234,-1.49223,2.81,0.2,-0.1,0.0392,88.89,875.0,138.38,33.33,-19.77,13.83,1.7,-1.7,4723.0,94.0,-94.0,4.628,0.012,-0.045,0.02,0.15,-0.15,0.691,0.049,-0.025,0.76,0.031,-0.047,114.7,327.0,0,0,0,0,1
1029,5371776,K01557.02,CONFIRMED,9.65349016,1.43e-05,-1.43e-05,2.9029,0.0438,-0.0438,1310.0,22.4,-22.4,0.149,0.305,-0.149,0.031946,0.00115,-0.00056,3.54622,0.2983,-1.00346,2.41,0.17,-0.09,0.0803,89.67,611.0,32.98,7.94,-4.71,25.95,2.2,-2.2,4723.0,94.0,-94.0,4.628,0.012,-0.045,0.02,0.15,-0.15,0.691,0.049,-0.025,0.76,0.031,-0.047,63.1,104.0,0,0,0,0,1
1030,5371776,K01557.03,CONFIRMED,5.315954488,6.64e-06,-6.64e-06,1.1165,0.0379,-0.0379,966.0,31.7,-31.7,0.718,0.052,-0.496,0.030923,0.00365,-0.00284,13.08182,22.32948,-10.29782,2.33,0.17,-0.08,0.0539,88.47,746.0,73.19,17.63,-10.45,26.9,11.5,-11.5,4723.0,94.0,-94.0,4.628,0.012,-0.045,0.02,0.15,-0.15,0.691,0.049,-0.025,0.76,0.031,-0.047,37.7,181.0,0,0,0,0,1
1031,9573539,K00180.01,CONFIRMED,10.04556377,1.57e-05,-1.57e-05,3.2027,0.0445,-0.0445,671.0,11.7,-11.7,0.075,0.359,-0.075,0.023478,0.000641,-0.000301,2.74514,0.17553,-0.76645,2.19,0.28,-0.1,0.0896,89.82,766.0,81.61,29.84,-13.62,24.47,1.6,-1.6,5632.0,101.0,-124.0,4.554,0.019,-0.11,-0.04,0.15,-0.15,0.853,0.109,-0.039,0.952,0.04,-0.08,66.5,128.0,0,0,0,0,1
1032,5371776,K01557.04,CONFIRMED,1.499144441,3.84e-06,-3.84e-06,1.4259,0.0719,-0.0719,259.0,14.0,-14.0,0.331,0.127,-0.331,0.014494,0.000544,-0.000755,3.8849,1.44223,-1.11039,1.09,0.08,-0.04,0.0232,87.54,1137.0,395.06,95.17,-56.43,7.73,2.9,-2.9,4723.0,94.0,-94.0,4.628,0.012,-0.045,0.02,0.15,-0.15,0.691,0.049,-0.025,0.76,0.031,-0.047,22.2,629.0,0,0,0,0,1
1035,10055126,K01608.01,CONFIRMED,9.17617167,3.42e-05,-3.42e-05,4.2642,0.0897,-0.0897,207.0,6.5,-6.5,0.107,0.324,-0.107,0.01313,0.000393,-0.000295,1.02261,0.02626,-0.36419,1.66,0.26,-0.24,0.085,89.63,960.0,200.99,89.44,-64.92,16.573,0.426,-0.426,5903.0,106.0,-117.0,4.3,0.15,-0.1,-0.1,0.15,-0.15,1.156,0.185,-0.166,0.974,0.082,-0.062,34.3,146.0,0,0,0,0,1
1036,10055126,K01608.02,CONFIRMED,19.7383992,0.000117,-0.000117,4.894,0.136,-0.136,168.0,8.9,-8.9,0.732,0.011,-0.535,0.01279,0.00209,-0.000996,0.48868,0.91703,-0.07342,1.61,0.26,-0.23,0.1417,88.06,744.0,72.32,32.18,-23.36,21.6,10.1,-10.1,5903.0,106.0,-117.0,4.3,0.15,-0.1,-0.1,0.15,-0.15,1.156,0.185,-0.166,0.974,0.082,-0.062,20.3,63.0,0,0,0,0,1
1037,5009743,K01609.01,CONFIRMED,41.6980186,0.000143,-0.000143,5.7047,0.0839,-0.0839,441.0,11.6,-11.6,0.002,0.407,-0.002,0.019191,0.000535,-0.000282,2.00587,0.06224,-0.56868,2.03,0.31,-0.14,0.2359,90.0,537.0,19.61,8.2,-4.05,56.91,1.8,-1.8,5997.0,107.0,-131.0,4.466,0.048,-0.112,-0.14,0.15,-0.15,0.971,0.145,-0.067,1.004,0.057,-0.078,43.4,33.0,0,0,0,0,1
1038,10015937,K01720.01,CONFIRMED,59.6585348,0.000558,-0.000558,5.514,0.353,-0.353,1040.0,55.8,-55.8,0.956,0.003,-0.675,0.039578,0.00306,-0.0104,0.20596,5.86952,-0.02224,3.59,0.3,-0.17,0.2873,88.38,393.0,5.66,1.41,-0.81,33.8,16.9,-16.9,5243.0,84.0,-73.0,4.547,0.028,-0.077,0.14,0.15,-0.15,0.831,0.069,-0.04,0.887,0.037,-0.05,21.2,21.0,0,0,0,0,1
