rowid,kepid,kepoi_name,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_incl,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_model_snr,koi_num_transits,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,target_encoded
116,4725681,K00817.02,CONFIRMED,8.29561738,2.37e-05,-2.37e-05,1.3421,0.0773,-0.0773,824.0,57.5,-57.5,0.888,0.062,-0.612,0.03178,0.00606,-0.00585,4.18931,36.90578,-2.86966,1.82,0.1,-0.15,0.0652,87.95,469.0,11.39,2.4,-2.65,24.8,12.1,-12.1,3747.0,75.0,-83.0,4.728,0.042,-0.025,0.1,0.15,-0.15,0.524,0.03,-0.044,0.536,0.035,-0.039,17.9,119.0,0,0,0,0,1
117,4913852,K00818.01,CONFIRMED,8.11437482,1.09e-05,-1.09e-05,2.2736,0.0447,-0.0447,1560.0,32.0,-32.0,0.573,0.0,-0.468,0.037204,0.00595,-0.00153,3.76716,2.38541,-3.13735,2.1,0.14,-0.16,0.0649,88.61,460.0,10.55,2.46,-2.31,23.58,7.5,-7.5,3692.0,73.0,-83.0,4.753,0.032,-0.039,0.28,0.15,-0.15,0.517,0.035,-0.039,0.553,0.027,-0.044,56.4,167.0,0,0,0,0,1
121,10875245,K00117.01,CONFIRMED,14.74914825,2.17e-05,-2.17e-05,6.0995,0.044,-0.044,430.0,4.2,-4.2,0.173,0.262,-0.173,0.018864,0.000398,-0.000228,0.55575,0.03329,-0.14827,2.89,0.13,-0.1,0.1221,89.47,874.0,137.91,19.38,-15.39,18.56,1.1,-1.1,5847.0,64.0,-75.0,4.191,0.02,-0.018,0.26,0.1,-0.1,1.402,0.063,-0.046,1.113,0.092,-0.05,107.4,72.0,0,0,0,0,1
122,5021899,K00821.01,CONFIRMED,21.81295996,7.23e-05,-7.23e-05,4.3791,0.091,-0.091,1180.0,35.8,-35.8,0.053,0.394,-0.053,0.030952,0.00102,-0.000844,2.39175,0.03932,-0.97582,3.38,0.91,-0.49,0.1495,89.92,639.0,39.33,31.88,-13.85,39.183,0.644,-0.644,5601.0,166.0,-166.0,4.41,0.116,-0.188,0.08,0.25,-0.3,0.999,0.269,-0.145,0.934,0.113,-0.085,37.8,45.0,0,0,0,0,1
125,5164255,K00824.01,CONFIRMED,15.37562369,1.02e-05,-1.02e-05,3.3169,0.0645,-0.0645,15300.0,114.0,-114.0,0.692,0.033,-0.066,0.12103,0.00136,-0.00348,2.43887,0.53893,-0.3411,11.01,0.44,-0.82,0.1121,88.73,600.0,30.54,4.61,-5.99,31.24,6.9,-6.9,4986.0,79.0,-79.0,4.496,0.075,-0.025,0.16,0.15,-0.15,0.833,0.033,-0.062,0.793,0.054,-0.029,166.0,50.0,0,0,0,0,1
126,5252423,K00825.01,CONFIRMED,8.10363271,2.03e-05,-2.03e-05,3.161,0.0635,-0.0635,888.0,24.5,-24.5,0.047,0.409,-0.047,0.026361,0.00109,-0.000545,2.33533,0.17194,-0.76068,2.11,0.18,-0.2,0.0712,89.87,687.0,52.82,16.3,-14.35,20.09,1.5,-1.5,4861.0,131.0,-146.0,4.574,0.054,-0.041,-0.08,0.3,-0.3,0.732,0.062,-0.068,0.733,0.075,-0.061,39.3,131.0,0,0,0,0,1
127,5252423,K00825.02,CONFIRMED,4.71510843,1.94e-05,-1.94e-05,2.506,0.103,-0.103,418.0,22.0,-22.0,0.258,0.195,-0.258,0.018268,0.000821,-0.000713,2.42359,0.5013,-0.84727,1.46,0.12,-0.14,0.0496,88.96,823.0,108.84,33.58,-29.57,14.18,2.9,-2.9,4861.0,131.0,-146.0,4.574,0.054,-0.041,-0.08,0.3,-0.3,0.732,0.062,-0.068,0.733,0.075,-0.061,21.3,208.0,0,0,0,0,1
128,5272878,K00826.01,CONFIRMED,6.365839713,8.06e-06,-8.06e-06,2.9721,0.0408,-0.0408,781.0,13.1,-13.1,0.524,0.009,-0.46,0.026275,0.0039,-0.000741,1.41102,0.85067,-0.00449,2.44,0.6,-0.21,0.0659,87.92,914.0,165.33,121.73,-40.81,14.46,4.4,-4.4,5776.0,155.0,-155.0,4.554,0.042,-0.168,-0.18,0.3,-0.3,0.849,0.212,-0.071,0.939,0.098,-0.109,70.8,216.0,0,0,0,0,1
131,5651104,K00840.01,CONFIRMED,3.04033046,3.37e-07,-3.37e-07,1.8411,0.0168,-0.0168,10900.0,25.8,-25.8,0.736,0.013,-0.024,0.104023,0.00047,-0.00143,2.31195,0.22911,-0.15635,8.99,0.8,-0.99,0.0374,85.95,1021.0,257.29,86.59,-76.86,10.41,1.0,-1.0,5035.0,151.0,-151.0,4.519,0.084,-0.063,-0.06,0.3,-0.3,0.791,0.071,-0.087,0.754,0.095,-0.055,568.2,440.0,0,0,0,0,1
132,5792202,K00841.01,CONFIRMED,15.33528675,1.99e-05,-1.99e-05,3.897,0.0771,-0.0771,3080.0,39.0,-39.0,0.773,0.006,-0.543,0.056,0.00105,-0.00522,0.81659,1.72145,-0.11075,5.0,0.49,-0.18,0.1179,87.95,610.0,32.67,9.96,-4.63,21.65,9.1,-9.1,5251.0,105.0,-105.0,4.581,0.01,-0.085,0.21,0.15,-0.15,0.817,0.08,-0.029,0.926,0.032,-0.064,86.6,85.0,0,0,0,0,1
133,10875245,K00117.04,CONFIRMED,7.95825328,7.67e-05,-7.67e-05,4.377,0.229,-0.229,50.0,3.7,-3.7,0.706,0.237,-0.494,0.006915,0.00119,-0.000568,0.29918,0.44428,-0.26616,1.06,0.05,-0.04,0.0809,85.95,1074.0,314.15,44.14,-35.07,10.01,5.0,-5.0,5847.0,64.0,-75.0,4.191,0.02,-0.018,0.26,0.1,-0.1,1.402,0.063,-0.046,1.113,0.092,-0.05,14.7,109.0,0,0,0,0,1
134,5792202,K00841.02,CONFIRMED,31.33046135,3.98e-05,-3.98e-05,5.176,0.102,-0.102,5070.0,48.4,-48.4,0.798,0.021,-0.043,0.072904,0.000828,-0.00207,0.70448,0.1695,-0.12164,6.5,0.64,-0.23,0.1898,88.62,481.0,12.61,3.84,-1.79,33.19,8.0,-8.0,5251.0,105.0,-105.0,4.581,0.01,-0.085,0.21,0.15,-0.15,0.817,0.08,-0.029,0.926,0.032,-0.064,117.2,46.0,0,0,0,0,1
138,5436502,K00834.01,CONFIRMED,23.65369415,1.75e-05,-1.75e-05,8.2183,0.021,-0.021,3340.0,13.2,-13.2,0.008,0.169,-0.008,0.05219,0.000266,-9.8e-05,0.41907,0.00194,-0.02856,7.89,1.38,-1.52,0.1658,89.98,731.0,67.65,33.37,-26.59,23.142,0.107,-0.107,5739.0,114.0,-103.0,4.191,0.162,-0.108,0.3,0.1,-0.15,1.384,0.242,-0.266,1.083,0.1,-0.075,266.3,57.0,0,0,0,0,1
139,5436502,K00834.02,CONFIRMED,13.23352214,4.5e-05,-4.5e-05,6.7372,0.0875,-0.0875,505.0,10.8,-10.8,0.014,0.399,-0.014,0.020278,0.000566,-0.000269,0.3884,0.01434,-0.10358,3.06,0.54,-0.58,0.1126,89.95,888.0,146.67,72.35,-57.65,15.32,0.566,-0.566,5739.0,114.0,-103.0,4.191,0.162,-0.108,0.3,0.1,-0.15,1.384,0.242,-0.266,1.083,0.1,-0.075,49.1,97.0,0,0,0,0,1
140,5436502,K00834.03,CONFIRMED,6.15560285,2.7e-05,-2.7e-05,4.9843,0.0994,-0.0994,285.0,8.6,-8.6,0.235,0.204,-0.235,0.015336,0.00045,-0.000362,0.40662,0.05394,-0.1229,2.32,0.4,-0.45,0.0676,88.56,1146.0,406.94,200.73,-159.95,9.34,1.2,-1.2,5739.0,114.0,-103.0,4.191,0.162,-0.108,0.3,0.1,-0.15,1.384,0.242,-0.266,1.083,0.1,-0.075,35.1,203.0,0,0,0,0,1
141,5436502,K00834.04,CONFIRMED,2.090811305,9.57e-06,-9.57e-06,3.388,0.106,-0.106,116.0,6.4,-6.4,0.746,0.053,-0.521,0.010686,0.00219,-0.000966,0.1588,0.28474,-0.11107,1.62,0.28,-0.32,0.0329,77.03,1642.0,1718.04,847.46,-675.28,3.32,1.5,-1.5,5739.0,114.0,-103.0,4.191,0.162,-0.108,0.3,0.1,-0.15,1.384,0.242,-0.266,1.083,0.1,-0.075,19.9,527.0,0,0,0,0,1
142,10875245,K00117.03,CONFIRMED,3.180027898,7.28e-06,-7.28e-06,3.5797,0.0558,-0.0558,120.0,2.7,-2.7,0.196,0.242,-0.196,0.009989,0.000254,-0.000184,0.5756,0.0651,-0.14595,1.53,0.07,-0.05,0.0439,88.34,1458.0,1066.86,149.88,-119.09,6.751,0.764,-0.764,5847.0,64.0,-75.0,4.191,0.02,-0.018,0.26,0.1,-0.1,1.402,0.063,-0.046,1.113,0.092,-0.05,50.4,323.0,0,0,0,0,1
143,5436502,K00834.05,CONFIRMED,50.4467417,0.000651,-0.000651,7.159,0.247,-0.247,370.0,20.1,-20.1,0.379,0.111,-0.378,0.01767,0.000622,-0.000853,0.97794,0.353,-0.25754,2.67,0.47,-0.51,0.2747,89.57,568.0,24.64,12.16,-9.68,50.9,18.4,-18.4,5739.0,114.0,-103.0,4.191,0.162,-0.108,0.3,0.1,-0.15,1.384,0.242,-0.266,1.083,0.1,-0.075,19.4,22.0,0,0,0,0,1
144,5456651,K00835.01,CONFIRMED,11.76307164,2.04e-05,-2.04e-05,2.9076,0.05,-0.05,1040.0,23.9,-23.9,0.048,0.393,-0.048,0.028519,0.00107,-0.000443,4.37951,0.20356,-1.37436,2.35,0.17,-0.08,0.0954,89.91,616.0,33.99,8.24,-4.84,31.76,1.5,-1.5,4959.0,99.0,,4.603,0.011,-0.06,0.16,0.15,-0.15,0.756,0.054,-0.027,0.849,0.025,-0.06,48.9,88.0,0,0,0,0,1
