rowid,kepid,kepoi_name,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_incl,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_model_snr,koi_num_transits,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec
4055,3645438,K04385.01,CONFIRMED,7.298142,5.42e-05,-5.42e-05,3.024,0.146,-0.146,371.0,29.4,-29.4,0.411,0.059,-0.411,0.017565,0.00071,-0.00118,1.80082,0.83771,-0.41702,1.6,0.09,-0.1,0.0689,88.63,786.0,90.04,17.03,-15.83,17.18,8.0,-8.0,5119.0,82.0,-82.0,4.508,0.06,-0.04,0.1,0.15,-0.15,0.834,0.047,-0.052,0.818,0.053,-0.035,13.6,155.0,0,0,0,0
4056,8480582,K04386.01,CONFIRMED,18.5010898,0.000156,-0.000156,3.179,0.17,-0.17,421.0,33.8,-33.8,0.719,0.046,-0.512,0.020176,0.00521,-0.00181,1.8466,3.50393,-1.73535,1.62,0.24,-0.14,0.1275,88.72,555.0,22.4,11.1,-5.48,32.2,15.3,-15.3,5242.0,158.0,-142.0,4.613,0.03,-0.09,-0.24,0.3,-0.3,0.734,0.112,-0.06,0.815,0.07,-0.085,14.7,74.0,0,0,0,0
4057,5197233,K04178.01,CANDIDATE,7.016016,0.0063,-0.0063,3.8,13.2,-13.2,169.0,154.0,-154.0,0.89,0.105,-0.641,0.013829,0.00859,-0.0134,0.12861,0.87533,-0.08909,1.72,0.5,-0.22,0.0753,82.64,1138.0,396.43,340.45,-131.37,6.94,3.4,-3.4,6642.0,178.0,-218.0,4.39,0.062,-0.187,-0.3,0.25,-0.3,1.136,0.333,-0.143,1.157,0.162,-0.146,6.3,153.0,0,0,0,0
4058,10936786,K04179.01,FALSE POSITIVE,0.569961046,2.19e-06,-2.19e-06,1.446,0.119,-0.119,44.2,3.0,-3.0,0.343,0.131,-0.343,0.006148,0.00025,-0.000298,1.45289,0.32762,-0.68619,1.04,0.26,-0.38,0.0135,83.25,2743.0,13463.04,9803.62,-8717.14,2.922,0.659,-0.659,5814.0,158.0,-176.0,4.066,0.357,-0.127,-0.06,0.3,-0.3,1.549,0.381,-0.571,1.019,0.127,-0.14,18.9,1872.0,0,1,1,0
4059,7119481,K00566.03,CANDIDATE,42.068554,0.00106,-0.00106,5.723,0.496,-0.496,186.0,18.9,-18.9,0.022,0.441,-0.022,0.01251,0.000598,-0.000985,1.96417,1.47211,-1.12898,1.32,0.41,-0.14,0.24,89.98,541.0,20.28,19.05,-6.05,56.9,21.3,-21.3,6122.0,182.0,-200.0,4.487,0.054,-0.216,-0.18,0.25,-0.35,0.964,0.302,-0.101,1.041,0.139,-0.139,9.8,23.0,0,0,0,0
4060,6938264,K04180.01,FALSE POSITIVE,1.121634781,3.97e-06,-3.97e-06,1.155,0.111,-0.111,71.5,6.3,-6.3,0.409,0.053,-0.409,0.007688,0.000338,-0.000609,4.87072,3.069,-1.91127,0.6,0.03,-0.04,0.0191,86.59,1225.0,529.9,131.86,-139.4,6.87,2.2,-2.2,4518.0,143.0,-159.0,4.589,0.042,-0.025,0.22,0.2,-0.3,0.72,0.036,-0.056,0.735,0.044,-0.056,14.8,1191.0,0,0,1,0
4061,9899315,K04181.01,FALSE POSITIVE,1.33256979,1.32e-05,-1.32e-05,3.293,0.245,-0.245,104.0,6.9,-6.9,0.207,0.277,-0.207,0.009388,0.000381,-0.000478,0.32214,0.00558,-0.19009,0.97,0.3,-0.1,0.0239,86.2,1692.0,1943.76,1779.52,-571.71,3.1155,0.054,-0.054,6089.0,181.0,-199.0,4.495,0.05,-0.2,-0.18,0.25,-0.35,0.95,0.29,-0.097,1.031,0.126,-0.14,18.4,1010.0,0,0,1,1
4062,9541089,K04182.01,FALSE POSITIVE,0.536650896,5.75e-07,-5.75e-07,4.702,0.123,-0.123,273.0,3.2,-3.2,1.175,0.101,-0.094,0.191796,0.1,-0.0907,0.11213,0.02765,-0.02976,18.45,4.9,-2.09,0.0124,10.48,2163.0,5179.76,3975.37,-1538.72,1.195,0.295,-0.295,5819.0,145.0,-160.0,4.494,0.075,-0.188,-0.32,0.3,-0.3,0.881,0.234,-0.1,0.884,0.111,-0.09,117.8,1996.0,1,0,0,0
4063,3650049,K04249.01,FALSE POSITIVE,397.73699,0.0112,-0.0112,11.76,0.844,-0.844,1130.0,87.2,-87.2,0.883,0.013,-0.641,0.03635,0.0163,-0.00612,0.32855,2.6279,-0.28039,3.05,0.4,-0.36,0.9466,89.64,211.0,0.47,0.21,-0.14,140.1,70.0,-70.0,5313.0,175.0,-143.0,4.521,0.099,-0.081,-0.44,0.35,-0.3,0.768,0.1,-0.09,0.714,0.104,-0.045,15.3,3.0,1,0,0,0
4064,9641076,K04250.01,FALSE POSITIVE,2.17818699,1.53e-05,-1.53e-05,2.686,0.166,-0.166,116.0,8.9,-8.9,0.553,0.403,-0.349,0.010141,0.000131,-0.000868,0.59047,0.49466,-0.07486,1.03,0.27,-0.16,0.0312,84.0,1347.0,776.45,601.66,-282.1,5.29,2.2,-2.2,5584.0,166.0,-149.0,4.428,0.12,-0.18,-0.16,0.3,-0.25,0.932,0.239,-0.147,0.849,0.12,-0.074,15.4,617.0,0,0,1,1
