rowid,kepid,kepoi_name,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_incl,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_model_snr,koi_num_transits,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec
1,10797460,K00752.01,CONFIRMED,9.48803557,2.78e-05,-2.78e-05,2.9575,0.0819,-0.0819,616.0,19.5,-19.5,0.146,0.318,-0.146,0.022344,0.000832,-0.000528,3.20796,0.33173,-1.09986,2.26,0.26,-0.15,0.0853,89.66,793.0,93.59,29.45,-16.65,24.81,2.6,-2.6,5455.0,81.0,-81.0,4.467,0.064,-0.096,0.14,0.15,-0.15,0.927,0.105,-0.061,0.919,0.052,-0.046,35.8,142.0,0,0,0,0
2,10797460,K00752.02,CONFIRMED,54.4183827,0.000248,-0.000248,4.507,0.116,-0.116,875.0,35.5,-35.5,0.586,0.059,-0.443,0.027954,0.00908,-0.00135,3.02368,2.20489,-2.49638,2.83,0.32,-0.19,0.2734,89.57,443.0,9.11,2.87,-1.62,77.9,28.4,-28.4,5455.0,81.0,-81.0,4.467,0.064,-0.096,0.14,0.15,-0.15,0.927,0.105,-0.061,0.919,0.052,-0.046,25.8,25.0,0,0,0,0
3,10811496,K00753.01,CANDIDATE,19.89913995,1.49e-05,-1.49e-05,1.7822,0.0341,-0.0341,10800.0,171.0,-171.0,0.969,5.126,-0.077,0.154046,5.03,-0.0422,7.29555,35.03293,-2.75453,14.6,3.92,-1.31,0.1419,88.96,638.0,39.3,31.04,-10.49,53.5,25.7,-25.7,5853.0,158.0,-176.0,4.544,0.044,-0.176,-0.18,0.3,-0.3,0.868,0.233,-0.078,0.961,0.11,-0.121,76.3,56.0,0,0,0,0
4,10848459,K00754.01,FALSE POSITIVE,1.736952453,2.63e-07,-2.63e-07,2.40641,0.00537,-0.00537,8080.0,12.8,-12.8,1.276,0.115,-0.092,0.387394,0.109,-0.085,0.2208,0.00917,-0.01837,33.46,8.5,-2.83,0.0267,67.09,1395.0,891.96,668.95,-230.35,3.278,0.136,-0.136,5805.0,157.0,-174.0,4.564,0.053,-0.168,-0.52,0.3,-0.3,0.791,0.201,-0.067,0.836,0.093,-0.077,505.6,621.0,0,1,0,0
5,10854555,K00755.01,CONFIRMED,2.525591777,3.76e-06,-3.76e-06,1.6545,0.042,-0.042,603.0,16.9,-16.9,0.701,0.235,-0.478,0.024064,0.00375,-0.00152,1.98635,2.71141,-1.74541,2.75,0.88,-0.35,0.0374,85.41,1406.0,926.16,874.33,-314.24,8.75,4.0,-4.0,6031.0,169.0,-211.0,4.438,0.07,-0.21,0.07,0.25,-0.3,1.046,0.334,-0.133,1.095,0.151,-0.136,40.9,515.0,0,0,0,0
6,10872983,K00756.01,CONFIRMED,11.09432054,2.04e-05,-2.04e-05,4.5945,0.061,-0.061,1520.0,24.2,-24.2,0.538,0.03,-0.428,0.036779,0.00512,-0.00107,0.67324,0.33286,-0.38858,3.9,1.27,-0.42,0.0992,88.11,835.0,114.81,112.85,-36.7,16.36,8.1,-8.1,6046.0,189.0,-232.0,4.486,0.054,-0.229,-0.08,0.25,-0.3,0.972,0.315,-0.105,1.053,0.135,-0.15,66.5,95.0,0,0,0,0
7,10872983,K00756.02,CONFIRMED,4.13443512,1.05e-05,-1.05e-05,3.1402,0.0673,-0.0673,686.0,18.7,-18.7,0.762,0.139,-0.532,0.026133,0.00197,-0.00206,0.37377,0.74768,-0.26357,2.77,0.9,-0.3,0.0514,83.72,1160.0,427.65,420.33,-136.7,6.96,2.8,-2.8,6046.0,189.0,-232.0,4.486,0.054,-0.229,-0.08,0.25,-0.3,0.972,0.315,-0.105,1.053,0.135,-0.15,40.2,240.0,0,0,0,0
8,10872983,K00756.03,CONFIRMED,2.56658897,1.78e-05,-1.78e-05,2.429,0.165,-0.165,227.0,16.8,-16.8,0.755,0.212,-0.523,0.014983,0.00394,-0.00142,0.48909,0.95593,-0.45121,1.59,0.52,-0.17,0.0374,82.17,1360.0,807.74,793.91,-258.2,5.54,2.7,-2.7,6046.0,189.0,-232.0,4.486,0.054,-0.229,-0.08,0.25,-0.3,0.972,0.315,-0.105,1.053,0.135,-0.15,15.0,355.0,0,0,0,0
9,6721123,K00114.01,FALSE POSITIVE,7.36178958,2.13e-05,-2.13e-05,5.022,0.136,-0.136,234.0,5.8,-5.8,1.169,7.133,-0.044,0.183387,7.13,-0.0431,0.00485,0.27864,-0.00053,39.21,6.45,-9.67,0.082,60.92,1342.0,767.22,349.28,-365.49,2.4,1.2,-1.2,6227.0,111.0,-124.0,3.986,0.182,-0.098,0.0,0.15,-0.15,1.958,0.322,-0.483,1.358,0.121,-0.207,47.7,185.0,0,1,1,0
10,10910878,K00757.01,CONFIRMED,16.06864674,1.09e-05,-1.09e-05,3.5347,0.0241,-0.0241,4910.0,33.3,-33.3,0.052,0.262,-0.052,0.062161,0.000913,-0.000428,3.6659,0.11507,-0.51226,5.76,0.22,-0.49,0.1158,89.92,600.0,30.75,4.46,-6.66,36.85,1.2,-1.2,5031.0,75.0,-83.0,4.485,0.083,-0.028,0.16,0.15,-0.15,0.848,0.033,-0.072,0.801,0.052,-0.03,161.9,69.0,0,0,0,0
11,11446443,K00001.01,CONFIRMED,2.470613377,2.7e-08,-2.7e-08,1.74319,0.00107,-0.00107,14200.0,4.2,-4.2,0.818,0.001,-0.001,0.123871,5.1e-05,-7.1e-05,1.83538,0.00587,-0.00846,13.04,0.51,-0.51,0.0354,84.41,1339.0,761.46,106.21,-95.76,8.3977,0.0269,-0.0269,5820.0,78.0,-78.0,4.457,0.024,-0.024,-0.06,0.15,-0.15,0.964,0.038,-0.038,0.971,0.062,-0.056,4304.3,432.0,0,0,0,0
12,10666592,K00002.01,CONFIRMED,2.204735417,4.3e-08,-4.3e-08,3.88864,0.00203,-0.00203,6670.0,1.7,-1.7,0.224,0.159,-0.216,0.075522,0.000298,-0.00035,0.37936,0.02846,-0.02633,16.1,0.81,-0.91,0.0376,87.21,2048.0,4148.92,651.59,-654.46,4.602,0.345,-0.345,6440.0,76.0,-89.0,4.019,0.033,-0.027,0.14,0.15,-0.15,1.952,0.099,-0.11,1.449,0.07,-0.091,5945.9,611.0,0,1,0,0
13,6922244,K00010.01,CONFIRMED,3.522498429,1.98e-07,-1.98e-07,3.19843,0.00653,-0.00653,9150.0,6.6,-6.6,0.631,0.007,-0.007,0.092086,0.000141,-0.000177,0.65374,0.01481,-0.01458,14.59,1.11,-1.11,0.0473,85.2,1521.0,1264.67,307.23,-276.48,7.541,0.171,-0.171,6225.0,112.0,-137.0,4.169,0.055,-0.045,-0.04,0.15,-0.15,1.451,0.11,-0.11,1.132,0.108,-0.078,1741.5,384.0,0,0,0,0
14,10984090,K00112.02,CONFIRMED,3.709214104,6.54e-06,-6.54e-06,2.6302,0.0427,-0.0427,131.0,3.0,-3.0,0.051,0.395,-0.051,0.010424,0.000318,-0.000147,1.77451,0.06493,-0.57483,1.16,0.17,-0.12,0.0465,89.73,1206.0,500.46,197.96,-130.54,10.888,0.398,-0.398,5833.0,105.0,-117.0,4.407,0.085,-0.114,-0.04,0.15,-0.15,1.022,0.143,-0.107,0.974,0.066,-0.066,50.6,352.0,0,0,0,0
15,10419211,K00742.01,FALSE POSITIVE,11.52144606,1.98e-06,-1.98e-06,3.6399,0.0114,-0.0114,18000.0,31.9,-31.9,2.483,2.851,-0.673,1.625358,2.85,-0.663,1.27376,2.30242,-0.41065,150.51,39.8,-13.3,0.0978,83.13,753.0,75.88,58.89,-19.99,20.75,9.4,-9.4,5795.0,155.0,-172.0,4.554,0.033,-0.176,-0.2,0.25,-0.3,0.848,0.224,-0.075,0.938,0.098,-0.109,622.1,96.0,0,1,0,0
16,10464078,K00743.01,FALSE POSITIVE,19.40393776,2.07e-05,-2.07e-05,12.2155,0.0598,-0.0598,8920.0,53.3,-53.3,0.804,0.007,-0.005,0.096729,0.000533,-0.000532,0.03785,0.00107,-0.00172,7.18,0.76,-0.68,0.123,84.93,523.0,17.69,6.66,-4.88,9.099,0.257,-0.257,5043.0,151.0,-151.0,4.591,0.072,-0.048,-0.54,0.35,-0.3,0.68,0.072,-0.065,0.657,0.085,-0.036,214.7,71.0,0,1,0,0
17,10480982,K00744.01,FALSE POSITIVE,19.22138894,1.12e-06,-1.12e-06,4.79843,0.00235,-0.00235,74300.0,21.9,-21.9,1.065,0.031,-0.034,0.476633,0.0245,-0.0277,1.57359,0.00657,-0.02917,49.29,16.0,-5.0,0.1417,88.05,698.0,55.97,54.55,-16.4,31.323,0.131,-0.131,6117.0,182.0,-200.0,4.496,0.052,-0.208,-0.22,0.25,-0.35,0.947,0.308,-0.096,1.025,0.139,-0.139,2317.0,55.0,0,1,0,0
18,10485250,K00745.01,FALSE POSITIVE,16.46983774,1.36e-05,-1.36e-05,9.4378,0.06,-0.06,10500.0,39.9,-39.9,0.292,0.118,-0.101,0.092509,0.000598,-0.00111,0.19353,0.02009,-0.01907,7.94,0.89,-0.89,0.1147,88.81,595.0,29.61,12.01,-8.91,14.05,1.5,-1.5,5152.0,168.0,-153.0,4.517,0.088,-0.072,-0.2,0.3,-0.3,0.786,0.088,-0.088,0.741,0.106,-0.057,303.4,66.0,0,1,0,0
19,10526549,K00746.01,CONFIRMED,9.27358173,1.04e-05,-1.04e-05,3.2875,0.0309,-0.0309,1290.0,16.8,-16.8,0.387,0.004,-0.386,0.032563,0.00306,-0.00063,1.93557,0.52971,-0.14046,2.47,0.2,-0.24,0.0759,88.93,649.0,41.85,12.49,-11.7,20.65,5.6,-5.6,4856.0,131.0,-146.0,4.583,0.065,-0.035,-0.3,0.3,-0.3,0.696,0.056,-0.068,0.676,0.088,-0.047,87.2,144.0,0,0,0,0
20,10583066,K00747.01,CONFIRMED,6.02930329,5.51e-06,-5.51e-06,1.5821,0.0311,-0.0311,1910.0,34.4,-34.4,0.258,0.196,-0.258,0.038838,0.00102,-0.0012,13.09803,1.84066,-3.66782,2.85,0.26,-0.15,0.0585,89.5,678.0,50.04,16.4,-9.88,29.31,4.1,-4.1,4537.0,123.0,-123.0,4.648,0.02,-0.056,0.21,0.2,-0.3,0.672,0.062,-0.036,0.761,0.033,-0.067,65.4,215.0,0,0,0,0
21,10583180,K00748.01,FALSE POSITIVE,2.696370652,7.53e-06,-7.53e-06,3.6129,0.0686,-0.0686,398.0,9.5,-9.5,0.044,0.36,-0.044,0.017673,0.000551,-0.000311,0.51471,0.01428,-0.14593,1.58,0.13,-0.16,0.0349,89.56,1066.0,305.34,96.64,-86.33,5.827,0.162,-0.162,4989.0,149.0,-149.0,4.504,0.09,-0.06,0.1,0.25,-0.3,0.819,0.067,-0.082,0.781,0.078,-0.056,48.2,501.0,0,1,1,1
22,10601284,K00749.01,CONFIRMED,5.349553819,8.83e-06,-8.83e-06,3.0278,0.0471,-0.0471,831.0,14.8,-14.8,0.092,0.369,-0.092,0.025706,0.000845,-0.000453,1.73782,0.00625,-0.73875,2.55,0.16,-0.24,0.0563,89.62,919.0,168.99,34.66,-38.48,13.8015,0.0496,-0.0496,5185.0,85.0,-77.0,4.44,0.098,-0.045,0.16,0.15,-0.15,0.91,0.057,-0.086,0.831,0.058,-0.032,60.6,247.0,0,0,0,0
23,10601284,K00749.02,CONFIRMED,3.94105221,1.09e-05,-1.09e-05,2.5984,0.0737,-0.0737,363.0,13.9,-13.9,0.226,0.243,-0.226,0.017105,0.000703,-0.000557,1.85636,0.37935,-0.52982,1.7,0.11,-0.16,0.046,88.88,1018.0,253.15,51.91,-57.65,11.51,2.4,-2.4,5185.0,85.0,-77.0,4.44,0.098,-0.045,0.16,0.15,-0.15,0.91,0.057,-0.086,0.831,0.058,-0.032,28.9,322.0,0,0,0,0
24,10601284,K00749.03,CONFIRMED,8.10904807,6.79e-05,-6.79e-05,3.596,0.198,-0.198,217.0,16.8,-16.8,0.025,0.425,-0.025,0.013127,0.00087,-0.000503,1.5302,0.23293,-0.63643,1.3,0.09,-0.12,0.0743,89.92,800.0,97.03,19.9,-22.09,17.46,2.7,-2.7,5185.0,85.0,-77.0,4.44,0.098,-0.045,0.16,0.15,-0.15,0.91,0.057,-0.086,0.831,0.058,-0.032,14.1,141.0,0,0,0,0
25,2306756,K00113.01,FALSE POSITIVE,386.6030528,0.000137,-0.000137,6.8057,0.0184,-0.0184,24900.0,45.8,-45.8,0.9765,0.0497,-0.0268,0.240528,0.0353,-0.0198,4.63335,0.31031,-0.12558,41.5,1.68,-1.68,1.0719,89.95,297.0,1.84,0.26,-0.24,332.0,22.2,-22.2,5543.0,79.0,-79.0,4.081,0.014,-0.014,0.44,0.101,-0.101,1.58,0.064,-0.064,1.103,0.097,-0.097,994.0,,0,1,0,0
26,10662202,K00750.01,CONFIRMED,21.67699193,7.01e-05,-7.01e-05,3.4555,0.0656,-0.0656,857.0,27.1,-27.1,0.896,0.01,-0.663,0.032666,2.1e-05,-0.00574,0.60007,4.80948,-0.06216,2.95,0.12,-0.23,0.1408,87.91,530.0,18.64,2.78,-3.8,24.6,11.6,-11.6,4954.0,79.0,-79.0,4.5,0.075,-0.02,0.18,0.15,-0.15,0.828,0.032,-0.065,0.791,0.05,-0.029,34.3,62.0,0,0,0,0
27,10682541,K00751.01,CONFIRMED,4.99677968,1.39e-05,-1.39e-05,2.1717,0.0762,-0.0762,935.0,39.7,-39.7,0.71,0.006,-0.533,0.030014,0.0046,-0.00244,1.71827,2.68075,-1.40683,2.78,0.52,-0.23,0.0559,86.9,917.0,166.95,102.06,-42.14,13.14,5.1,-5.1,5339.0,175.0,-159.0,4.552,0.034,-0.136,0.18,0.2,-0.3,0.847,0.161,-0.069,0.931,0.063,-0.094,28.2,208.0,0,0,0,0
28,11460018,K00769.01,CONFIRMED,4.280963604,6.14e-06,-6.14e-06,2.875,0.042,-0.042,751.0,14.1,-14.1,0.424,0.112,-0.356,0.025377,0.000141,-0.000935,1.24482,0.4541,-0.15577,2.3,0.58,-0.19,0.0503,87.72,1012.0,247.87,182.24,-63.32,10.64,3.9,-3.9,5644.0,152.0,-169.0,4.564,0.032,-0.168,-0.14,0.3,-0.3,0.831,0.207,-0.069,0.928,0.094,-0.115,61.8,311.0,0,0,0,0
29,11463211,K00770.01,FALSE POSITIVE,1.50635409,4.7e-07,-4.7e-07,1.5155,0.0483,-0.0483,2210.0,18.3,-18.3,0.86,0.042,-0.125,0.049899,0.002,-0.00422,0.84722,0.97599,-0.30543,4.53,1.01,-0.44,0.025,79.38,1452.0,1054.12,703.1,-292.26,4.67,1.8,-1.8,5714.0,155.0,-172.0,4.563,0.04,-0.16,-0.2,0.3,-0.3,0.831,0.186,-0.08,0.926,0.09,-0.11,181.1,882.0,0,0,1,0
30,11465813,K00771.01,FALSE POSITIVE,670.645531,0.00124,-0.00124,53.412,0.131,-0.131,18100.0,33.5,-33.5,0.701,0.004,-0.005,0.131705,0.000242,-0.000326,0.02605,0.00045,-0.00046,14.14,2.13,-0.71,1.5155,89.53,196.0,0.35,0.15,-0.06,85.24,1.5,-1.5,5520.0,100.0,-111.0,4.466,0.032,-0.12,0.48,0.05,-0.15,0.983,0.148,-0.049,1.03,0.042,-0.058,642.7,3.0,0,1,1,0
31,11493732,K00772.01,FALSE POSITIVE,61.2563628,0.000156,-0.000156,7.633,0.105,-0.105,5120.0,70.6,-70.6,1.248,6.912,-0.067,0.334628,6.82,-0.0624,0.12411,1.16709,-0.01383,39.87,12.8,-5.48,0.3137,87.54,505.0,15.43,14.85,-5.51,29.1,14.4,-14.4,6144.0,184.0,-220.0,4.402,0.072,-0.217,0.0,0.25,-0.3,1.091,0.35,-0.15,1.093,0.166,-0.135,85.3,13.0,0,1,0,0
32,11507101,K00773.01,CONFIRMED,38.3775486,0.00016,-0.00016,5.588,0.113,-0.113,724.0,23.4,-23.4,0.468,0.461,-0.267,0.024901,0.000184,-0.00127,1.40588,0.66103,-0.15885,2.82,0.37,-0.34,0.2163,89.44,529.0,18.53,6.72,-4.93,47.8,22.5,-22.5,5481.0,82.0,-74.0,4.369,0.121,-0.099,0.16,0.15,-0.15,1.036,0.138,-0.124,0.915,0.061,-0.042,34.7,37.0,0,0,0,0
33,10910878,K00757.02,CONFIRMED,41.19725502,9.35e-05,-9.35e-05,4.6297,0.0633,-0.0633,2210.0,45.5,-45.5,0.045,0.337,-0.045,0.041693,0.00118,-0.000613,3.9471,0.11711,-0.98055,3.86,0.15,-0.33,0.217,89.96,439.0,8.76,1.27,-1.9,70.75,2.1,-2.1,5031.0,75.0,-83.0,4.485,0.083,-0.028,0.16,0.15,-0.15,0.848,0.033,-0.072,0.801,0.052,-0.03,51.2,26.0,0,0,0,0
34,10910878,K00757.03,CONFIRMED,6.252962249,9.58e-06,-9.58e-06,2.5819,0.0426,-0.0426,1040.0,24.5,-24.5,0.105,0.329,-0.105,0.028604,0.00103,-0.000484,3.28707,0.14618,-1.14248,2.65,0.1,-0.23,0.0617,89.68,823.0,108.3,15.73,-23.44,18.94,0.842,-0.842,5031.0,75.0,-83.0,4.485,0.083,-0.028,0.16,0.15,-0.15,0.848,0.033,-0.072,0.801,0.052,-0.03,47.1,167.0,0,0,0,0
35,10987985,K00758.01,CONFIRMED,16.01308419,4.85e-05,-4.85e-05,3.2554,0.0791,-0.0791,1120.0,39.4,-39.4,0.799,0.097,-0.551,0.034369,0.00317,-0.00437,1.10942,3.17981,-0.14515,3.1,0.34,-0.31,0.1148,88.14,593.0,29.31,11.77,-8.24,24.7,11.8,-11.8,5015.0,164.0,-149.0,4.499,0.092,-0.115,0.1,0.25,-0.25,0.826,0.091,-0.082,0.785,0.085,-0.056,33.2,65.0,0,0,0,0
36,11018648,K00759.01,CONFIRMED,32.62876672,5.8e-05,-5.8e-05,4.7971,0.058,-0.058,1800.0,25.4,-25.4,0.021,0.402,-0.021,0.03852,0.000971,-0.000365,2.79093,0.07518,-0.76489,3.36,0.76,-0.33,0.1889,89.98,506.0,15.55,10.51,-4.18,53.95,1.5,-1.5,5586.0,152.0,-152.0,4.56,0.05,-0.15,-0.3,0.3,-0.3,0.798,0.181,-0.077,0.844,0.097,-0.078,80.0,34.0,0,0,0,0
37,11018648,K00759.02,CONFIRMED,91.7732862,0.000752,-0.000752,6.473,0.204,-0.204,652.0,36.2,-36.2,0.606,0.335,-0.4,0.02432,0.00705,-0.00122,1.60558,1.35632,-1.4525,2.12,0.48,-0.21,0.3764,89.61,359.0,3.92,2.64,-1.06,89.4,37.8,-37.8,5586.0,152.0,-152.0,4.56,0.05,-0.15,-0.3,0.3,-0.3,0.798,0.181,-0.077,0.844,0.097,-0.078,19.1,11.0,0,0,0,0
38,11138155,K00760.01,CONFIRMED,4.959319244,5.15e-07,-5.15e-07,2.22739,0.0075,-0.0075,9800.0,20.0,-20.0,0.831,0.016,-0.004,0.103379,0.00125,-7.4e-05,1.46169,0.05503,-0.18338,12.21,1.96,-1.46,0.0565,86.15,1103.0,349.4,146.52,-93.21,12.386,0.466,-0.466,5712.0,77.0,-77.0,4.359,0.11,-0.11,0.1,0.15,-0.15,1.082,0.173,-0.13,0.976,0.073,-0.055,696.5,269.0,0,0,0,0
39,11152159,K00761.01,FALSE POSITIVE,2.701287801,5.63e-06,-5.63e-06,3.3827,0.0892,-0.0892,860.0,20.9,-20.9,1.016,3.967,-0.059,0.06584,3.76,-0.0321,0.02818,0.41088,-0.00767,6.54,1.64,-0.75,0.0365,62.69,1222.0,527.81,411.33,-166.35,2.22,1.1,-1.1,5550.0,182.0,-182.0,4.468,0.091,-0.169,-0.04,0.3,-0.3,0.91,0.228,-0.105,0.889,0.102,-0.083,48.3,387.0,0,1,1,0
40,11153539,K00762.01,CONFIRMED,4.49876511,1.78e-05,-1.78e-05,3.7362,0.0934,-0.0934,460.0,17.5,-17.5,0.312,0.154,-0.312,0.019817,0.000458,-0.000789,0.67106,0.14046,-0.19399,2.1,0.65,-0.22,0.0542,88.0,1133.0,389.62,365.71,-117.4,8.95,1.9,-1.9,6075.0,189.0,-210.0,4.486,0.052,-0.208,-0.12,0.25,-0.35,0.969,0.3,-0.1,1.048,0.139,-0.139,29.5,238.0,0,0,0,0
41,11242721,K00763.01,FALSE POSITIVE,19.65120951,5.86e-06,-5.86e-06,5.2514,0.0179,-0.0179,11800.0,27.7,-27.7,0.723,0.01,-0.02,0.106953,0.000536,-5.1e-05,0.67559,0.05956,-0.03177,12.42,3.92,-1.69,0.1433,88.27,730.0,67.03,62.46,-23.51,23.98,2.1,-2.1,6074.0,168.0,-210.0,4.391,0.09,-0.21,-0.12,0.3,-0.3,1.063,0.336,-0.144,1.014,0.153,-0.126,513.4,59.0,0,1,0,0
42,9579641,K00115.01,CONFIRMED,5.412203927,3.05e-06,-3.05e-06,2.9472,0.024,-0.024,602.0,4.0,-4.0,0.787,0.005,-0.565,0.024775,6e-05,-0.00189,0.51087,1.25402,-0.00404,2.94,0.43,-0.38,0.0591,85.12,1093.0,337.68,137.29,-102.18,9.25,4.5,-4.5,5779.0,104.0,-115.0,4.339,0.132,-0.108,-0.06,0.15,-0.15,1.087,0.157,-0.142,0.941,0.074,-0.054,166.7,244.0,0,0,0,0
43,11304958,K00764.01,CONFIRMED,41.43958662,7.56e-05,-7.56e-05,10.5989,0.088,-0.088,2790.0,22.6,-22.6,0.355,0.04,-0.355,0.048175,0.000284,-0.00108,0.28189,0.06167,-0.03545,5.5,1.57,-0.96,0.2288,89.31,516.0,16.72,14.66,-6.64,29.47,6.4,-6.4,5468.0,180.0,-164.0,4.367,0.153,-0.187,0.22,0.2,-0.3,1.046,0.297,-0.183,0.93,0.092,-0.074,141.1,33.0,0,0,0,0
44,11391957,K00765.01,CONFIRMED,8.35389523,1.52e-05,-1.52e-05,2.2514,0.0518,-0.0518,1040.0,28.2,-28.2,0.023,0.423,-0.023,0.029305,0.000955,-0.000532,6.73215,0.38293,-2.25954,2.52,0.54,-0.24,0.0768,89.95,790.0,91.9,59.06,-24.15,29.18,1.7,-1.7,5592.0,152.0,-152.0,4.582,0.036,-0.144,-0.28,0.3,-0.3,0.787,0.169,-0.073,0.862,0.089,-0.097,43.4,127.0,0,0,0,0
45,11403044,K00766.01,CONFIRMED,4.125543472,3.13e-06,-3.13e-06,3.1744,0.0362,-0.0362,1490.0,13.3,-13.3,0.597,0.235,-0.367,0.036796,0.00263,-0.00128,0.67162,0.43306,-0.44111,4.43,1.44,-0.51,0.0529,85.95,1243.0,565.35,542.47,-188.14,8.45,2.7,-2.7,6174.0,173.0,-239.0,4.417,0.056,-0.21,0.1,0.2,-0.3,1.103,0.358,-0.128,1.162,0.158,-0.158,128.6,323.0,0,0,0,0
46,11414511,K00767.01,CONFIRMED,2.816504904,1.65e-07,-1.65e-07,2.50587,0.00666,-0.00666,16800.0,11.0,-11.0,0.105,0.264,-0.119,0.117059,0.00183,-0.000297,2.09079,0.12997,-0.41666,12.21,1.62,-0.87,0.0383,89.37,1219.0,521.13,184.34,-97.95,9.571,0.595,-0.595,5532.0,74.0,-83.0,4.452,0.063,-0.108,0.14,0.15,-0.15,0.955,0.127,-0.068,0.941,0.053,-0.047,1406.8,474.0,0,0,0,0
47,11442465,K00768.01,FALSE POSITIVE,33.93373447,6.15e-05,-6.15e-05,14.561,0.104,-0.104,8500.0,44.3,-44.3,0.812,0.006,-0.009,0.095386,0.000555,-0.000616,0.0371,0.00146,-0.00227,7.34,0.9,-0.6,0.1881,86.45,430.0,8.11,3.25,-2.06,13.12,0.516,-0.516,5040.0,136.0,-151.0,4.628,0.03,-0.07,-0.24,0.3,-0.3,0.705,0.086,-0.058,0.782,0.063,-0.087,236.1,31.0,0,1,1,0
48,12110942,K00786.01,CONFIRMED,3.689920099,8.98e-06,-8.98e-06,2.6557,0.0677,-0.0677,427.0,13.8,-13.8,0.151,0.304,-0.151,0.018878,0.000671,-0.00037,1.70798,0.18477,-0.55842,1.89,0.54,-0.2,0.0469,89.19,1147.0,408.99,342.24,-123.32,10.71,1.2,-1.2,5880.0,157.0,-192.0,4.518,0.046,-0.196,-0.06,0.3,-0.3,0.917,0.262,-0.098,1.01,0.116,-0.139,35.6,360.0,0,0,0,0
49,12366084,K00787.01,CONFIRMED,4.431238488,6.11e-06,-6.11e-06,3.15,0.0423,-0.0423,1010.0,15.2,-15.2,0.405,0.041,-0.405,0.02933,0.000228,-0.000889,1.01996,0.37117,-0.07443,3.25,0.47,-0.25,0.0529,87.72,1104.0,351.23,135.26,-68.33,10.19,3.7,-3.7,5714.0,77.0,-77.0,4.428,0.063,-0.117,0.16,0.15,-0.15,1.015,0.148,-0.079,1.007,0.056,-0.062,71.1,302.0,0,0,0,0
50,12366084,K00787.02,CONFIRMED,11.37936986,2.42e-05,-2.42e-05,2.6255,0.073,-0.073,1020.0,29.7,-29.7,0.911,0.009,-0.656,0.035628,0.000101,-0.00609,0.63438,6.6161,-0.08378,3.95,0.57,-0.31,0.0993,86.8,806.0,99.68,38.38,-19.39,16.31,8.1,-8.1,5714.0,77.0,-77.0,4.428,0.063,-0.117,0.16,0.15,-0.15,1.015,0.148,-0.079,1.007,0.056,-0.062,37.9,109.0,0,0,0,0
51,12404086,K00788.01,CONFIRMED,26.39432897,5.72e-05,-5.72e-05,3.573,0.0643,-0.0643,1510.0,36.3,-36.3,0.602,0.25,-0.396,0.03681,0.0042,-0.0019,2.93923,2.55609,-0.1069,3.07,0.41,-0.22,0.1635,89.28,489.0,13.49,6.07,-3.21,47.7,20.7,-20.7,5129.0,154.0,-154.0,4.595,0.03,-0.084,0.02,0.25,-0.3,0.763,0.103,-0.055,0.846,0.064,-0.088,48.2,51.0,0,0,0,0
52,8395660,K00116.01,CONFIRMED,13.57078281,1.59e-05,-1.59e-05,3.3539,0.0489,-0.0489,512.0,6.3,-6.3,0.866,0.015,-0.621,0.023908,0.000413,-0.00263,0.49865,2.55354,-0.08697,2.64,0.4,-0.27,0.1096,87.07,785.0,89.61,38.12,-22.92,16.93,7.9,-7.9,5854.0,105.0,-117.0,4.406,0.09,-0.11,-0.12,0.15,-0.15,1.012,0.154,-0.103,0.951,0.07,-0.063,88.4,101.0,0,0,0,0
53,9579641,K00115.02,CONFIRMED,7.12594387,1.41e-05,-1.41e-05,3.0014,0.0384,-0.0384,192.0,4.4,-4.4,0.898,0.013,-0.699,0.01512,0.000323,-0.00219,0.23879,1.86455,-0.04686,1.79,0.26,-0.23,0.0711,84.02,997.0,233.31,94.86,-70.6,8.62,4.2,-4.2,5779.0,104.0,-115.0,4.339,0.132,-0.108,-0.06,0.15,-0.15,1.087,0.157,-0.142,0.941,0.074,-0.054,47.1,181.0,0,0,0,0
54,11656840,K00774.01,FALSE POSITIVE,7.442652004,7.02e-07,-7.02e-07,2.3078,0.0129,-0.0129,24400.0,37.8,-37.8,0.137,0.346,-0.224,0.143936,0.00353,-0.00137,7.48712,1.28308,-2.42034,15.03,4.73,-1.58,0.0742,89.72,967.0,206.78,195.52,-61.76,27.99,4.8,-4.8,6108.0,183.0,-201.0,4.469,0.07,-0.21,-0.3,0.3,-0.3,0.956,0.301,-0.1,0.981,0.128,-0.128,835.6,180.0,0,1,0,0
