flux,flux_err,centroid_col,centroid_row,cadenceno,quality
17360.82,5.639507,163.1724508813257,960.3927874039937,1105,0
17366.021,5.639585,163.17301005533096,960.3930918930904,1106,0
17357.135,5.6391582,163.1728129919838,960.3926370012534,1107,0
17347.85,5.6386795,163.17342671654808,960.3930045578894,1108,0
17348.717,5.63894,163.1726050837159,960.3928469390044,1109,0
17360.207,5.6392555,163.17242956071468,960.392717547446,1110,0
17347.111,5.638639,163.17287410957573,960.3931499505417,1111,0
17355.309,5.6390295,163.17267641550936,960.3924904621559,1112,0
17348.494,5.638656,163.17295579424277,960.3924905739466,1113,0
17345.559,5.63857,163.1725297054468,960.3925987120459,1114,0
17352.523,5.6389894,163.17318306754342,960.3926135580543,1115,0
17348.11,5.6387897,163.17268938743382,960.3926277007992,1116,0
17353.848,5.6391506,163.17273814119483,960.3933563349098,1117,0
17336.533,5.63798,163.1732300965182,960.3929611846512,1118,0
17354.145,5.6390247,163.17331715545873,960.3929507264199,1119,0
17363.28,5.639544,163.17311321547956,960.3925572256813,1120,0
17355.842,5.6391077,163.1729583997238,960.3924565514066,1121,0
17357.7,5.639132,163.17325374224637,960.3937611442605,1122,0
17342.73,5.6384435,163.17275406701836,960.3929903628625,1123,0
17344.893,5.638484,163.17287783195027,960.393261550337,1124,0
17355.71,5.6392336,163.17279956297594,960.3928440531271,1125,0
17343.166,5.6384697,163.17257048196217,960.3930805919028,1126,0
17362.164,5.639371,163.17262988370848,960.3927685135505,1127,0
17347.516,5.6386333,163.17228064109503,960.3921012349458,1128,0
17360.182,5.639245,163.1728629153905,960.3932766087573,1129,0
17347.729,5.638591,163.17267240294936,960.3925491926149,1130,0
17351.143,5.638687,163.17270732576262,960.3929065637564,1131,0
17338.943,5.636744,163.1726682976977,960.3925780574577,1132,0
17343.252,5.638265,163.17220459842878,960.392496703523,1133,0
17352.693,5.6388116,163.1726123819429,960.3928873768245,1134,0
17344.422,5.638488,163.17237364868691,960.3928837789814,1135,0
17351.49,5.6390023,163.17264793067295,960.3928765817266,1136,0
17340.436,5.638373,163.17274434723055,960.39312048851,1137,0
17365.326,5.6394715,163.17304673172913,960.3932145835862,1138,0
17347.686,5.6384597,163.17293520776255,960.3932877051969,1139,0
17355.16,5.639025,163.17279709888496,960.3929945243231,1140,0
17344.64,5.638402,163.17247763480557,960.393325148154,1141,0
17351.17,5.6387258,163.1725108326404,960.3930085857694,1142,0
17353.805,5.6390076,163.17290649308825,960.3931361568203,1143,0
17351.596,5.638842,163.17249182225225,960.392682446606,1144,0
17353.516,5.639024,163.17244995603545,960.3923568391249,1145,0
17352.354,5.638715,163.17276597834913,960.3927529984422,1146,0
17355.008,5.638927,163.17224759563445,960.3927601621397,1147,0
17345.879,5.6385975,163.17199610000011,960.3924831826668,1148,0
17345.293,5.638691,163.17299011229576,960.3928092422661,1149,0
17354.838,5.6389685,163.1723136835128,960.3926078469457,1150,0
17353.596,5.6389623,163.17224204775758,960.3927340170687,1151,0
17359.254,5.6391196,163.17265007607782,960.3932993636291,1152,0
17352.674,5.638807,163.17242119454528,960.3930997489862,1153,0
17349.033,5.6384635,163.1724269134515,960.3927838634178,1154,0
17355.533,5.6388946,163.17259725177703,960.3931741039562,1155,0
17350.932,5.638562,163.17256478159325,960.3929491977252,1156,0
17346.062,5.6382027,163.17257870508877,960.3928227591192,1157,0
17350.732,5.6387467,163.17227262813677,960.3925101803046,1158,0
17344.816,5.638253,163.17235728840603,960.3924992847427,1159,0
17354.924,5.6387396,163.17179237094265,960.3916984145828,1160,0
17344.588,5.6383853,163.1722150666229,960.3926915140445,1161,0
17350.822,5.638519,163.17204280003054,960.3930068817097,1162,0
17350.846,5.6386127,163.172490510428,960.3926589475697,1163,0
17356.691,5.638989,163.17279388959037,960.3927909390893,1164,0
17348.145,5.6385074,163.17277520652144,960.3927564929354,1165,0
17350.158,5.6385584,163.172646713036,960.3926392754687,1166,0
17342.473,5.638034,163.17284180121487,960.3929195841113,1167,0
17353.227,5.6387525,163.17349953817464,960.3937259731507,1168,0
17354.99,5.6386714,163.17308050743858,960.3927809683167,1169,0
17339.969,5.6384916,163.17268380703553,960.393524722493,1170,0
17349.746,5.638582,163.17306182047705,960.3936597176568,1171,0
17335.924,5.6377945,163.1733200319812,960.3937898958883,1172,0
17352.996,5.63872,163.17373182964735,960.393566041904,1173,0
17349.775,5.6386633,163.17301892093232,960.3932966559478,1174,0
17341.996,5.638044,163.17324381628063,960.3932518439788,1175,0
17345.277,5.6381435,163.17341809151773,960.3929840704766,1176,0
17349.17,5.638947,163.17276414359532,960.3932835301327,1177,0
17346.889,5.638801,163.1729686418235,960.3928231400016,1178,0
17347.03,5.6383295,163.1728308633987,960.3929843670325,1179,0
17347.373,5.638508,163.17294469841886,960.3929407993178,1180,0
17347.168,5.6371417,163.17309392856137,960.3921375256847,1181,0
17354.447,5.6389265,163.17210180443885,960.3915696752971,1182,0
17344.611,5.63703,163.17307050826642,960.3922974306681,1183,0
17342.1,5.63688,163.17253581386686,960.3914553929259,1184,0
17345.695,5.637116,163.17256493000616,960.3919002106436,1185,0
17352.459,5.638703,163.17197363431188,960.3922135393246,1186,0
17350.861,5.6372952,163.17263085210502,960.3919103225102,1187,0
17345.521,5.6371894,163.17283785738326,960.3921331564163,1188,0
17359.562,5.637721,163.17208716755815,960.391716131118,1189,0
17341.7,5.6366754,163.17272290431302,960.3911589912095,1190,0
17345.123,5.636952,163.17276163272209,960.3921698470831,1191,0
17349.285,5.637894,163.173042508168,960.3919019397413,1192,0
17343.018,5.636914,163.17235808100006,960.3915026852204,1193,0
17346.348,5.6370916,163.1723477631588,960.3912452248846,1194,0
17338.61,5.63672,163.17210982290865,960.3905634477612,1195,0
17355.648,5.637567,163.1722941223065,960.3904785474734,1196,0
17351.375,5.637484,163.17242053894606,960.3901984578655,1197,0
17349.1,5.6371684,163.17244735302083,960.3902387769274,1198,0
17350.701,5.6373305,163.17263044223043,960.3908872453316,1199,0
17344.28,5.636919,163.17260879834072,960.3909312494517,1200,0
17347.729,5.6372023,163.17248935794515,960.3912583112269,1201,0
17355.773,5.637498,163.17282530193594,960.390588264487,1202,0
17347.348,5.637003,163.17263995252898,960.3911652384438,1203,0
17354.36,5.637285,163.1727401327392,960.3905624098384,1204,0
