flux,flux_err,quality,timecorr,centroid_col,centroid_row,cadenceno,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,sap_quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
18210.396,5.1258593,0,0.0013226214,689.9488446213069,1012.6926558982136,1105,13646.085,3.8120937,557.0474,0.273744,18210.396,5.1258593,0,,,,,689.9488446213069,0.00037514098,1012.6926558982136,0.00031288993,0.005817597,-0.025011592
18215.605,5.1277027,0,0.0013232487,689.9483542600632,1012.693014603163,1106,13652.083,3.8126218,556.88464,0.27386928,18215.605,5.1277027,0,,,,,689.9483542600632,0.00037501781,1012.693014603163,0.0003128013,0.005720795,-0.02499968
18207.795,5.1268506,0,0.001323876,689.9487055085874,1012.6925183927785,1107,13646.018,3.8121195,556.8011,0.27447587,18207.795,5.1268506,0,,,,,689.9487055085874,0.0003752819,1012.6925183927785,0.0003130022,0.005885755,-0.025129935
18218.055,5.1283116,0,0.0013245032,689.9493498638703,1012.6927770734852,1108,13652.203,3.8127484,557.97406,0.273958,18218.055,5.1283116,0,,,,,689.9493498638703,0.0003751642,1012.6927770734852,0.00031292185,0.0059534092,-0.025055237
18224.404,5.1295137,0,0.0013251303,689.9481508415365,1012.6932829211567,1109,13657.259,3.813002,557.5705,0.27351817,18224.404,5.1295137,0,,,,,689.9481508415365,0.0003749932,1012.6932829211567,0.00031271356,0.005678258,-0.024557255
18217.453,5.126696,0,0.0013257575,689.9485217087836,1012.6927226619309,1110,13652.118,3.812602,556.5631,0.27464706,18217.453,5.126696,0,,,,,689.9485217087836,0.00037495937,1012.6927226619309,0.00031272235,0.0056416593,-0.024544537
18212.734,5.1280384,0,0.0013263845,689.9483860018821,1012.6930025960785,1111,13646.866,3.8120706,556.62915,0.27305806,18212.734,5.1280384,0,,,,,689.9483860018821,0.00037511406,1012.6930025960785,0.00031282663,0.005656228,-0.02448007
18217.154,5.1301847,0,0.0013270115,689.9479901587716,1012.6930381446666,1112,13650.561,3.8124504,556.423,0.27408674,18217.154,5.1301847,0,,,,,689.9479901587716,0.0003750089,1012.6930381446666,0.00031274845,0.0054246155,-0.024325749
18214.484,5.1305666,128,0.0013276384,689.9488509494287,1012.6938446469185,1113,13648.4,3.8129663,557.3018,0.2741508,18214.484,5.1305666,128,,,,,689.9488509494287,0.0003751192,1012.6938446469185,0.0003128823,0.005474857,-0.02438883
18224.72,5.1283426,0,0.0013282652,689.9484674238239,1012.6932521169937,1114,13655.442,3.8128786,557.3539,0.2739247,18224.72,5.1283426,0,,,,,689.9484674238239,0.00037496106,1012.6932521169937,0.00031272345,0.0054337387,-0.024073511
18215.133,5.129486,0,0.001328892,689.9487936258146,1012.6930496890161,1115,13647.745,3.8121603,557.4091,0.27395988,18215.133,5.129486,0,,,,,689.9487936258146,0.00037496295,1012.6930496890161,0.00031281225,0.005611267,-0.02428996
18214.77,5.1283417,0,0.0013295187,689.948930662888,1012.6931835309963,1116,13648.668,3.812278,557.6893,0.27403483,18214.77,5.1283417,0,,,,,689.948930662888,0.0003751886,1012.6931835309963,0.00031289225,0.0055476273,-0.024302004
18226.893,5.1288137,0,0.0013301454,689.9486920459979,1012.6936055946821,1117,13657.184,3.8130348,555.97656,0.27419436,18226.893,5.1288137,0,,,,,689.9486920459979,0.00037486292,1012.6936055946821,0.00031273896,0.00574982,-0.024246303
18211.074,5.1252747,0,0.001330772,689.9493051761124,1012.6937119075242,1118,13644.326,3.8119009,556.98694,0.27405092,18211.074,5.1252747,0,,,,,689.9493051761124,0.0003751305,1012.6937119075242,0.00031284906,0.0058062705,-0.024397124
18214.701,5.1273017,0,0.0013313985,689.9489365766284,1012.6923354534215,1119,13648.432,3.8123283,557.3199,0.27444553,18214.701,5.1273017,0,,,,,689.9489365766284,0.00037505256,1012.6923354534215,0.00031286821,0.005870691,-0.024735643
18213.229,5.12512,0,0.0013320249,689.9496785879385,1012.6930321045043,1120,13646.602,3.8122027,557.1244,0.27467468,18213.229,5.12512,0,,,,,689.9496785879385,0.00037509235,1012.6930321045043,0.00031290503,0.0059752255,-0.024483876
18216.988,5.1275163,128,0.0013326512,689.948385704577,1012.6934800565715,1121,13648.709,3.8129482,557.87933,0.2737484,18216.988,5.1275163,128,,,,,689.948385704577,0.00037509928,1012.6934800565715,0.00031286184,0.005901444,-0.024009328
18217.035,5.126218,0,0.0013332776,689.9491962627051,1012.693109476528,1122,13649.104,3.8122747,556.6839,0.27430388,18217.035,5.126218,0,,,,,689.9491962627051,0.00037503598,1012.693109476528,0.00031283448,0.0059570083,-0.024389064
18218.736,5.1266665,0,0.0013339039,689.9481427265615,1012.6937711319708,1123,13650.93,3.812468,556.6331,0.27468452,18218.736,5.1266665,0,,,,,689.9481427265615,0.00037508644,1012.6937711319708,0.00031290087,0.005896514,-0.023977676
18217.166,5.1268187,0,0.0013345301,689.9482620090253,1012.6939612278697,1124,13649.17,3.812389,557.42694,0.2747792,18217.166,5.1268187,0,,,,,689.9482620090253,0.00037513918,1012.6939612278697,0.0003128418,0.0058552846,-0.023977024
18226.033,5.1311736,0,0.0013351562,689.9492436676256,1012.693883452755,1125,13655.347,3.8129036,556.84534,0.27466744,18226.033,5.1311736,0,,,,,689.9492436676256,0.0003750117,1012.693883452755,0.00031277305,0.0055449656,-0.023999842
18216.441,5.1285863,128,0.0013357822,689.9491178306249,1012.6932749445275,1126,13649.085,3.8129687,556.97284,0.2740782,18216.441,5.1285863,128,,,,,689.9491178306249,0.0003751144,1012.6932749445275,0.00031291737,0.0056842775,-0.023933198
18214.742,5.1255617,0,0.0013364082,689.9482072714372,1012.6935404922983,1127,13647.643,3.8124583,557.4277,0.2745413,18214.742,5.1255617,0,,,,,689.9482072714372,0.0003752075,1012.6935404922983,0.00031294266,0.0055709737,-0.024028573
18220.146,5.1284604,0,0.0013370342,689.9475650330783,1012.692865800256,1128,13651.594,3.812468,556.83057,0.2740532,18220.146,5.1284604,0,,,,,689.9475650330783,0.00037508635,1012.692865800256,0.00031273245,0.0055878744,-0.023984544
18213.682,5.12807,0,0.00133766,689.9490090455238,1012.6933880773578,1129,13647.086,3.8122196,557.46674,0.27392778,18213.682,5.12807,0,,,,,689.9490090455238,0.0003752244,1012.6933880773578,0.0003129503,0.005700849,-0.02406961
18215.38,5.130705,0,0.0013382859,689.9482702968783,1012.6935588442404,1130,13648.538,3.8122637,556.8673,0.2740874,18215.38,5.130705,0,,,,,689.9482702968783,0.00037504113,1012.6935588442404,0.0003128276,0.005459508,-0.024048818
18216.16,5.127768,0,0.0013389116,689.9482294534855,1012.6939560716281,1131,13648.604,3.8122745,557.19946,0.2746621,18216.16,5.127768,0,,,,,689.9482294534855,0.00037505108,1012.6939560716281,0.00031282206,0.005534547,-0.023558492
18209.46,5.126656,0,0.0013395372,689.947688736132,1012.6941003932455,1132,13643.087,3.8119102,556.43835,0.27454075,18209.46,5.126656,0,,,,,689.947688736132,0.0003752985,1012.6941003932455,0.00031303638,0.005396542,-0.023638628
18218.713,5.12912,0,0.0013401628,689.9483015149226,1012.6943692478592,1133,13650.448,3.8124328,557.40515,0.2741172,18218.713,5.12912,0,,,,,689.9483015149226,0.0003751401,1012.6943692478592,0.0003128379,0.00531718,-0.023378348
18217.846,5.127908,0,0.0013407883,689.9489200372079,1012.6947458709707,1134,13650.559,3.8124173,556.1382,0.27435675,18217.846,5.127908,0,,,,,689.9489200372079,0.00037520786,1012.6947458709707,0.0003128942,0.005502929,-0.023749806
18212.598,5.1263137,128,0.0013414138,689.9484883261398,1012.6950615934077,1135,13644.604,3.8125067,556.7412,0.2745744,18212.598,5.1263137,128,,,,,689.9484883261398,0.00037516834,1012.6950615934077,0.00031285454,0.0053138887,-0.023319285
18221.12,5.1302767,0,0.0013420392,689.9489027283172,1012.6941569615625,1136,13652.574,3.81247,556.91943,0.27405822,18221.12,5.1302767,0,,,,,689.9489027283172,0.0003750751,1012.6941569615625,0.00031283125,0.005412769,-0.023524133
18207.88,5.1262455,0,0.0013426646,689.9486640823163,1012.6937758264345,1137,13641.878,3.811708,556.2526,0.273998,18207.88,5.1262455,0,,,,,689.9486640823163,0.00037537108,1012.6937758264345,0.00031306266,0.0056337537,-0.023671463
18214.58,5.1272,0,0.0013432899,689.9488875444406,1012.6937339146601,1138,13647.774,3.8121784,556.6104,0.2742469,18214.58,5.1272,0,,,,,689.9488875444406,0.0003752609,1012.6937339146601,0.00031294485,0.0056981724,-0.024112035
18217.166,5.126796,0,0.001343915,689.9490894427328,1012.6941169691825,1139,13648.718,3.8122764,556.8716,0.27417973,18217.166,5.126796,0,,,,,689.9490894427328,0.00037508988,1012.6941169691825,0.00031280963,0.005589432,-0.023766981
18220.24,5.1287894,0,0.0013445402,689.9485279942605,1012.6945389663739,1140,13651.488,3.8125565,557.37897,0.273571,18220.24,5.1287894,0,,,,,689.9485279942605,0.00037516427,1012.6945389663739,0.0003129134,0.005427782,-0.023548143
18214.121,5.1269574,0,0.0013451653,689.9492387667094,1012.694319512828,1141,13647.614,3.8122687,556.9915,0.2739653,18214.121,5.1269574,0,,,,,689.9492387667094,0.00037513307,1012.694319512828,0.00031286667,0.0055397823,-0.023755703
