flux,flux_err,centroid_col,centroid_row,cadenceno,quality
14323.833,4.0316377,1100.9549532157773,866.8928274929683,1105,0
14315.614,4.0310073,1100.954964438176,866.8927932890763,1106,0
14328.455,4.0319295,1100.954970047207,866.8929392975748,1107,0
14315.334,4.030932,1100.9553172834842,866.8923009888463,1108,0
14316.804,4.0311327,1100.9544504289684,866.8925942293075,1109,0
14325.139,4.0317087,1100.9547199663411,866.8927780928236,1110,0
14316.314,4.030902,1100.9548410644652,866.8927317644465,1111,0
14324.258,4.031667,1100.9551072433671,866.893150610102,1112,0
14307.242,4.03042,1100.9545515569107,866.8924016616435,1113,0
14311.128,4.03086,1100.9544899227853,866.892797672846,1114,0
14326.246,4.031602,1100.9551289475255,866.8928791294264,1115,0
14322.72,4.0315394,1100.9548438947286,866.8928237905317,1116,0
14322.856,4.031433,1100.9545809169879,866.8924938448605,1117,0
14318.387,4.0311213,1100.9548566030564,866.8929169791519,1118,0
14315.728,4.0309696,1100.9549563187,866.8926530964462,1119,0
14313.358,4.030725,1100.9547573148077,866.8927164976595,1120,0
14316.448,4.0309753,1100.9546190365882,866.8921841924338,1121,0
14312.814,4.0308533,1100.9549639653796,866.8924188483304,1122,0
14306.765,4.0303073,1100.9547843979442,866.8923192781879,1123,0
14314.203,4.030946,1100.95457564104,866.8922446387384,1124,0
14314.174,4.0309873,1100.9547702834152,866.8928089161789,1125,0
14316.5,4.0310926,1100.9547143611815,866.8921917146722,1126,0
14310.994,4.0306063,1100.954832362275,866.8924739232936,1127,0
14317.443,4.0309935,1100.9545951932064,866.8926623161747,1128,0
14311.431,4.030635,1100.95451138629,866.8923948074041,1129,8192
14313.664,4.0306697,1100.954514428821,866.8926419407278,1130,0
14314.277,4.0309896,1100.954430211996,866.8923350385664,1131,0
14318.658,4.0312524,1100.954836188455,866.8924614501293,1132,0
14311.324,4.030799,1100.954531570245,866.892111215673,1133,0
14314.635,4.03094,1100.9546074161224,866.892378595653,1134,0
14318.747,4.031405,1100.954353873722,866.8924286305302,1135,0
14315.059,4.0310955,1100.954839541512,866.8925413169862,1136,0
14316.898,4.031028,1100.9547979302076,866.89228011022,1137,0
14311.917,4.030691,1100.9549223629333,866.8921583391464,1138,0
14319.79,4.031293,1100.9547583185488,866.8919457815734,1139,0
14325.577,4.031779,1100.9545704768861,866.8922444829168,1140,0
14324.733,4.03168,1100.954681130389,866.8923159087481,1141,0
14320.929,4.0314884,1100.9542671198137,866.8924740460568,1142,0
14332.331,4.032311,1100.9548883746777,866.8924285840436,1143,0
14334.65,4.032174,1100.954480577684,866.8925385211696,1144,0
14335.594,4.03235,1100.9542342142672,866.8931272994421,1145,0
14335.984,4.032543,1100.9546387126936,866.8931127856325,1146,0
14338.157,4.032613,1100.954545568319,866.8929647592713,1147,0
14335.468,4.032405,1100.9543863800986,866.8922427098939,1148,0
14342.067,4.0332255,1100.9547647695192,866.8926191692422,1149,0
14341.302,4.0329065,1100.954450690726,866.8925182618997,1150,0
14339.226,4.032912,1100.954352767829,866.892517461254,1151,0
14341.966,4.0329185,1100.9546911234124,866.8924535684007,1152,0
14353.03,4.033646,1100.954064633462,866.892286920268,1153,0
14350.629,4.0335455,1100.9546596457963,866.892350564755,1154,0
14346.498,4.0332975,1100.9546661862985,866.8921097266972,1155,0
14350.793,4.033681,1100.9547216935352,866.8921676112941,1156,8192
14358.925,4.0340066,1100.9546112929004,866.8925498735373,1157,0
14357.897,4.0339437,1100.9546498493758,866.8924853878462,1158,0
14362.535,4.0342565,1100.9547338424093,866.892746642707,1159,0
14367.167,4.03486,1100.9544717862227,866.8929670678567,1160,0
14364.791,4.034743,1100.9543897207977,866.8926599561604,1161,0
14363.202,4.0344734,1100.9541505327845,866.8924221876664,1162,0
14370.001,4.0351567,1100.9545699944838,866.8925769048013,1163,0
14367.627,4.0350413,1100.954653036204,866.8925291547295,1164,0
14361.154,4.0343385,1100.9549552593865,866.8925951954607,1165,0
14367.031,4.0348697,1100.9545208400173,866.8925975608761,1166,0
14368.899,4.034815,1100.9546880094085,866.8922136401909,1167,0
