toi,tfopwg_disp,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_teff,st_logg,st_rad,st_tmag,st_dist,pl_orbpererr1,pl_orbpererr2,pl_trandurherr1,pl_trandurherr2,pl_trandeperr1,pl_trandeperr2,pl_radeerr1,pl_radeerr2,pl_insolerr1,pl_insolerr2,pl_eqterr1,pl_eqterr2,st_tefferr1,st_tefferr2,st_loggerr1,st_loggerr2,st_raderr1,st_raderr2,st_tmagerr1,st_tmagerr2,st_disterr1,st_disterr2
2636.01,PC,3.1054901,4.8079092,6155.775098,15.7521647,2621.020133,1824.892721,7176.0,4.13,1.90224,10.9786,502.342,2.4e-06,-2.4e-06,0.0400342,-0.0400342,46.174076,-46.174076,0.100251,-0.100251,,,,,1003.8,-1003.8,1.55,-1.55,,,0.008,-0.008,,
2637.01,APC,0.152076,0.5,105147.4656,,12751.71145,2710.2657,5780.0,4.438,,15.8445,874.657,1.8e-06,-1.8e-06,0.0157598,-0.0157598,2604.5212,-2604.5212,,,,,,,,,,,,,0.009,-0.009,23.063,-23.063
2638.01,PC,3.9299344,1.2628875,2252.035492,,420.5738761,1154.9502,5780.0,4.438,,11.1671,647.694,8.9e-06,-8.9e-06,0.1031605,-0.1031605,149.9916,-149.9916,,,,,,,,,,,,,0.01,-0.01,25.091,-25.091
2639.01,PC,15.3281169,4.1138054,30096.53399,16.4071897,49.0176948,674.851116,5417.0,4.46174,0.943467,14.3693,858.145,0.0005369,-0.0005369,0.6658096,-0.6658096,2044.5294,-2044.5294,1.8827407,-1.8827407,,,,,122.0,-122.0,,,,,0.008,-0.008,30.827,-30.827
264.01,KP,2.21674,3.604,4580.0,18.2508,2007.96,1864.0,6250.0,3.98811,2.66,10.4614,434.754,,,0.2,-0.2,0.38871,-0.38871,0.896431,-0.896431,,,,,,,,,0.13,-0.13,0.008,-0.008,8.379,-8.379
2640.01,PC,0.9112206,2.003082,71047.56397,7.3931803,40.9351669,645.1250281,2999.0,4.95462,0.274907,15.709,131.444,8.03e-05,-8.03e-05,0.200442,-0.200442,4714.7026,-4714.7026,0.5033327,-0.5033327,,,,,157.0,-157.0,0.0077091,-0.0077091,0.0089431,-0.0089431,0.008,-0.008,1.554,-1.554
2641.01,CP,4.880964,1.6120362,3385.552686,9.7354897,626.1274546,1275.808339,6309.0,4.32298,1.27132,11.1897,344.045,9.9e-06,-9.9e-06,0.1002447,-0.1002447,256.1717,-256.1717,3.3246431,-3.3246431,,,,,130.575,-130.575,0.0841433,-0.0841433,0.0568342,-0.0568342,0.006,-0.006,3.3105,-3.3105
2642.01,KP,3.0652926,2.606,11240.0,13.3524,649.429,1406.0,6229.0,4.34122,1.22,12.3077,539.36,4.4e-06,-4.4e-06,0.065,-0.065,2.06253,-2.06253,0.703704,-0.703704,,,,,130.095,-130.095,0.0881535,-0.0881535,0.06,-0.06,0.006,-0.006,11.693,-11.693
2643.01,KP,9.1720535,7.169,580.0,9.02881,293.374,1152.0,4933.0,4.438,3.79,11.0295,609.818,0.0009147,-0.0009147,1.432,-1.432,2.98453,-2.98453,,,,,,,122.0,-122.0,,,,,0.007,-0.007,17.452,-17.452
2644.01,APC,9.7439744,1.9764395,6711.059057,9.5314099,93.2116922,792.4782429,5383.0,4.438,0.983025,10.9206,235.146,0.0016644,-0.0016644,0.0833292,-0.0833292,340.31976,-340.31976,0.3691018,-0.3691018,,,,,,,,,,,0.006,-0.006,,
2645.01,PC,1.4436706,2.134,43370.0,20.6713,964.415,1552.0,5465.0,4.47,0.94,12.3956,360.674,2e-07,-2e-07,0.005,-0.005,0.0617889,-0.0617889,1.12834,-1.12834,,,,,129.9,-129.9,0.08,-0.08,0.05,-0.05,0.006,-0.006,2.815,-2.815
2646.01,APC,0.3125737,0.526,4540.0,8.09753,4234.06,2247.0,5202.0,4.53,0.84,13.1875,389.119,2e-07,-2e-07,0.043,-0.043,175.604,-175.604,,,,,,,122.0,-122.0,,,,,0.006,-0.006,2.7815,-2.7815
2647.01,PC,0.5136096,0.7873882,3098.804911,7.4237633,8342.965128,2437.529367,5270.0,4.14,1.33222,13.5231,792.816,2.22e-05,-2.22e-05,0.5308335,-0.5308335,376.13086,-376.13086,10.844878,-10.844878,,,,,122.0,-122.0,,,,,0.006,-0.006,26.2835,-26.2835
2648.01,PC,4.773751,1.7107074,11156.34962,14.861327,520.1148845,758.0,5904.3,4.28,1.2413,13.3316,815.182,0.0004928,-0.0004928,0.1026876,-0.1026876,596.8062,-596.8062,0.6261328,-0.6261328,,,,,78.7,-78.7,,,,,0.006,-0.006,10.101,-10.101
2649.01,PC,3.375591,3.489,11630.0,13.2361,1112.75,1609.0,6408.0,4.38,1.22,12.4752,626.504,0.0003311,-0.0003311,0.183,-0.183,4.01206,-4.01206,0.657366,-0.657366,,,,,132.3,-132.3,0.09,-0.09,0.06,-0.06,0.006,-0.006,9.0525,-9.0525
265.01,KP,5.9242661,2.8894449,11796.33036,9.3440442,120.7076171,845.3828218,5310.0,4.59604,0.846671,11.7276,212.472,3.6e-06,-3.6e-06,0.0362123,-0.0362123,102.72714,-102.72714,0.618929,-0.618929,,,,,,,,,0.0549573,-0.0549573,0.006,-0.006,1.104,-1.104
2650.01,PC,2.229735,2.044445,6708.444115,12.7809294,1760.695769,1652.117113,5913.0,4.2,1.37479,13.4404,870.557,2.9e-06,-2.9e-06,0.0622599,-0.0622599,159.96219,-159.96219,0.2479512,-0.2479512,,,,,122.0,-122.0,,,,,0.006,-0.006,10.0595,-10.0595
2651.01,FP,7.3164282,2.235,37130.0,17.3698,49.3074,738.0,4884.0,4.5,0.83,13.3994,396.637,3.4e-06,-3.4e-06,0.05,-0.05,9.74823,-9.74823,,,,,,,122.0,-122.0,,,,,0.006,-0.006,2.353,-2.353
2652.01,PC,2.484912,1.686,7950.0,,1044.33,1583.0,6240.8,,,13.3074,860.552,3.3e-06,-3.3e-06,0.229,-0.229,14.4372,-14.4372,,,,,,,433.0,-433.0,,,,,0.006,-0.006,,
2653.01,APC,0.9270535,1.011,1640.0,,1270.74,1663.0,6317.3,4.31,,12.208,488.621,6.53e-05,-6.53e-05,0.05,-0.05,1.20748,-1.20748,,,,,,,389.9,-389.9,,,,,0.006,-0.006,,
2654.01,PC,2.967599,1.688,10410.0,8.00413,75.0167,819.0,4396.0,4.52,0.76,13.0725,248.964,4.7e-06,-4.7e-06,0.101,-0.101,4.96338,-4.96338,,,,,,,122.0,-122.0,,,,,0.006,-0.006,1.0895,-1.0895
2655.01,PC,4.7277153,2.5,4000.0,6.45464,193.697,1039.0,5601.0,4.39,1.05,13.2854,617.763,2.87e-05,-2.87e-05,0.282,-0.282,6.25762,-6.25762,,,,,,,122.0,-122.0,,,,,0.006,-0.006,6.9345,-6.9345
2656.01,PC,7.7898378,3.095,11390.0,9.36784,77.3001,826.0,5091.5,4.48,0.85,13.5011,488.29,0.0010879,-0.0010879,0.394,-0.394,11.4617,-11.4617,,,,,,,71.8,-71.8,2.0,-2.0,,,0.006,-0.006,3.5285,-3.5285
2657.01,PC,2.7985528,2.459,12220.0,12.3741,406.289,1250.0,5416.0,4.33,1.09,13.4765,674.476,5.6e-06,-5.6e-06,0.139,-0.139,3.88479,-3.88479,,,,,,,122.0,-122.0,,,,,0.006,-0.006,6.781,-6.781
2658.01,PC,8.8759249,3.8366417,25757.06882,16.5775949,141.6296114,879.8492444,5528.3,4.38,1.02337,13.4228,666.807,1.59e-05,-1.59e-05,0.0996021,-0.0996021,528.6944,-528.6944,0.3502983,-0.3502983,,,,,122.8,-122.8,,,,,0.006,-0.006,6.7165,-6.7165
2659.01,PC,1.2558789,1.795,22260.0,14.1053,681.251,1423.0,4926.0,4.43,0.91,12.7331,328.18,7e-07,-7e-07,0.059,-0.059,1.86118,-1.86118,0.906689,-0.906689,,,,,126.5,-126.5,0.09,-0.09,0.06,-0.06,0.006,-0.006,1.652,-1.652
266.01,CP,10.7510107,2.943424,638.0928566,2.3581827,90.8412638,787.3911722,5784.0,4.438,0.918917,9.45661,101.694,5.14e-05,-5.14e-05,0.6060479,-0.6060479,61.79254,-61.79254,1.7880001,-1.7880001,,,,,55.0,-55.0,,,0.0420301,-0.0420301,0.006,-0.006,0.419,-0.419
266.02,CP,6.19132,3.4164,345.240264,1.759371,219.1278279,981.282679,5784.0,4.438,0.929557,9.45661,101.694,0.003482,-0.003482,1.161866,-1.161866,62.78886,-62.78886,2.874777,-2.874777,,,,,55.0,-55.0,,,0.09191,-0.09191,0.006,-0.006,0.419,-0.419
2660.01,PC,5.0183771,3.218,2500.0,10.7644,187.484,1030.0,5011.2,4.49,2.15,12.1651,630.124,2.34e-05,-2.34e-05,0.283,-0.283,2.23335,-2.23335,,,,,,,64.5,-64.5,2.0,-2.0,,,0.006,-0.006,9.0935,-9.0935
2661.01,PC,3.6257584,2.814,10450.0,12.2058,377.929,1228.0,5606.0,4.3,1.17,13.0533,635.045,7.7e-06,-7.7e-06,0.177,-0.177,2.83401,-2.83401,,,,,,,122.0,-122.0,,,,,0.006,-0.006,5.278,-5.278
2662.01,PC,3.790687,2.958,15240.0,12.9604,417.971,1259.0,5542.0,4.41,1.02,13.4675,640.511,0.0008155,-0.0008155,0.479,-0.479,29.9939,-29.9939,,,,,,,122.0,-122.0,,,,,0.007,-0.007,13.156,-13.156
2663.01,APC,0.58228,0.691,3170.0,7.80197,1871.39,1832.0,6288.0,4.29,1.32,12.7147,730.972,1.6e-06,-1.6e-06,0.196,-0.196,23.1672,-23.1672,0.797526,-0.797526,,,,,131.6,-131.6,0.09,-0.09,0.07,-0.07,0.007,-0.007,16.5485,-16.5485
2664.01,FP,3.9602774,0.884,6193.0,24.4489,149.866,974.0,5863.0,4.43,1.04,10.1483,156.291,4e-06,-4e-06,0.15,-0.15,10789.2,-10789.2,3.12811,-3.12811,,,,,125.7,-125.7,0.08,-0.08,0.05,-0.05,0.007,-0.007,1.3345,-1.3345
2665.01,PC,2.8456505,2.556,2681.0,6.4972,758.965,1462.0,6112.0,4.27,1.3,10.3716,222.0,2.7e-06,-2.7e-06,0.116,-0.116,77.5813,-77.5813,0.322797,-0.322797,,,,,132.1,-132.1,0.08,-0.08,0.06,-0.06,0.006,-0.006,1.4855,-1.4855
2666.01,APC,,1.445,22040.0,16.6553,21.4281,599.0,5212.0,4.3,1.11,6.9887,32.6024,,,0.07,-0.07,11.2546,-11.2546,0.950689,-0.950689,,,,,110.6,-110.6,0.08,-0.08,0.06,-0.06,0.006,-0.006,0.09845,-0.09845
2667.01,FP,7.7517472,3.761,861.0,11.6856,123.828,929.0,5133.0,,4.75,9.6732,454.873,3.92e-05,-3.92e-05,0.495,-0.495,45.338,-45.338,,,,,,,122.0,-122.0,,,,,0.007,-0.007,38.5215,-38.5215
2668.01,PC,1.1159326,1.013,840.0,6.17322,1667.72,1780.0,6859.0,4.16,1.68,10.1782,314.451,2.8e-06,-2.8e-06,0.196,-0.196,1.58388,-1.58388,0.358551,-0.358551,,,,,136.4,-136.4,0.09,-0.09,0.07,-0.07,0.006,-0.006,2.9355,-2.9355
2669.01,CP,6.203496,5.715,810.0,9.93735,375.554,1226.0,4859.0,,3.98,9.9917,393.443,3.9e-05,-3.9e-05,1.142,-1.142,40.4389,-40.4389,,,,,,,122.0,-122.0,,,,,0.007,-0.007,6.3565,-6.3565
267.01,KP,5.7525797,5.4071598,5284.952571,12.7442838,828.8267593,1368.47129,6180.0,4.11766,1.70927,8.93,158.66,1.3e-06,-1.3e-06,0.0220908,-0.0220908,26.201511,-26.201511,0.5870171,-0.5870171,,,,,,,,,0.0782412,-0.0782412,0.006,-0.006,0.8045,-0.8045
2670.01,PC,12.9281223,3.9850989,4105.170525,9.974436,154.407415,899.0560909,6332.0,,1.39271,9.5986,171.703,0.0022141,-0.0022141,0.1095533,-0.1095533,205.48228,-205.48228,0.2938442,-0.2938442,,,,,,,,,,,0.006,-0.006,,
2671.01,FP,3.1630387,4.661,1130.0,6.82612,17348.8,3197.0,6187.0,4.26,1.34,10.3364,233.793,3.65e-05,-3.65e-05,0.438,-0.438,156.146,-156.146,1.86481,-1.86481,,,,,128.6,-128.6,0.08,-0.08,0.06,-0.06,0.006,-0.006,1.5895,-1.5895
2672.01,APC,10.7189647,3.9269424,7404.305981,22.4497849,1054.281269,1453.312043,7830.0,4.07,2.0715599,10.6734,625.01,5.65e-05,-5.65e-05,0.1476797,-0.1476797,390.88,-390.88,4.4129305,-4.4129305,,,,,132.4,-132.4,0.08,-0.08,0.090736,-0.090736,0.007,-0.007,20.493,-20.493
2673.01,PC,1.9126596,2.178,372.0,2.2474,943.042,1543.0,5601.4,4.24,1.24,8.8448,98.3018,4.5e-06,-4.5e-06,0.254,-0.254,16.6071,-16.6071,0.120633,-0.120633,,,,,105.1,-105.1,0.08,-0.08,0.05,-0.05,0.006,-0.006,0.51595,-0.51595
2674.01,APC,7.2972359,0.827,3780.0,13.2402,14.5303,543.0,6433.0,3.91,2.1,10.185,370.146,1.26e-05,-1.26e-05,0.058,-0.058,3.15282,-3.15282,0.733716,-0.733716,,,,,134.9,-134.9,0.09,-0.09,0.1,-0.1,0.006,-0.006,6.0165,-6.0165
2675.01,FP,1.476869,1.451,2670.0,13.2219,7685.32,2608.0,6712.0,4.28,1.37,11.7919,523.999,2.9e-06,-2.9e-06,0.135,-0.135,952.186,-952.186,4.68994,-4.68994,,,,,184.6,-184.6,2.01,-2.01,0.06,-0.06,0.008,-0.008,7.575,-7.575
2676.01,PC,3.4082154,3.901,10060.0,16.7879,1192.31,1637.0,6231.4,4.11,1.59,12.7082,840.941,7.2e-06,-7.2e-06,0.1,-0.1,1.60695,-1.60695,0.808215,-0.808215,,,,,103.1,-103.1,0.08,-0.08,0.07,-0.07,0.008,-0.008,18.9845,-18.9845
2677.01,PC,6.4967452,1.8,4930.0,19.5904,160.453,991.0,5186.9,,1.53,10.8489,230.6234,0.0006987,-0.0006987,0.162,-0.162,1769.73,-1769.73,7.24615,-7.24615,,,,,196.0,-196.0,,,0.11,-0.11,0.007,-0.007,,
2678.01,PC,3.4523955,1.624,13260.0,10.2673,139.443,957.0,5614.0,4.49,0.94,13.4391,602.385,5.1e-06,-5.1e-06,0.131,-0.131,8.54726,-8.54726,,,,,,,123.0,-123.0,,,,,0.006,-0.006,5.9795,-5.9795
2679.01,PC,3.8539027,2.906,14520.0,11.8808,374.407,1225.0,5805.0,4.52,0.93,12.4453,403.17,4.3e-06,-4.3e-06,0.062,-0.062,1.1811,-1.1811,0.57189,-0.57189,,,,,129.2,-129.2,0.08,-0.08,0.04,-0.04,0.006,-0.006,2.9105,-2.9105
268.01,PC,5.066175,6.2992409,1350.0,7.69012,311.3397198,1071.34262,5868.0,3.57327,2.17,10.0733,320.497,4.6e-06,-4.6e-06,0.0527337,-0.0527337,0.859562,-0.859562,0.42506,-0.42506,,,,,190.0,-190.0,0.343686,-0.343686,0.449728,-0.449728,0.015,-0.015,2.111,-2.111
2680.01,FP,0.6293198,1.129,3730.0,4.46635,2516.29,1973.0,5508.0,4.63,0.79,12.653,344.16,1.2e-06,-1.2e-06,0.232,-0.232,7.90253,-7.90253,0.342805,-0.342805,,,,,134.6,-134.6,0.08,-0.08,0.04,-0.04,0.006,-0.006,1.728,-1.728
2681.01,PC,3.1292868,1.545,7430.0,12.0419,400.405,1246.0,6078.0,4.25,1.32,12.1692,547.103,5.1e-06,-5.1e-06,0.329,-0.329,11.999,-11.999,0.785006,-0.785006,,,,,132.2,-132.2,0.08,-0.08,0.07,-0.07,0.006,-0.006,8.179,-8.179
2682.01,PC,2.5981987,1.412,14260.0,11.5397,233.319,1088.0,5516.0,4.49,0.93,12.6795,414.029,2.8e-06,-2.8e-06,0.268,-0.268,23.0154,-23.0154,0.782465,-0.782465,,,,,132.7,-132.7,0.08,-0.08,0.05,-0.05,0.006,-0.006,2.238,-2.238
2683.01,PC,1.5292851,1.167,2800.0,12.6875,623.678,1392.0,6295.5,,2.21,12.4435,573.731,3.6e-06,-3.6e-06,0.131,-0.131,3.39267,-3.39267,1.85386,-1.85386,,,,,447.1,-447.1,,,0.31,-0.31,0.006,-0.006,,
2684.01,PC,2.4756487,2.461,4370.0,5.25914,321.692,1179.0,4633.0,4.5,0.8,13.2964,330.145,1.06e-05,-1.06e-05,0.322,-0.322,4.96362,-4.96362,,,,,,,122.0,-122.0,,,,,0.006,-0.006,1.8725,-1.8725
2685.01,PC,3.4711465,1.606,10070.0,11.1759,148.699,972.0,5593.0,4.39,1.05,13.322,645.065,7.6e-06,-7.6e-06,0.221,-0.221,11.3581,-11.3581,,,,,,,122.0,-122.0,,,,,0.006,-0.006,5.2705,-5.2705
2686.01,PC,3.5746058,1.153,6040.0,11.6965,127.934,936.0,6257.0,4.25,1.37,12.9852,861.62,1.15e-05,-1.15e-05,0.226,-0.226,15.846,-15.846,0.81782,-0.81782,,,,,133.3,-133.3,0.08,-0.08,0.07,-0.07,0.006,-0.006,12.539,-12.539
2687.01,PC,4.0944492,4.233,5890.0,12.8011,711.268,1438.0,5650.0,4.03,1.6,12.4052,634.2,1.33e-05,-1.33e-05,0.244,-0.244,1.51019,-1.51019,0.755192,-0.755192,,,,,128.6,-128.6,0.08,-0.08,0.09,-0.09,0.007,-0.007,18.3645,-18.3645
2688.01,PC,2.1415519,2.989,1060.0,4.72287,1363.83,1693.0,5530.0,4.08,1.48,11.3437,350.687,1.77e-05,-1.77e-05,0.353,-0.353,2.10881,-2.10881,0.35464,-0.35464,,,,,127.5,-127.5,0.09,-0.09,0.08,-0.08,0.007,-0.007,7.136,-7.136
2689.01,PC,3.4180406,2.242,5200.0,6.58171,201.62,1049.0,5001.0,4.46,0.89,12.6443,315.805,1.23e-05,-1.23e-05,0.32,-0.32,5.81054,-5.81054,0.485075,-0.485075,,,,,128.7,-128.7,0.09,-0.09,0.06,-0.06,0.007,-0.007,1.998,-1.998
269.01,CP,3.6977167,0.9308263,4755.670729,2.942044,19.1944226,533.8429511,3607.0,4.438,0.397924,12.2958,57.0225,2.2e-06,-2.2e-06,0.0725687,-0.0725687,122.93876,-122.93876,0.2132582,-0.2132582,,,,,,,,,0.011947,-0.011947,0.007,-0.007,0.07565,-0.07565
2690.01,PC,4.1549988,2.873,13830.0,,,,,,,10.732,,4.1e-06,-4.1e-06,0.096,-0.096,2.12906,-2.12906,,,,,,,,,,,,,0.021,-0.021,,
2691.01,PC,3.8821916,3.126,2670.0,5.57096,1093.46,,5283.0,,0.95,12.5728,374.763,4.02e-05,-4.02e-05,1.399,-1.399,126.349,-126.349,,,,,,,,,,,,,0.006,-0.006,,
2692.01,PC,3.6506781,2.79,20370.0,12.1655,273.621,1133.0,5343.0,4.55,0.84,13.3717,472.632,7.7e-06,-7.7e-06,0.13,-0.13,7.53433,-7.53433,,,,,,,122.0,-122.0,,,,,0.008,-0.008,6.7335,-6.7335
2693.01,PC,1.3225635,1.683,13750.0,11.5804,825.226,1493.0,5388.0,4.44,0.97,13.3201,537.182,2.3e-06,-2.3e-06,0.102,-0.102,7.63322,-7.63322,,,,,,,123.0,-123.0,,,,,0.007,-0.007,12.4615,-12.4615
2694.01,APC,1.6375324,1.665,11120.0,,437.581,1274.0,5095.6,,,12.575,451.486,4.4e-06,-4.4e-06,0.15,-0.15,11.8014,-11.8014,,,,,,,1104.7,-1104.7,,,,,0.019,-0.019,,
2695.01,APC,0.5566811,0.473,3250.0,13.2433,634.993,1398.0,5200.0,,1.7,13.0494,,8e-07,-8e-07,0.158,-0.158,63.4275,-63.4275,1.91906,-1.91906,,,,,234.9,-234.9,,,0.16,-0.16,0.006,-0.006,,
2696.01,PC,6.409365,1.707,11300.0,12.1252,64.1809,788.0,6191.0,4.41,1.12,12.4762,537.943,1.11e-05,-1.11e-05,0.111,-0.111,4.81338,-4.81338,0.613031,-0.613031,,,,,117.6,-117.6,0.08,-0.08,0.05,-0.05,0.006,-0.006,7.5445,-7.5445
2697.01,PC,4.3169755,4.523,4670.0,10.9284,803.246,1483.0,5683.0,4.03,1.61,13.1506,911.81,2.91e-05,-2.91e-05,0.463,-0.463,4.09313,-4.09313,,,,,,,122.0,-122.0,,,,,0.007,-0.007,16.2935,-16.2935
2698.01,PC,3.270563,1.682,9670.0,,123.655,929.0,5219.5,,,13.3713,440.358,7.6e-06,-7.6e-06,0.112,-0.112,6.55573,-6.55573,,,,,,,174.8,-174.8,,,,,0.006,-0.006,,
2699.01,PC,5.8259928,2.442,12800.0,14.0157,71.3806,809.0,4964.0,4.19,1.2,13.0583,511.659,1.2e-05,-1.2e-05,0.296,-0.296,10.1712,-10.1712,,,,,,,122.0,-122.0,,,,,0.006,-0.006,4.151,-4.151
270.01,CP,5.6605693,1.6631704,3856.106085,2.4070872,9.9407408,452.8709226,3551.0,4.83982,0.374358,10.4981,22.4793,3.9e-06,-3.9e-06,0.0528961,-0.0528961,66.09782,-66.09782,0.1197317,-0.1197317,,,,,74.0,-74.0,0.382963,-0.382963,0.0114957,-0.0114957,0.007,-0.007,0.01355,-0.01355
270.02,CP,11.3795653,2.2350305,3147.046174,2.2539464,3.9180021,358.827663,3551.0,4.83982,0.374358,10.4981,22.4793,1.51e-05,-1.51e-05,0.07615,-0.07615,76.177734,-76.177734,0.1026034,-0.1026034,,,,,74.0,-74.0,0.382963,-0.382963,0.0114957,-0.0114957,0.007,-0.007,0.01355,-0.01355
270.03,CP,3.3601377,1.413245,972.9589363,1.1843718,19.9261226,538.8593825,3551.0,4.83982,0.374358,10.4981,22.4793,8.6e-06,-8.6e-06,0.3052912,-0.3052912,58.786633,-58.786633,0.737667,-0.737667,,,,,74.0,-74.0,0.382963,-0.382963,0.0114957,-0.0114957,0.007,-0.007,0.01355,-0.01355
2700.01,PC,4.6636858,2.604,11110.0,12.5117,226.009,1080.0,5720.0,4.32,1.16,12.0698,404.662,7.2e-06,-7.2e-06,0.191,-0.191,3.03005,-3.03005,0.643505,-0.643505,,,,,129.9,-129.9,0.08,-0.08,0.06,-0.06,0.009,-0.009,5.5845,-5.5845
2701.01,PC,2.169466,1.653,1780.0,5.81205,643.066,1402.0,5823.0,4.2,1.35,12.5257,600.01,1.65e-05,-1.65e-05,0.421,-0.421,7.93164,-7.93164,0.506319,-0.506319,,,,,128.4,-128.4,0.08,-0.08,0.07,-0.07,0.007,-0.007,6.387,-6.387
2702.01,PC,1.9422802,2.768,8140.0,15.1178,2966.77,2056.0,6950.0,4.21,1.6,13.0115,1115.16,3.8e-06,-3.8e-06,0.124,-0.124,1.62465,-1.62465,,,,,,,123.0,-123.0,,,,,0.008,-0.008,23.98,-23.98
2703.01,PC,6.1735306,3.163,12950.0,11.2676,145.598,967.0,5435.0,4.45,0.96,13.3652,558.907,2.01e-05,-2.01e-05,0.28,-0.28,10.3473,-10.3473,,,,,,,122.0,-122.0,,,,,0.007,-0.007,8.5655,-8.5655
2704.01,PC,3.6364993,3.509,16700.0,16.4306,977.668,1557.0,6552.0,4.39,1.23,12.7063,718.493,2.8e-06,-2.8e-06,0.04,-0.04,0.491401,-0.491401,0.782017,-0.782017,,,,,134.2,-134.2,0.09,-0.09,0.06,-0.06,0.008,-0.008,11.6905,-11.6905
2705.01,PC,18.010652,4.952,4580.0,12.5654,61.2858,779.0,5740.0,3.91,1.85,12.6139,759.341,0.0001757,-0.0001757,0.672,-0.672,8.1512,-8.1512,0.849191,-0.849191,,,,,124.6,-124.6,0.08,-0.08,0.09,-0.09,0.008,-0.008,12.339,-12.339
2706.01,PC,1.8851834,1.428,5450.0,17.0369,1582.72,1757.0,5807.0,4.26,1.25,13.4046,780.028,0.0008097,-0.0008097,0.535,-0.535,3228.5,-3228.5,,,,,,,122.0,-122.0,,,,,0.007,-0.007,17.04,-17.04
2707.01,KP,4.007232,4.78,10360.0,18.1614,1275.2,1664.0,6202.0,4.03,1.75,12.1569,651.897,6.7e-06,-6.7e-06,0.112,-0.112,1.17919,-1.17919,0.968247,-0.968247,,,,,131.6,-131.6,0.09,-0.09,0.09,-0.09,0.009,-0.009,15.0705,-15.0705
2708.01,FP,2.3540172,2.36,6660.0,14.4919,954.677,1548.0,6114.0,4.02,1.74,12.5398,825.004,6.5e-06,-6.5e-06,0.211,-0.211,5.05864,-5.05864,0.839009,-0.839009,,,,,126.1,-126.1,0.09,-0.09,0.09,-0.09,0.008,-0.008,18.9655,-18.9655
2709.01,PC,2.3540163,2.416,10020.0,15.1575,960.683,1551.0,6124.0,4.16,1.48,13.0639,892.418,6.3e-06,-6.3e-06,0.207,-0.207,7.53915,-7.53915,,,,,,,122.0,-122.0,,,,,0.008,-0.008,17.1245,-17.1245
271.01,APC,2.4759733,1.0466923,386.7493472,2.8062638,1571.15561,1605.737499,6025.0,4.33135,1.33012,8.4332,100.245,4.6e-06,-4.6e-06,0.1277531,-0.1277531,17.178905,-17.178905,0.7768831,-0.7768831,,,,,192.0,-192.0,0.387055,-0.387055,,,0.007,-0.007,0.62765,-0.62765
2710.01,PC,10.7448417,3.298,38070.0,11.9772,24.4016,619.0,4701.0,4.72,0.63,13.3942,278.402,1.66e-05,-1.66e-05,0.117,-0.117,12.2037,-12.2037,,,,,,,122.0,-122.0,,,,,0.006,-0.006,1.314,-1.314
2711.01,PC,5.7604868,3.08,14580.0,14.0917,158.265,988.0,5530.3,4.33,1.12,13.0719,470.297,1.26e-05,-1.26e-05,0.136,-0.136,4.79591,-4.79591,,,,,,,127.3,-127.3,,,,,0.01,-0.01,6.9245,-6.9245
2712.01,PC,3.078479,2.424,5780.0,,295.7,1155.0,5140.1,,,13.0933,598.388,1.35e-05,-1.35e-05,0.277,-0.277,6.56687,-6.56687,,,,,,,175.6,-175.6,,,,,0.006,-0.006,,
2713.01,FP,1.2434016,0.939,4070.0,5.66309,412.506,1255.0,4967.0,4.6,0.75,12.483,246.568,2e-06,-2e-06,0.263,-0.263,20.2163,-20.2163,0.52193,-0.52193,,,,,126.6,-126.6,0.09,-0.09,0.05,-0.05,0.007,-0.007,1.258,-1.258
2714.01,CP,2.4993895,2.99,10610.0,12.9239,945.55,1544.0,5737.0,4.28,1.21,12.7979,597.873,4.5e-06,-4.5e-06,0.101,-0.101,1.90971,-1.90971,0.690267,-0.690267,,,,,124.0,-124.0,0.08,-0.08,0.06,-0.06,0.007,-0.007,7.786,-7.786
2715.01,PC,4.9640641,4.908,4910.0,13.6926,1050.08,1585.0,6323.0,3.95,1.95,13.0115,981.407,2.25e-05,-2.25e-05,0.284,-0.284,2.42718,-2.42718,,,,,,,123.0,-123.0,,,,,0.008,-0.008,26.967,-26.967
2716.01,PC,7.5420435,3.854,7720.0,9.55159,210.743,1061.0,5949.0,4.42,1.07,12.3425,447.236,2.7e-05,-2.7e-05,0.231,-0.231,3.53362,-3.53362,0.533134,-0.533134,,,,,132.7,-132.7,0.07,-0.07,0.05,-0.05,0.008,-0.008,7.563,-7.563
2717.01,FP,1.3164901,1.389,3580.0,11.2218,1368.05,1694.0,6341.0,4.04,1.78,12.8212,1017.77,5.1e-06,-5.1e-06,0.241,-0.241,8.49999,-8.49999,0.792626,-0.792626,,,,,125.5,-125.5,0.09,-0.09,0.09,-0.09,0.007,-0.007,23.3595,-23.3595
2718.01,PC,2.7625084,2.037,16160.0,10.8143,155.318,983.0,4694.0,4.48,0.83,13.5252,373.363,5.3e-06,-5.3e-06,0.108,-0.108,9.10497,-9.10497,,,,,,,122.0,-122.0,,,,,0.009,-0.009,4.5935,-4.5935
2719.01,CP,3.3759446,3.538,1270.0,6.03548,874.29,1514.0,5701.0,3.99,1.69,12.0676,588.368,5.03e-05,-5.03e-05,0.517,-0.517,2.96167,-2.96167,0.468317,-0.468317,,,,,131.2,-131.2,0.08,-0.08,0.1,-0.1,0.007,-0.007,12.467,-12.467
