toi,tfopwg_disp,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_teff,st_logg,st_rad,st_tmag,st_dist,pl_orbpererr1,pl_orbpererr2,pl_trandurherr1,pl_trandurherr2,pl_trandeperr1,pl_trandeperr2,pl_radeerr1,pl_radeerr2,pl_insolerr1,pl_insolerr2,pl_eqterr1,pl_eqterr2,st_tefferr1,st_tefferr2,st_loggerr1,st_loggerr2,st_raderr1,st_raderr2,st_tmagerr1,st_tmagerr2,st_disterr1,st_disterr2
1027.02,PC,11.02875,2.715,1694.0,2.76586,15.0463,548.0,4272.0,4.6,0.68,10.2103,56.3449,3.54e-05,-3.54e-05,0.404,-0.404,104.432,-104.432,0.268927,-0.268927,,,,,122.7,-122.7,0.11,-0.11,0.06,-0.06,0.006,-0.006,0.13245,-0.13245
1027.03,PC,5.0113292,1.024,1210.0,2.52314,17.1793,567.0,4272.0,4.6,0.68,10.2103,56.3449,1.2e-05,-1.2e-05,0.471,-0.471,182.035,-182.035,0.302798,-0.302798,,,,,122.7,-122.7,0.11,-0.11,0.06,-0.06,0.006,-0.006,0.13245,-0.13245
1028.01,FP,1.01606,2.843,240.0,1.20704,2784.04,2023.0,4634.0,4.64,0.68,7.9059,23.7748,0.00034,-0.00034,0.278,-0.278,0.375709,-0.375709,0.0989898,-0.0989898,,,,,120.9,-120.9,0.09,-0.09,0.05,-0.05,0.006,-0.006,0.02025,-0.02025
1029.01,FP,36.22214,5.107,7170.0,,,,,,,6.841,,0.00046,-0.00046,0.188,-0.188,228.173,-228.173,,,,,,,,,,,,,0.0,0.0,,
103.01,KP,3.547854,3.494333,10424.3718,14.581841,1212.004376,1504.858953,6351.0,4.22896,1.4,11.5232,411.211,0.000149,-0.000149,0.049205,-0.049205,123.359314,-123.359314,0.196435,-0.196435,,,,,,,,,,,0.008,-0.008,7.752,-7.752
1030.01,FP,12.1246519,4.612,7279.0,17.6729,207.32,1057.0,4807.6,4.17,1.07,9.5706,78.41273,1.03e-05,-1.03e-05,0.667,-0.667,6484.95,-6484.95,2.59688,-2.59688,,,,,60.0,-60.0,0.36,-0.36,0.03,-0.03,0.006,-0.006,2.83992,-2.83992
1031.01,FP,5.652623,3.434,1250.0,8.94354,2717.06,2011.0,6415.4,3.98,1.92,9.7318,270.771,2.54e-05,-2.54e-05,0.475,-0.475,26.0133,-26.0133,1.13988,-1.13988,,,,,103.2,-103.2,0.08,-0.08,0.08,-0.08,0.006,-0.006,1.6275,-1.6275
1032.01,PC,5.6643704,3.8087395,3491.823297,14.7738943,7657.662151,2385.853649,10395.0,4.13,2.3383701,9.7611,587.196,1.09e-05,-1.09e-05,0.0887935,-0.0887935,95.25267,-95.25267,0.7471176,-0.7471176,,,,,320.6,-320.6,0.07,-0.07,0.109357,-0.109357,0.006,-0.006,18.7865,-18.7865
1033.01,FP,29.0160175,5.345,1389.0,6.77406,33.2234,,6113.1,,2.01,10.0163,219.94,6.47e-05,-6.47e-05,0.314,-0.314,36.0326,-36.0326,,,,,,,,,,,,,0.006,-0.006,,
1034.01,FP,3.6404389,2.5339234,476.3077321,3.7025342,9941.226551,2783.098027,9810.0,4.43,1.60776,9.8174,363.44,8.2e-06,-8.2e-06,0.5744699,-0.5744699,35.1115139,-35.1115139,0.1738907,-0.1738907,,,,,173.7,-173.7,0.06,-0.06,0.0427739,-0.0427739,0.006,-0.006,4.983,-4.983
1035.01,PC,6.0744477,2.4954821,5982.521241,30.9493217,1487.564434,1583.93989,5964.0,3.7,2.4303801,10.1126,347.556,5.9e-06,-5.9e-06,0.0518881,-0.0518881,93.93912,-93.93912,11.697444,-11.697444,,,,,128.4,-128.4,0.09,-0.09,0.151568,-0.151568,0.006,-0.006,13.63,-13.63
1036.01,PC,3.7795212,2.952,2761.0,5.98375,466.528,1294.0,5771.0,4.31,1.18,10.2855,184.015,4e-06,-4e-06,0.158,-0.158,60.2474,-60.2474,0.311897,-0.311897,,,,,132.3,-132.3,0.08,-0.08,0.06,-0.06,0.006,-0.006,0.962,-0.962
1037.01,FP,1.2025238,1.991,390.0,6.31106,208477.0,5952.0,9158.0,4.32,1.74,9.0211,279.698,6.7e-06,-6.7e-06,0.052,-0.052,107.57,-107.57,1.99504,-1.99504,,,,,171.4,-171.4,0.07,-0.07,0.05,-0.05,0.006,-0.006,3.279,-3.279
1038.01,FP,3.2235985,2.159,680.0,5.51341,2064.8,,8904.0,4.09,2.17,8.7157,280.765,1.38e-05,-1.38e-05,0.452,-0.452,1.13,-1.13,,,,,,,239.9,-239.9,1.36,-1.36,,,0.006,-0.006,,
1039.01,APC,4.420125,3.956,2466.0,,,,,,,8.5483,2864.34,8.5e-06,-8.5e-06,1.259,-1.259,196.3,-196.3,,,,,,,,,,,,,0.6,-0.6,1012.54,-1012.54
104.01,KP,4.0872956,5.586113,3572.17125,13.6237732,2242.36054,1755.076738,6036.0,3.93359,2.2186699,9.8638,316.678,2.3e-06,-2.3e-06,0.0508755,-0.0508755,35.689426,-35.689426,0.6518233,-0.6518233,,,,,,,,,0.102573,-0.102573,0.006,-0.006,2.9655,-2.9655
1040.01,FP,2.55555,1.566,340.0,11.5901,3520.68,2145.0,10037.0,,6.04,8.3854,732.432,0.00045,-0.00045,0.375,-0.375,1.37224,-1.37224,,,,,,,123.0,-123.0,,,,,0.007,-0.007,32.449,-32.449
1041.01,FP,8.30792,3.228,8350.0,43.1068,2276.25,1924.0,9081.0,3.83,3.05,8.0981,305.034,0.00037,-0.00037,0.089,-0.089,160.238,-160.238,4.42399,-4.42399,,,,,173.2,-173.2,0.07,-0.07,0.09,-0.09,0.006,-0.006,2.981,-2.981
1042.01,PC,0.758082,1.8184632,583.93181,10.1273702,216218.1005,5499.747633,9917.0,3.75,3.5086601,9.718,792.633,7.3e-06,-7.3e-06,0.1306038,-0.1306038,58.10249,-58.10249,0.6658212,-0.6658212,,,,,199.6,-199.6,0.06,-0.06,0.120121,-0.120121,0.006,-0.006,19.4965,-19.4965
1043.01,FP,1.4415577,2.349,507.0,3.61078,16861.8,3174.0,6902.0,4.25,1.52,9.5719,208.055,7.4e-06,-7.4e-06,0.682,-0.682,54.9645,-54.9645,0.26004,-0.26004,,,,,135.7,-135.7,0.09,-0.09,0.06,-0.06,0.006,-0.006,1.1015,-1.1015
1044.01,PC,1.0085089,1.642,3051.0,,,,5215.2,,,10.0031,494.689,9e-07,-9e-07,0.343,-0.343,688.931,-688.931,,,,,,,1166.8,-1166.8,,,,,0.006,-0.006,9.557,-9.557
1045.01,FP,3.7039994,4.277,7590.0,17.57,3546.13,2149.0,7013.8,4.21,1.9,9.6306,300.696,3.7e-06,-3.7e-06,0.599,-0.599,1.22092,-1.22092,0.746573,-0.746573,,,,,299.6,-299.6,0.44,-0.44,0.08,-0.08,0.006,-0.006,3.3695,-3.3695
1046.01,FP,1.3042553,1.706,914.0,9.36472,26944.7,3569.0,6762.0,4.11,1.75,10.0119,301.298,2e-06,-2e-06,0.213,-0.213,628.954,-628.954,1.30647,-1.30647,,,,,130.2,-130.2,0.08,-0.08,0.07,-0.07,0.006,-0.006,2.496,-2.496
1047.01,FP,0.62627,0.666,1880.0,5.72162,3235.57,2101.0,5622.0,4.5,0.93,10.2355,134.926,2e-05,-2e-05,0.169,-0.169,68.5212,-68.5212,0.894462,-0.894462,,,,,131.2,-131.2,0.07,-0.07,0.05,-0.05,0.006,-0.006,1.0555,-1.0555
1048.01,FP,0.30412,0.748,1330.0,10.417,280833.0,6413.0,11892.0,4.14,2.52,8.802,440.426,1e-05,-1e-05,0.1,-0.1,3.83107,-3.83107,0.668057,-0.668057,,,,,235.8,-235.8,0.07,-0.07,0.09,-0.09,0.006,-0.006,9.484,-9.484
1049.01,KP,2.1805277,2.969175,16340.13532,16.808853,1770.465054,1654.404068,6599.0,4.21017,1.2714601,11.0657,314.995,2.7e-06,-2.7e-06,0.040721,-0.040721,426.89557,-426.89557,0.8821375,-0.8821375,,,,,200.0,-200.0,1.96411,-1.96411,0.0635578,-0.0635578,0.006,-0.006,7.0655,-7.0655
105.01,KP,2.1846669,2.86528,11708.02285,13.7028527,1362.138143,1549.44098,5630.0,4.37759,1.23824,9.4995,137.544,5e-07,-5e-07,0.0090748,-0.0090748,34.928566,-34.928566,0.6619751,-0.6619751,,,,,,,,,0.0596985,-0.0596985,0.006,-0.006,0.7905,-0.7905
1050.01,KP,3.7354838,4.142,17030.0,21.2315,1292.19,1670.0,6650.0,4.1639,1.57,11.0261,405.908,2.1e-06,-2.1e-06,0.045,-0.045,0.271732,-0.271732,1.19579,-1.19579,,,,,,,,,0.09,-0.09,0.006,-0.006,8.6,-8.6
1051.01,FA,21.701669,8.2676424,211.6567325,2.3751494,52.095,685.2,5625.0,4.438,1.56486,7.1278,53.19149,0.0095323,-0.0095323,0.5088978,-0.5088978,25.132692,-25.132692,0.6983451,-0.6983451,,,,,80.0,-80.0,,,0.186629,-0.186629,0.006,-0.006,,
1052.01,CP,9.139804,3.0912936,358.4157801,3.0629855,243.011763,1006.993283,5958.2,4.34,1.58,9.0197,129.804,0.0001109,-0.0001109,0.6627002,-0.6627002,33.721474,-33.721474,2.8175755,-2.8175755,,,,,76.0,-76.0,0.12,-0.12,0.165123,-0.165123,0.006,-0.006,0.5575,-0.5575
1053.01,FP,5.742625,2.860293,1105.760867,13.088532,,,5664.0,3.26574,3.86959,8.8849,263.729,0.000621,-0.000621,0.230499,-0.230499,87.92673,-87.92673,3.636668,-3.636668,,,,,188.0,-188.0,0.355261,-0.355261,0.644568,-0.644568,0.006,-0.006,2.8735,-2.8735
1054.01,CP,15.5077855,4.565,513.0,2.43432,88.0718,853.0,6122.0,4.30881,1.17,8.4362,88.4343,0.0002372,-0.0002372,0.427,-0.427,25.4443,-25.4443,0.142957,-0.142957,,,,,194.0,-194.0,0.268555,-0.268555,0.05,-0.05,0.006,-0.006,0.28175,-0.28175
1055.01,CP,17.4713078,4.4284819,1199.754148,3.5766828,53.3700317,689.3568807,5783.54,4.49925,0.974669,8.0888,57.2651,1.76e-05,-1.76e-05,0.0990118,-0.0990118,28.872627,-28.872627,0.2409907,-0.2409907,,,,,7.82429,-7.82429,0.019231,-0.019231,0.0546984,-0.0546984,0.006,-0.006,0.18695,-0.18695
1056.01,PC,5.3079507,3.2158594,391.3830934,3.0486928,603.2401116,1263.986113,6124.3,4.38,1.36963,9.6663,168.354,1.91e-05,-1.91e-05,0.2920944,-0.2920944,26.766296,-26.766296,0.3630359,-0.3630359,,,,,83.0,-83.0,0.16,-0.16,0.0633668,-0.0633668,0.006,-0.006,0.6765,-0.6765
1057.01,PC,51.1701501,6.6641048,851.4547808,2.9366826,11.2148229,466.7322968,5599.0,4.46138,0.943356,9.4091,98.2855,0.0001962,-0.0001962,0.2877187,-0.2877187,36.121876,-36.121876,0.26575,-0.26575,,,,,187.0,-187.0,0.26998,-0.26998,0.0456583,-0.0456583,0.006,-0.006,0.26725,-0.26725
1058.01,PC,11.1296441,7.0473822,951.6169809,12.8402271,1255.681716,1518.237249,5785.0,4.344,3.4475601,9.3781,338.831,6.03e-05,-6.03e-05,0.3110119,-0.3110119,60.711002,-60.711002,0.8162001,-0.8162001,,,,,189.0,-189.0,2.00356,-2.00356,0.174417,-0.174417,0.007,-0.007,6.705,-6.705
1059.01,PC,9.4496506,2.021,19750.0,17.0216,38.5799,694.0,5509.0,4.39758,0.94,9.7825,98.8783,2.8e-06,-2.8e-06,0.027,-0.027,16.7663,-16.7663,1.10249,-1.10249,,,,,186.0,-186.0,2.00408,-2.00408,0.06,-0.06,0.006,-0.006,0.4197,-0.4197
106.01,KP,2.8493825,3.567,8049.0,16.3869,2005.83,1864.0,6900.0,4.438,1.77,10.3157,364.411,3e-07,-3e-07,0.053,-0.053,25.0232,-25.0232,0.734704,-0.734704,,,,,,,,,0.08,-0.08,0.006,-0.006,2.729,-2.729
1060.01,APC,2.0685633,0.373,502.0,3.89739,24.409,619.0,5687.9,4.6,1.14,9.6652,128.491,4e-06,-4e-06,0.065,-0.065,169.202,-169.202,0.417306,-0.417306,,,,,76.0,-76.0,0.12,-0.12,0.07,-0.07,0.006,-0.006,3.3745,-3.3745
1061.01,FP,0.540933,1.674337,257.347459,2.28501,,,5525.0,4.25342,1.21935,9.7345,133.171,0.000107,-0.000107,0.329757,-0.329757,27.641214,-27.641214,0.57323,-0.57323,,,,,186.0,-186.0,0.29667,-0.29667,0.16458,-0.16458,0.006,-0.006,0.6935,-0.6935
1062.01,CP,4.1150576,1.08,487.0,2.30057,77.3573,826.0,5394.0,4.50942,0.89,9.478,82.1733,5.6e-06,-5.6e-06,0.323,-0.323,50.8548,-50.8548,0.16833,-0.16833,,,,,185.0,-185.0,0.276077,-0.276077,0.05,-0.05,0.006,-0.006,0.1632,-0.1632
